电话 呃我我想问一下为什么这个手机的流量不能用 
唉你好 嗯帮我报跟那个帮我一个流量加油包 
对我想开通了到日本的漫游 知道的 
嗯啊是这样我想开通一下那个香港 呃你是即时生效还是说要说呢那如果我 
喂你好我想这个本本机开通国际漫游 一百一百国际漫游的话有长期的一百八十天的还有三十八不要六三一一月的最少最短的我这是 
唉你好那个我想开通一下那个国际漫游 二十到积分把是香港去香港能用的 
唉你好我那个想充一下流量现在有什么适合推荐的吗 够了够了够了多少 
唉你好那个我这边流量没有了然后我想加一下流量 大概还有多少兆流量要不要多少本来兆春 
喂你好呃我想问一下我当初我这个手机号码捆绑了两个手机就是说后来有其中有一个手机上重新办理过什么业务了所以他叫我吧月头的时候再来办一个捆绑业务啊 对的对的那您服务密码知道吗什么密码 
喂你好你帮我开通一百兆流量包 对就这个月啊 
帮我加一点流量加油包 呃三十元购 
哎呦我那个要开通下下周一到下周五的个国际漫游嗯 短信电话吧 
哎你好请帮我这个手机的那个上网功能开一下 不知道 
喂你好我想把一个手机号码的呼叫转移转到我现在这个事情可以的号码报一下先生幺三七幺三九幺零幺 六九幺幺 
唉你好 噢就是我刚刚嗯充了充了钱然后你就帮我办那个七十八的那个套餐 
嗯您好是这样子的那个我想办理一个国际漫游的业务你好 天 
你好你帮我就是开通一下国际漫游 嗯不知道 
唉你好帮我申请一个那个套餐流量套餐 我现在已经消费了多少钱呢 
唉本机备卡激活然后昨天我昨天好像已经输过三次那个就给给锁住了一看现在 唉知道的 
情况啊格个么对吧喂 你好麻烦帮我开一个那个到日本的那个国际漫游 
你好你帮我那个流量再加十块钱嘞 有十块钱多少钱多少流量呢 
你帮我扣一下十元钱的这个流量可不可以什么叫做扣一下十块钱流量嗯我这个手机流量噢你要加流量包是吧对对对额女士我现在的话那个如果您要加流量包的话我现在有一个核算的就是说是二十块钱本身是三百兆现在的话核算下来十一块八毛八有一百七十七兆你要不要现在不用现在就加十块钱再说吧吧 只多了您可以帮忙吗最多出了那么多流量 
您好很高兴为您服务你好我要去澳门帮我开通一下这个澳门的那个什么国际漫游 国际漫游开通的话有 
九八六 唉你好请问我刚才给我发那个短信就输入这个密码那个书那样的我都弄不来 
喂小姐你好呃我想那个我今天去澳门吗我今天需要吗我想开通那个呃就是漫游或者是那个就是流量套餐吗看一下银行啊 噢这么回的都是啊 
您好你好我想办理一个国际漫游业务 密码密码我都不知道唉 
唉你好呃我想呃我想就是说帮我开通一下我这个手机在香港的那个流量漫游 呃反正 
哎那个我的那个手机帮我加下流量 对 
喂你好哎我想开开通一下国际漫游 啊 
唉你好嗯就是说是这样子的你帮我绑定一下那个另外一个手机号码 嗯是那个家庭绑定的是绑幺五零二幺六二九三八幺宝令到幺三四里面 
那那个嗯我这流量不是好像快就没了对吧我想就加加一个什么套餐 嗯嗯行那就加这个吧 
噢光办了一个十块钱的加流量包 对 
唉你好我想麻烦你帮我开通国际漫游 呃知道 
喂你好 可以我要开通那个国际上网流量 
唉小姐手机密码跟在虹 跟服务密码要不要两个 
唉你好麻烦帮我开通一下国际漫游 不知道身份证号码告诉你三幺零幺零三一九八五零九零九六零六二姓名冯磊还有 
喂你好我现在没流量如果申请流量了 一个g 
你好帮我办一下流量 嗯我想每个月都办 
唉你好谢谢下或者说我想把那个需要什么什么什么关掉然后开通国际赔偿 服务密码我报身份证号码好吗 
你好是这样的我现在流量没了但是我要加个流量包 什么 
唉你好呃我们单位有一个手机号码是幺三九零幺六四四八四七的他想办一个港港澳台那个呃什么手机包流量的可以用的每天就限额的那种就就它详细办是六十七十八三天 幺六四四八七七 
喂你好麻烦你帮我一百二十块钱流量可以 就是这一个月用 
你好麻烦你帮我包点流量呗 嗯嗯 
唉你好帮我开通一下国际漫游好吗 噢 
哎你好我想问一下我现在这个手机号能开通那个国际及港澳台漫游吗 手机卡密码就是那个服务密码吗 
嗯您好我这边的话想四零零新开一个号码 呃对的 
喂唉你好哎你好我想那个就是帮我开通一下那个国际国际国际长途 国际漫游 
唉喂你好我想那个再看一下呃国际长途国内打国外去国外呀哦去国外 那您要开通国际漫游啊 
您好很高兴为您服务唉你好不是就是你们这边后台能看得出来就是我这个一个小时之内被人家充了多少你们能看到不能来 对 
唉你好帮我把这个手机呃开通一下国际漫游 哎好谢谢 
您服务你帮我看一下十六元流量吗 啊 
嗯是这样子那个我一月六号那是不知道有没有就是说我知道你给我开通一下那个电话 就本机开通 
嗯现在啥是这样我这个手机号码给我开通一个短期的一个月的那个国际漫游 三幺零幺零八幺九六五幺二零幺零四五零 
喂 总共套餐套餐 
你看你帮我开一个流量加包诶 人加加多少流量呢 
那我就是我这个手机我想关闭我现在就香港然后要关闭一下在香港的国际漫游然后开通一下在港澳台呃关闭一下长呃在国外的数据漫游开通一下那个语音在港澳台 关闭国际漫游 
喂您好我申请开发票电子账单 公司账户 
很高兴为您服务哎你好我想申请一下这个流量我这边用流量块钱很快的 呃对对对对对 
你好我想要用我的积分兑换流量当月使用的 你帮我转接人工服务吧 
想问我本机你要开通国际每月我到过波罗的海呃 请您看一下短信因为给我哥现在嗯我知道在党的业务唉到底 
怎么走 身份证号码也可以 
唉你好我这边是那个流量包就是那个什么嗯嗯三十块钱的那一种什么一嗯行 唉对的对的就是一百块钱三个g的那 
唉你好我想噢这个我用了十三号都出去吗通过这个手机开通一个国际漫游吧 呃一个月的吧 
你好我想问另外一个手机办国际漫游 幺三九零 
啊你帮我二十块钱加两个g的流量的那个等一下 嗯每个月吧 
对 你好那个麻烦把我的那个数据打开那国际长途关掉好吧 
您好唉我这个要加一个那个加一个号码的那个流量流量共享 我另外再加一个 
好很高兴为您服务喂你好麻烦帮我开通一下那个国际漫游好吧 呃不太 
呃我想开通一下那个国际漫游啊本机号码吗手机号码就这个 唉对 
哦哦 好的 
唉你好要关我刚我那个电话我单子那个你帮我开通那个呼死你那个业务吧 呃知道 
行不行 对对对 
你好你好帮我开通一下那个短信吧短信 
哎你好我想开通一下那个短期的国际漫游 唉日本 
呃你好你好那个我想给我这个号码呃我想把我的号码开一个就是那个短期的那个国国际什么漫游 呃一三八 
呃我一个手机号开通呼叫转移 一三五零一九零三幺幺五 
唉你好我想开通一个短期国际漫游三十天的 身份证号码哦 
唉你好就是我现在想开通那个当月的那种月套餐流量 对我就是想加这几这两天的 
呃 小姐你帮我开通一下那个国际漫游好吧 
对的呀咨询一下我想把我这个手机这个套餐改成那种保号 有吗 
喂你好唉我想办理一个那个手机有一次金转一个业务 呃那不是今年不是多少啊噢知道的 
喂你好我开通一下那个漫游 我就是流量包好像还没开通 
你好帮我本机立即开通五十八元飞享套餐 密码好的感谢 
唉你好麻烦你帮我看看开通一下漫游好吧 对的 
您好很高兴为您服务啊你好我这个手机想开这个月想开一个这个流量包 这个月还没有四个g对那个下个月才生效 
唉你好我要给这个号码开一下国际长途的 知道的 
您好兴为您服务您好喂你好我想就是他帮我开通一下短期的那个国际漫游就本机号码是吗那就手机服务密码年有的 提示输入嗯好 
白天我想加点流量 哦 
唉是这样的我现在到那个香港澳门去要买那个国际漫游跟那个还有那个流量包开通一下 呃三十天就够了 
您好兴您服务您好你好你好我是接触幺三九零幺七六八零零零啊什么问题呢呃我想开通一下国际漫游是这余额还够就是说 啊不是就是呃我在我在我在国外呢 
哎你好我想问问我的那个手机就幺三八零这个手机号那个办一下那个港澳漫游因为下个月要去香港出差 哦我好像没有服务密码帮您报一下身份证号码是 
呃喂你好就是我今天收到那个小模卡送过来的然后我想新卡激活吗 然后到最后一直是失败的他说我收到短消息说什么视频没有声音啊 
我我想开开帮我加个二十块钱的流量知道 加油包那就 
好的 好对好好好嗯好啊好的嗯呃嗯哎 
广家银行帮那个我的上网功能立刻开通好吧 唉好的郑洁 
唉喂你好帮我开通国际漫游 嗯手机功能知道 
其他五喂你好 我的流量用完了卖点流量我的手机上还有还有这个买二十块钱的还有就还有钱 
我开通五八套餐 对对 
喂你好我要办理停机保 对 
喂你好刚才是你吗 啊就是我我的手机要开通国际漫游 
啊你好我要是那个欧洲德国然后帮我开通一下国际长途国际漫游 陈达丰耳东陈再办打外地和呃二零幺幺五幺九八八零二幺五幺零 
什么区很高兴为您服务您好喂你好 呃我想开通一个什么叫什么我要去日本我要开通什么全球通还是国际漫游 
说我明天要 提供七天办理一下就是国际漫游 
喂你好你好我要开通那个国际漫游 是在香港打到国内的呀 
唉你好是这样的我我想要办一个全球漫游的开通恩好的我要 呃好像是好像是当天 
呃你好我想开通一下漫游包 对对对 
唉你好我本地想开通一下那个国际漫游到美国的 知道的 
可以 唉你好帮我开一下国际长途美国 
唉你好您好先生呃呃我想开通国际漫游 不在 
我现在手机上不知道我可能上次申请过的我到国外的就是把我流量关掉 嗯 
呃你好我想开通一下国际漫游 对 
吧我这个月包十块钱流量 什么就是名名字报一下就行四月平 
唉你好我我我想开通一下漫游 呃对出国新加坡 
嗯 唉你好 
哦那个我想 就是那个流量因为去怎么我想咨询一下日本我先开通一个国际漫游然后呃我想问一下那边的就是说上网怎么算的 
喂你好之前就是我刚刚去查嗯要身份证号码我先查弄好了就是我要办理那个两个g是三十块的 三十块一个一个g的就一千兆老伴两个六十块的买两个 
哎你好请给我这个号码上十块钱的流量费嗯 啊对的 
喂 喂你好我现在想办一个合约机 
唉你好那个我是下周要到日本就是他麻烦你帮我开通一下这个手机号码的呃国际漫游国际长途 啊知道 
呃现在绑定在做什么事什么流量分享还是这个免费还是付费啊扣费是吧好那这个本机密码知道吗 根据提示输一下密码 
喂你好麻烦帮我把本机开通国际漫游 对 
哎你好我想问一下就是我这个手机号现在给我开通一个流量包给我 啊 
唉你好那个我欧洲游卡我要去欧洲开通的漫游 噢那你你帮我你帮我发一个这个欧洲的那个他用的 
您好很高兴为您服务唉你好办办一个呼叫转移 啊新证券幺三幺零二二六幺九七幺幺零八三九幺 
你好我要那个开通的国际长途他不是国际长途和国际漫游 知道 
去哪里流量啊是哪个国家台湾 姓名和身份证号码报一下 
您好很高兴为您服务呃你好你帮我呃开通一下港澳港澳台那个流量 呃八五天的 
你帮我看一下我那个我家那个流量包 对 
唉你好那个麻烦那个本手机开开个呃国际漫游 呃报名字和身份证号码好的 
您好很高兴为您服务你好我想开通一下个全球通 国际漫游好好好那就这样子 
唉你好帮我看一下国际漫游 知道 
喂你好呃麻烦你帮我那个这个手机号开通一个小号你好噢 啊 
喂你好我我想订一个流量包嗯当月用的对吧大概需要多少流量一个g左右吧 外地国内的 
喂 啊能不能把我这个手机开这个号码开通一下那个呼叫等待 
喂你好上海一下 我看不到你发了是吗 
您好很高兴服务呃麻烦你给我开一下国际漫游好吧密码知道吗 密码我记不住 
您好很高兴为您服务啊哎你好我想把我这个呃流流量开通那个用那个我有一个我有一个家属号那个幺三六八幺八九零八二八的呃它的流量我还够用 重新将成芳芳 
你好那你帮我开一下那个就是港澳的那个通话 对对对就是在上面打电话的那个 
哎你好我想问一下我那个要开通国际漫游然后我如果在国外的话那个接国内电话也是算那个漫游这个 呃我现在我我要是现在不在那他那个那个费用是对的 
吧 你好那个呃我想办一个就是说一百零八块钱左右的那个套餐唉有现在有什么就是说四g的因为你们好像不是有一个活动是承诺消费一百零八是送那个宽带对吧对的一百零八套餐有三百分钟通话 
喂你好我想开通那个去日本的那个国际漫游 知道 
喂你好刚才呢你好帮我开通一下那个七十块钱两个g的那个流量啊当月已经取消了啊需要您知道吗没我没听清楚 的唉你说你说再开好啦然后听不清楚 
您好很高兴为您服务你好我手机幺三九零幺七幺零九九六啊嗯 唉我想我请你帮我把那个国际长途开通了吗 
你好我想问一下就是我要开通一个国际漫游 短期的号码 
为您服务唉喂你好我想帮一个号码开通那个国政流量包 嗯幺三五 
呃你好我想我想帮这个身份证号码分享流量 嗯是的 
喂你好呃那个帮我开通一下那个彩铃的那个送 唉对对对 
喂你好我想有一个号码要开通国际漫游 非常抱歉了那我换一次打电话过来办噢好的好的 
就是为了吧喂 那我这个手机它是没有透支的是吧没有扣的是吧 
唉你好 呃你好我那个帮我加个十块钱的流量 
喂你好帮我网络打开一下号码 啊周晴 
包 的每个月之后哦用了现在办你好我 
您好很高兴服务喂你好我想问一下我想开通流量包好流量包对吧 呃一个月就是那个个月的是多少 
您好请说唉你好我想办一个就是六十八元港澳那个流量那个流量流量呢对但是他刚刚发了我一个什么信息 按几按次就办这个流量的他刚刚发了个信息在我我关注微信我微信你们微信号是多少中国移动幺零零八六他没有这个号码吗 
唉你好是这样的我我想帮我想一下我看一下那个漫游产生在美国 对 
哦 工作日很好 
哎你好我想八月四号零点钟开国际漫游 知道 
好密码你国际漫游已经开过了先生已经有啦换一个手机号要他本机来电才能办的先生 反正你给我 
喂你好我想加点流量可以了 呃大概两个小时之后 
你好 唉你好 
你好帮我开通国际漫游 俄罗斯资费和应该是要发给我姓名叫顺序和身份证三幺零二二九幺二零七零四二七 
唉你好我这个刚刚那个唉你好我要我要开通那个国际流量包因为我今天去西班牙 之前办我在上海国际漫游改过吧密码办过的 
唉喂就是我下周要去那个国外我想开通一个国际漫游 对吧忘记了 
喂你好 那这边能帮我开通一下国际漫游吗 
你好我要开通一下国际漫游 泰国 
对您好很高兴为您服务你好我想开通一下香港漫游 三十天的 
很高兴为您服务你好那个我想那个流量加油包能能接听电话 对我就问问问问 
唉你好我那个家庭畅打包里面像家电话号码 不知道但是我办的是身份证号码 
您好很高兴为您服务我我那个呃流量没有了我想加流量包 两个g左右吧 
你好那个一g的那个流量加油包现在的话我开通就这个月开通的话是还扣我多少钱 啊对对对对 
那个是开通欧洲哪个流量 好的我 
嗯您好很高兴为您服务唉你好呃帮我开通一下那个国际漫游 密码不知道 
唉帮我短信开一下啊好这边帮您做一下恢复您挂机之后把手机关机重启一下 好的好的行 
你好那个我是呃用我老公的手机号办了一个家庭宽带然后我们当时没有申请一个魔百盒然后现在想申请那个魔百盒 嗯就是当时他问我要不要什么样 
喂你好我想开通一下那个国际漫游 呃六个吧 
唉你好是这样子的因为我出过一年就我想开个国际漫游 要的 
喂你好我想开通叠加包流量 对对对到时候刚才微信短信我充怎么充啊 
您好很高兴为您服务呃你好我就想这个月添加一个叠加一个流量包要叠加流量的是吧 需要你这边有多少的能业务是按天折算的 
你好帮我加点流量可以吗 多少钱三百兆多少钱 
唉你好唉你帮我开通一下吧那个国际漫游是按照那个国家使用呢本四元卡 密码 
唉小姐你好呃帮我加自动加油包流量不够了 十块是多少啊 
麻烦你给我说是要呼叫转移好吧 对的 
喂 哎你好我想问一下我明天要去香港出差我那个要开通那个就是国际漫游哎对目前要办国际漫游不是那个噢那个先要开国际漫游 
哎你好我想那个国际漫游 呃巴厘岛 
啊四 你想帮我你可以帮我开通那个什么叫什么泉州都是开通什么我原来在香港的 
唉你好帮我开通一下国际漫游 嗯我不知道报名字一个一下这个号码报每年嗯三四零六零三一九五零幺一三零零二五 
我要开个流量流量加油包 它不是有一个四块两毛七的是多少兆的 
你好我要办理那个什么九十八元那个套餐就是什么三g的那个流量一百分钟通话 不要报身份证号码 
喂你好那个我要开通那个国际漫游 关闭呃到加拿大没错 
唉你好那个请帮我这个手机的流量开通好吗 没有没有我是长途原来开通国际漫游然后流量没关掉了现在已经恢复了恢复好啦如果您用不了的话关机重启一下不客气手机上流量开关再打开啊重启一下手机 
哎你好我要开通那个国际流量就是十二月份到日本有一天要用 开长期的是就是以后可能我还要用的时候有有这样操作这个意思吗 
你好要开流量 对 
喂 我想开一下那个流量 
唉你好我的电话是幺八七幺七七零二四九六 那个昨天晚上又申请那个临时那个停掉然后现在我想要那个申请固话 
喂你好我想开通一个月的那个那个港澳漫游 二十的是吧 
很高兴服务喂你好昨天打电话过来就是那个让你们帮我 你现在还是今天我刚刚发短信发短消息还是不能刷吧嗯嗯 
唉喂你好我跟你讲我收到的东西你能帮我开通国际漫游用了 就就这个月 
喂你好请你帮我把本手机开通那个来电提醒一下 我知道你帮我把它开通吗 
喂你好我想开通一下那个港澳台的那个通讯 一号 
唉你好那个我想办那个业务就是我之前现在用了一直都是那个八十八块钱套餐就是那个它比较多我现在就是已经在上海这边然后你能帮我把这个班诈骗取消换成那个三十八的套餐吗 噢那可以的 
您好很高兴服务唉你好帮我手机上面一个号码开通一下那个环球 对对对 
您好很高兴为您服务你好 我刚才刚才打了个电话就是要求办理国内的那个流量因为我在出差反正以后它说有可以有一个三十块钱三个g的流量包是吧本地使用的 
很高兴为您服务啊喂你好那个我有两个号码想麻烦你帮我开通一下国际漫游好吗不是本机 的一个幺三八零幺九五五八八三 
呃我想开通一个香港漫游 呃知道 
你好你帮我开通一下德国瑞士法国三个国家的漫游跟短信漫游好吧 知道的 
您好很高兴服务 好机主姓名麻烦您报一下 
哎你好我想开通一下那个国际漫游给我老公那个手机开通 呃幺三六二一八六零幺三七 
哎你好我想手机办那个国际漫游讲 幺三九 
喂你给我看一下短信吗 多少我问一下那个从呢 
唉你好那个我想买一个那个流量加油包 但是现在好像就是二十块钱三百兆的吧因为这个月没欠多少了吗然后就刚刚的但是我们现在有个费用五块钱这五块多多少兆 
你好我想 长途漫游 
呃帮我加点流量好吧 不是有个什么几块钱不是超不是不是用多少兆的 
您好很高兴为您服务唉你好我开通国际漫游 啊不知道 
呃你好我这边想开通一下那个国际漫游 呃知道 
啊就是说我有个号码你帮我开通一下任我享那个什么就是六十块钱半年包的那个流量包 短信不能办 
唉你好就是上次你们营业厅打过电话说帮我申请的那个宽带吗 然后就是说安装人员过来停不了充不了就是说你再帮我恢复到原来的套餐呢 
唉我我流量那个东西流量的叠加点 哎二十块钱啊 
喂你好我想我买流量买二十八上啊二十八块钱说送五百兆有这个是吗我反正钱打进去但是没有流量进来 对啊 
喂你好我我想我里面好像是没流量你给我就什么呃反正没流量 加点流量这个月办 
唉你好 唉你帮我把这个手机开通国际漫游 

呃这个手机要开通国际漫游 倒扣了第二 
麻烦你给我开通一个手机号的港澳漫游 幺三九 
呃喂你好我想开一下国际漫游 呃能开长期的国际漫游吗 
哎你好我想开通那个到美国就是有一个七天的那个流量 噢知道 
你好那个我想开通一下国际漫游 对对对 
好 喂唉你好麻烦你帮我开通一下那个国际漫游啊对对 
喂 呃我想开通一下那个全球漫游 
唉你好那个我想问一下我要开通一个国际漫游 呃知道 
您好很高兴为您服务喂你好 我要在我的一个那个家庭套餐就是八块钱八块钱的一个套餐里面加两个电话号码 
哎你好我想那个开通国际漫游就是我另外的吧不是本机我是我另外一个我报给你看一下唉您号码告诉我嗯幺三九 没太懂 
你好我那个家庭电话互打免费的我再加一个加两个号码 知道 
您好很高兴为您服务呃我要开通国际漫游 呃泰国虽然泰国去的服务密码知道吗哎呃我报身份证号码好吧麻烦您报一下周三零三四零三零二一九五五零六零八六幺三五恩好的 
呃我想办开通一下国际漫游 美国 
唉你好呃我就一个朋友那个在国外现在那个手机对去看一下他的那个 啊 
帮我开通一个加油包那个流量 三百兆是多少多少钱 
哦 噢开通国际漫游啊好的 
喂 你好那个麻烦你帮我开通一下国际漫游 
唉你好我这个手机是那个有一个手机啊是那个你们集团号的我要开通那个国际漫游的话他有什么那个 啊我有个手机号码对您哪个号码要开国际漫游幺五二二幺八六二幺二八 
哎你好我想开通一下漫游 呃短期的就下周一个礼拜 
呃您好就是我这边去营业厅办理一个手机号码等我报一下帮我开通一下国际漫游 幺五八二幺零九零三八六楼是电子上海有限公司嗯您 
啊帮我这个号码下个月这个月开个三十块钱的那种流量 不是 
喂你好那个我想办那个国际长途 呃他们 
哎你好我想开通一下那个国际漫游 密码我输一下这个现在 
噢你好你帮我本机申请一个五十元两g流量的那个套餐 嗯要的 
你帮我转刚才的那个客服 按超出来外面 
您好很高兴为您服务唉你好是这样你帮我办一下那个呃国际漫游 短期的是从八月十九号到八月二十七号 
噢我想问一下那个到ipi那边打电话 噢你帮我打开吧 
好很高兴服务嗯你你你好我想开通一下就是国际漫游 呃我不知道 
好很高兴服务嗯你你你好我想开通一下就是国际漫游 呃我不知道 
是那个欧洲旅行要开通一下国际漫游 我昨天这种你好 
喂你好我给我回复我请问您需要吗就只能有那你是不是给我省内流量对有 呃你现在二十用到月底应该用多少大概 
等一下按帮我加个那个流量包好吧 按什么 
你好给我开通一个五十八全国通的五百兆流量那个套餐嗯 对对对 
您好很高兴服务喂你好我想要加一个流量包就是全国的流量然后是我在我刚刚看了一下好像有一个五佰兆然后是四个小时的六块钱的 噢 
我我刚才那个我这个月流量用完刚才我说是再续续定的那个流量 流量说是 
幺 喂你好你好你说我想开一下流量现在嗯 
唉你好我的手机刚刚退掉了你能帮我手机挂失一下好吧噢好的您把号码报给我幺三六幺三栋八幺六四 五七八八 
你好请帮我开通一下那个海外地漫游好吧新加坡 对的 
唉你好你给我帮我订一下那个小时套餐流量和使用过呢 全国内使用的半价的三块钱五百兆 
唉你好是这样子的我想问一下我那个过两天出国旅游然后我想要开通一个那个就是国际长途的那个电话 噢就是国国内打到国外 
哎你好你能帮我看一下那个国际漫游啊 啊对 
喂你好我想开通国际港澳台长途业务 办不了业务 
高兴为您服务哎你好我要开通一下那个国际漫游请问到哪个国家啊英国 都没有功能费 
啊你好 呃那个我办一个漫游你帮我看 
嗯我这个手机号重新开始啊开通肯定的国际漫游 服务密码 
您好很高兴服务您好那个你好手机号码是我看看 喂 
喂 真的 
嗯你好那个我的那个要不我要办理宽带 对 
哎你好我想问一下我现在我的这个那个多号码都有没有开通呼叫等待功能呢 恩好的 
您好高兴服务你帮我这个本个月开个三十八的套餐 知道好麻烦您根据语音提示输一下密码嗯好的就是今天晚上好的嗯 
您好很高兴为您服务你好我问一下我这个宽带我要办 这个把它 
喂你好 呃那个我想要那个电子发票 
呃我这里办宽带要办宽带 呃石泉路一百弄 
喂你好麻烦帮我开通一下短期国际漫游好的手机服务密码知道吗不知道身份证号码姓名报一下陈小盒三幺零二二八幺九七二幺幺二二二四四零 啊没有了 
唉帮我开通一下那个那个港澳漫游 知道 
喂你好唉 线我有这两个手机要换一个国际漫游宽带呃国际漫游业务 
呃帮我就是把这个月那个流量开一下因为帮我关掉了 啊对 
嗯小姐你好我想在我这个 里面加一个副号 
哎麻烦你帮我那个gps打开吧啊好的 呃孙军 
国唉你好麻烦帮我打开一下那个数据上网业务 啊文光 
哎我想问一下我的那个套餐是什么时候到期 那我想改一下改套餐的那个 
你好我想要办理宽带 那个浦东年家浜路 
我加一个那个副打家庭畅听卡的那个 呃知道 
哎你好我要开通一个来电呼叫 好吧我要开通一个那个呼叫转移 
诶小姐我也跟你们申请那我 怎么要转里面内容嗯嗯 
诶你好 帮我开通那个流量的帮我打开 
嗯嗯 您好请讲 
我想开通一下那个对港澳那个漫游不要 全球通 
说那个加那个十块钱那个流量加油包 呃够扣的 
唉你好我这手机想开通那个泰国的流量包五天 密码是那个社会呃呃统一信用代码 
唉你好 我想那个办理就是说每月返还的这个活动啊 
唉你好我想要我想要我的电子发票电子发票发到我邮箱里面五月份呢那我帮您查一下好吧刚才那个人他没有发他发的话我们这边发过去可能 你这个活动的话人家怎么要的啊 
您好 帮我上网功能被你们关了 
哎你好我想问一下我这个现在那个流量套餐是什么我 嗯你好如果我这个月我好像看到已经用掉一半流量了对吧 
喂你好麻烦我想再订一下流量包 啊行十块钱一百兆嗯 
唉我问我问一下呃那到月底还要别的我流量在家里家庭的 嗯 
喂你好 不客气申请流量 
啊你好呃请帮我开通国际漫游然后关掉数据流量 噢六位数密码 
喂您好 帮我开个那个流量加油包三十的 
唉你好我是这个手机我要开通国际漫游就是我要到新加坡去高阳接电话跟打电话的 嗯没有了 
唉小姐你好我开通一下国际漫游 呃肯呀啊着急 
可以请你给我开通现在加油包那个那个流量好吧我没流量呢就查对吧 多少呢 
呃您好我想问一下啊我要申请一下就是任我看的那个卡然后的话跟我看的话 你看一块钱的五百兆 
哎你好我想办一个流量加油包 哎 
那那个小姐我想开通在我这个手机上开通那个国际国际长途 出国 
等一下喂你好帮我开通一下国际漫游号码 嗯 
嗯请问下面这个手机号码开通国际漫游话号码吧幺五八 不要我每次都帮他办理它干嘛啦好 
您好我这边就说是尾号二零七零的那个手机号码麻烦帮我开通一下那个台湾地区的那个呃就是那个漫游对 幺三八幺七二八二零七零 
唉你好唉我想那个办一个就是那个出国的是不是有个流量包的好像是吧 我是耳东的几个国家啊 
呃帮我那个wifi的那个那个漫游看一下好吧打开国际漫游对吗对我敲门 密码不知道 
工号多少 行呃帮我开通了国际漫游 
唉喂你好就是说我现在想加一个那个流量这个 这边有一个活动 
噢你好我这美国出差能不能把那个漫游给打开一下 本机的密码我不知道啊我这个 
喂我那个套餐一直都是cm上面流量怎么套餐去了还有我上个月给我发了三十 不要一点都不合算你你帮我退了 
喂 唉你好麻烦帮我开通一下国际漫游 
哎你好我想是幺三九零的号码开通一个流量加油 有现在有了 
从喂 唉我这个号码我想就是七号就会出国我这个号码都不太贵了嗯 
唉你好请你帮我开通一下那个就是国际漫游 噢三十天就够了 
很高兴为您服务唉你好帮我开一下那个国际漫游吧噢好的 好像没有密码 
唉多少你好再见 外地 
工号多少 行呃帮我开通了国际漫游 
你好麻烦你帮我把我六七三个月的话费它那个充一下啊 对我在营业厅他说让我打幺零零八六说吧第三方的 
很高兴为您服务唉你好帮我开一下那个国际漫游吧噢好的 好像没有密码 
你好我想给这个号码开一下那个国际漫游 知道 
唉你好小姐麻烦帮我开帮我开通一下台湾日本和欧洲的国际漫游 不过他打台湾 
唉你好我要那个呃登记嗯嗯 可以唉国际漫游还有那个呃wifi就一天三十块的我是到波罗的海稀薄是不是一天三十呃 
唉我刚刚那个会不会清掉了我那个零加油包我要加一个是幺三八幺八五七九二嗯现在刚刚给我清掉了我现在不不共享了 哎 
唉你好我要出境旅游开通国际漫游呀 不知道 
您好那个我想问一下我现在这边的话我早上加了二十块钱的一个流加流量包咱们转过去 加就早上确实没加进去啊它是二十块钱二十兆那就给我加上吧因为我这边帮您加的话 
喂您好听得到吗嗯可以的先生唉是这样的我想帮另外一个号码的话就是帮他办理那个流量就是他现在在香港的话那个三天流量 密码知道的 
可以请你给我开通现在加油包那个那个流量好吧我没流量呢就查对吧 多少呢 
噢你好你好刚开通十块钱买完流量 我想充了一个一百兆一千三百兆流量是吧 
喂你好我那个流量下载的呢我那个流量现在帮我充一点好嘛 再加一点就是啊 
唉多少你好再见 外地 
好五块左右对吧有一个扣您六块六毛钱给您九十八点六三兆流量但是有一个是加 九十八年六三兆有一个是直接加十块钱加一点三g流量月底清零的这个可以吗我想 
您好 呃我要开通那个全球通 
唉你好 唉那个我想办一下那个呃国际漫游 
唉你好 请讲 
唉你好你帮我加三十块三十兆的流量 呃三十三十块钱三千兆的是吧 
唉你好就是我想添加一个附件副号码 就就 
哎你好我想问一下你们有没有什么那个app或者是网上缴费那个软件我这边不想要去营业厅再付那个上个月的账单了 或者再 唉我现在去美国帮我开通那个国际漫游国际长途好吗 唉唉的知道的 
唉你好我问一下啊我我这个手机的那个套餐的二十元十元的那种但是送十一百兆流量我现在要跟你 办 
你好喂您好 那个就是帮我开通一个十元包一g的流量呢 
没你好您好很高兴服务喂小姐你好 号码 
喂你好能不能帮我查看开通一下我的网络我手机银行业务充值 像我就是我今天我是上午在开会我没处理我中午吃饭的时候看到手机然后有个欠费短信然后我现在要银行卡里面自己那个手机银行进行充值但是我没有通讯网络 
呃红颜三幺零幺零三幺九四九零九二八二二七 呃 
喂你好我想问一下就是最近呃就我想办理一个流量包嘛加流量包 一点我告诉您二十元一点五个g流量我呃就那么你能不能先帮我查一下我现在流量有超没有啊 
喂请问买没有我现在我要开通流量噢 我的意思是我不是我在家里面用用用我的wifi如果呃就是遇到什么情况我要问说什么我需要用呢流量这个流量能不能从我这个这个手机卡里面扣 
喂你好那个我想激活一张副卡 通讯录号码我我是新买的一张卡 
唉你好麻烦你帮我开通gps 上海优 
赠送我想办理一个就是承诺消费 然后呢我就是你你那你这里帮我办一下 
