你好我想把那个卡里面那些那个呃他我要转户然后我想把那个卡里面看看全部都取消掉消掉 家庭户主那个我想取消掉 
喂小姐你好哎你好啊你从下个月按你就下个月开始把我这个手机套餐有一个那个三呃三块钱那个什么短信套餐给我取消掉吧 嗯嗯 
你好有什么可以帮您我我那个就是昨天有的那个那个呃我这个月那个就是刚刚申请的那个什么流量五十啊帮我那个取消掉就好了 没有我刚才在外 
喂您好我想把本机的那个飞信呃飞信那个会员和咪咕阅读业务把它删除了 好 
喂你好那个我那个手机号码被福建手机营业厅第二天开通那个共享流量池呃可以帮我取消掉吗 行好 
您好请讲你好你帮我把所有套餐都取消掉 你这边除了基础套餐其他收费项目都关掉是吗 
呃你好帮我把下个月呃是下个月那个呃五十元一g的那个流量包关一下 
你好 诶请帮我关闭一下那些上网功能就有些小孩子不小心点到的时候你帮我看一下 
哎喂您好 前一段时间说下个月帮我改三十八元的套餐我现在不需要呢就是还是原来的套餐就可以了 
就是我那个手机有个套餐是七十元的那个流量套餐 就是能不能帮我取消掉啊 
呃我想把那个三十块的流量包这个十块钱的那个这是多少钱完了我现在设一个是三十块兆是吧 好 
您好诶你好你能帮我取消那个手机支付的业务这个业务取消掉吗 还是什么噢那个扣费兆 
喂你好那个可以帮我取消那些其他的业务吗 提供 
呃喂你好呃可以帮我把那个流量套餐取消掉 对 
喂我我帮我取消这个流量三十元套餐的流量帮我取消掉 是当时幺五八来取消掉 
哎你好那个麻烦你能呃帮我把这个手机号码的那个上网功能关掉 好像他当时也没设吧 
那个我要我想要把我我手机上这个号码的那个三十块套餐去取消掉 对 
哎你好我想把这张卡那个套餐全部取消掉 你说那个基本套餐四十八元的是吗 
嗯你帮我看看要收钱你能帮我关掉吧嗯什么要收费的东西都帮我关掉好稍等好 
哎你好现在你这边帮我把我刚刚改那套餐给我撤消一下我生日原来那个套餐 嗯嗯好 
嗯嗯 呃你好帮我的这个校讯通取消掉吧 
好麻烦你帮我把那个语音信箱关掉吧 啊拜拜 
诶你好那个我想把我这个流量套餐给 省一点的套餐开吗 
啊好好哎你好我想把这个我那个家庭号这个屋社区掉可以吗 现在就去掉吧 
喂你好麻烦你帮我把来电提醒功能关掉 八八的你帮我关掉哈 
喂您好 诶麻烦你帮我查一下我这个手机的零六名称是什么 
那就是你帮我把这个手机的收费的那个额外收费的东西都取消掉吧 来电提醒需要的 
嗯嗯您好请讲你那流量安全锁安心锁在哪边给我关掉 好可以 
诶你好我想让你们后台帮我关闭那个幺三九的那个邮箱那个 那它什么时候到期 
诶你好麻烦帮我呃我就是有一个十块钱的流量的麻烦帮我取消了就好吧 噢就是下个月就没有了噢 
呵呵我我只要留十块流量下个月把我取消掉 呃 
那个我这个那个那个那个流流量流量怎么样帮我取消 对对对 
呃帮我把那个里面的那什么那些什么扣费的请帮我取消掉 就是彩铃彩印那些来电提醒那些都取消掉 
你好 麻烦你把我那个来电提醒关掉来吧 
问一下我手机的流量可以帮我取消那个套餐可以帮我取消 十四块的 
吧诶我现在就是有一个三十元的那个流量包 这个帮我取消掉吧 
喂你好呃麻烦你把这个手机的那个流量那个五块那个把它关掉吧 噢好好谢谢啊 

呃您好幺三九邮箱预约取消 等一下里面搞这个 
噢我这个手机里面有一个那个健康短信的给我取消掉一下吧 早上 
哎你好那个短信功能帮我关一下 平常买的报上去办的呗 
你好你帮我的那个不要的增值业务取消掉 您好 
多兆 帮我把幺三九预约取消一下 
你好我那个呃和包支付的给我取消掉 对对对 
你好你把我这些垃圾嗯垃圾信息全部帮我拿掉 他说那个号码不是手机发的这个那个其他系统发的那个 
你好我想问一下我那个五十元的套餐现在还没是六个月到期了你帮我取消掉吧 这个月之内要把它用完好那还有一件事取消了我今天不是刚刚申请了八十八块钱的套餐吗一千二百分钟免费吧呃我想问一下打三明啊一个是六百块钱省内都是免费吗 
噢我想查询一下本机有没有那个信这样做功能 嗯就 
喂你好看我这边有没有多余的什么安装包帮我给它卸载掉了 彩印跟彩铃都关掉吧 
嗯那这个我这个号码他那个有一个代哎他人付费的那个你能不能帮帮我把那个取消掉 要到营业厅去注销 
诶你帮我把那个五十元的那个一g套餐帮我取消了 呃对然后帮我取消了然后我那个申我那个三十元的是诶三十元五百兆那个是三十九里面本身包的没有额外都扣 
一号多少 然后本机的那个没用东西给我取消掉就两个基本套餐 
对 诶你好你帮我把这个流量限速给取消掉好吗 
你好请帮我把那个校讯通取消掉吧没有用每 恩好的 
哎你好帮我把那个十元的流量套餐帮我取消掉 对啊 
哦我就是我下个月订的那个学生套餐能不能帮我消掉就 噢绑定的套餐 
你好我这边要转归属地然后是要绑相关的业务帮我关掉 对比如家庭家庭网了什么东西啊都会返给我 
哎 诶你好把我这个号码那个增值业务拿掉一下 
在我名下的另外一个号码幺八七的幺八七六零零八六三三零的 六三三零 
嗯嗯嗯嗯 那个帮我套餐外的那些什么增值业务帮我取消 
你好呃我想查一下我的套餐就是我原来现在是五十块钱一个月套餐就当时是说好像是送六个月额返四十块然后等于说我一个月只要十块钱剩余的流量吗然后好像他说会过期了能帮我取消掉吗 下个月一号 
啊 喂 
诶喂你好你帮我取消一下那个嗯嗯彩铃啊来电提醒还有一个咪咕视频吗还有一个那个嗯还有彩铃 打电话 
你好帮我取那个那个帮我把这个那个号码上面所有的套餐都取消掉呃刘基基本的那个九块钱套餐 嗯可以 
嗯你好就是我手机上有那个什么什么彩铃呢咪咕什么动漫的那个什么业务我我想取消对我发了两次短信一直没取消成功 嗯嗯好 
我们银行吧您好那个帮我取消其他的业务然后留一个套餐 那还有其他的吗嗯 
吧 呃帮我取消一个亲情通噢好的 
哎你好能不能帮我我刚刚在营业厅那个改了一个二十八套餐我现在不想改了能帮我取消掉吗 没错没错 
喂你好诶你好你帮我取消一下那个就是五十块钱流量的那个 因为我原来八八套餐就四g是不是 
嗯嗯 哎我有我那个账单三月份有办个卡呗他他重新办个卡套餐办了那我现在想取消掉其他的他叫我在这个月走直接 
诶你好我问你们来了 呃你你好我我想问他就是说呃我手机怎么我一个软件要查询我那个记录怎么他说我有来办过定制的是吧 
哎你好那个给我查一下你那个呃我这个月那个三十八套餐取消掉搞那个七十七十九的套餐 下个月八十八的那个套餐是下个月呃这个月底 
高兴您服务你好我这边有绑定一个家庭网给它退掉 对 
微 喂你好 
你好这个八十八的套餐都把它取消掉吗 啊那得十八块的 
这个月来了 帮我把这本地流量关掉 
嗯哎 喂你好嗯我想把这个就是这个手机号码的那个就是那个来电它就是它那个转接转接转接到另外一个号码幺五九六零二八幺七三二的取消 
你能不能帮我把那个来电转移取消掉 好好好谢谢啊 
你好我想问这个号码这个取消一个业务 噢就是有那个来电提醒和彩印给我取消掉 
喂你好诶我这个手机号码丢掉要帮我取消掉好吗 幺三七 
会员那个什么飞零八六那我想把原来那个套餐取消掉就下个月开始取消掉就只有那个最基础的那个八元套餐你能帮我取消一下 还有其他他是自己自动取消掉是不是 
哎你好帮我查一下一个号码就是呃幺五八八零三三零五八七 好 
喂我那个刚刚下个月都是开通那个五十八的套餐 呃那里面一个什么视频呼转的那个给我取消掉 
呃您好我这边呃取消宽带但是我在泉州营业厅取消不了它这个定将你能帮我查询一下晋江具体哪个位置吗 我这个是华区小区的应该十的那个应该有没有 
嗯 你好我想把我这个套餐是留一个套餐这手机 
呃你好是这样就说帮我关掉所有那个所有套餐 噢你好 
你好显示它就是要扣套餐费诶你好是我这个号码除了套餐以外其他的业务都给我取消了谢谢 好的嗯您稍等一下 
哦那现在帮我取消那个二十五块钱的流量套餐 到 
哎你好我想帮我那个一百二十八的那个套餐取消掉 那个有什么套餐那个流量比较多的我买这个套餐感觉都没有只有一一 
喂你好麻烦你帮我一个那个套餐取消一下 稍等一下我先看一下他我用这个叫什么什么叫外地那个一个月八块钱额额 
嗯零 哎你好我想查一下我这个套餐里面有些没有用的东西能帮我取消一下吗嗯可以啊您说什么业务要取消我好像有一个咪咕音乐包是吧 
嗯帮我把那个彩印取消掉对 我 
这个信号请好的好的好的好 送两毛三他那边都敢好的发到手机在 
哎您好请讲 嗯嗯好那我给您现在到月底的时候关 
哎你好那个我这个手机号就是是这个号我这手机上那个噢就是就是原来那个就是那个验证码然后不是没什么用但是我那个取消掉那个噢那些就共享的那些套餐都取消掉 啊对啊 
其他呃早上好 流量开关给他关掉是吧 
你好很高兴您服务您好您好诶它那个前两天一直扣我说什么送三个月什么什么东西呃是采题啊什么东西我都没用你帮我关掉吧 啊到时候我那天的时候不要不要他说送不要停掉停我等下马完也没关系以后 
对 诶是这样子我我有上两三个月有订掉五十块的那个流量包啊这个月底给我取消掉好请您稍等 
那个流量共享帮我关掉 噢 
哎你好我那个手机里有一个五十块钱然后两个g的那个套餐我想取消掉 不是因为我看你们那个手机手机营业厅上有一个八十八块五块五个g的我想换成那个那个套餐因为这个套餐也没有解决现在这套餐也没有那个打电话的时间吗那个好像划算 
你帮我套餐以外的收费业务都取消了 嗯这个怎么那个 
对请 嗯嗯这两如果你能帮我那个七十兆的那个十块钱的套餐帮我取消掉 
你好能不能帮我把那个那个叫什么三十元那个叫什么流量包给取消掉 呃好的 
呃呃喂你好现在我就是我的手机上现在还有一个宽带的套餐那个您可以帮我取消掉吗 只能这样子 
你好你帮我把那个 流量吗你帮我帮我把它关掉 
开喂你好诶你好嗯请说嗯我想把本机的那个什么取消掉流量嗯 那一个月就是好像是包怎么看电视二十四个呃不好意思 
那个我能不能就是把我手机一些业务给关掉啊一些套餐什么的 就是用户我记得有一个什么五十块钱一g的那个国内流量的那个套餐 
诶麻烦你帮我把这个彩印关掉吧 还有那些有有有还有什么东西开通的你帮我都帮我关掉因为是小孩子的卡 
噢您好是这样子我之前开通了那个就是我这个手机的数据可以共享到另外一个手机上现在帮我取消取消吧因为你那个不是有需要什么功能费 噢知道 
帮我取消一个号码的业务 幺八八五九九 
哎去帮我把里面的校讯通取消一下 对两个都取消噢 
喂您好呃女士您好请帮我把那个上班以外的其他有开通的业务都取消掉 啊来电提醒就不用取消噢 
嗯就是我想把那个套餐退呀 没错流量 
帮我把这个号码留一个套餐其他的帮我关掉一下好吗 恩 
为您服务 喂你好诶我想问一下就是那个全国国际漫游这个取消啊 
喂你好你可以帮我那个四g流量套餐那个三十块钱的那个 商家那边 
宠物医院呃您好帮我取消一下那个呃手机动漫 嗯嗯七六八的 
多少说人家移动银行银行赔的哦好光信号都没返还你好这里面的 划算一点的应该今天以后还 
唉你好你帮我把这个手机号码的那个数据上网流量就关掉了 呃王军 
那个国呃港澳台漫游帮我取消了 知道 
唉你好麻烦你帮我看一下我这个月还有那个一个四十多块钱的那个流量因为我现在改了一个四g的那个流量包了吧可能那个就不需要了想想取消的 叠加包 
哎你好我想取消我那个手机账户里面那个集团业务 唉好的因为我因为本来公司已经离职了嘛然后现在写的新的公司也需要办这个东西因为冲突所以我这边收不到那个新公司这边那个短号的一个短信所以说我这边要提醒他最好是马上取消掉 
很高兴为您服务喂您好我这边开通了一个呼叫转移今天要把它取消掉应该是转到国内去取消呢还是在你这边能取消 幺三六幺三六八幺六 
唉你好你帮我看一下能帮我语音信箱那个给我取消掉噢好的先生呃请稍等一下给我查那你就帮我 那等一下你电话别挂 
您好很高兴为您服务呃你好我想问一下我今天去营业厅的时候他跟我说那个帮我手机呃呃自动做了一个那个什么三十呃什么送三十块钱一个月的那个活动啊说送三个月的嗯嗯然后那个我想问一下三个月之后的话我要退掉之后呃我现在的那个套餐不是原来是那个飞享什么套餐是有呃百了兆流量和五十分钟电话的那我上个月退掉之后还是这样吗 送到明年六月底对呀那个套餐我原来是不是原来总共是套餐里的是送的对的 
很高兴为您服务呃我有个号码要把那个腾讯视频关掉号码报给我吧 七六幺零八七九零幺到那个 
您好很高兴为您您好是这样的我这个活动是办了一个什么一百零八资费签约活动但是我没有这个营业厅那我现在买手机我想把这个活动费了 
唉你好那个我昨天那个咨询那个刚的那个流量包是那个早晚高峰流量包更错了你能帮我那个退订一下 呃这个月能不能那个 
微信 我那个手机号码是幺三九幺八四二八幺零零的那一个嗯 
唉你好 那我想问一下我前段时间我这个手机换了一个套餐根据那个套餐然后这个突然说不是打电话说来来那个音乐显示是有有什么彩铃呢 
呃 四g流量 
哎你好我想 好本机号码怎么了 
唉小姐请问呃我想请你帮我把这个数据流量关掉然后十号开开 嗯然后还有一个手机号码 
唉喂你好我是那个集团的呃账户那个我就报一下那个客户账号还是报集团编号您能帮我查一下呢 账户编号是我是想那个取消了我们这个业务 
嗯先生你好 呃麻烦把我那个手机的呃业务好的 
五喂你好就是我那个办了一个宽带业务它是那个当时给我办过了然后我现在要注销他这边那个我来到这个什么来到那个办理一个注销这边他说我这个手机欠费嗯现在是那个办不了一个那个那个彩信业务好的 只要我另外一个号码另外一个号码你们给我停机了 
呃呃把我那个流量嗯请讲 对 
是这样的我想把这个集团我手机号里面的集团业务给取消 对对对是的因为我已经订了那个十八元的那个套餐了然后现在这个集团业务的话我就是已经很久没有用了你可以看一下使用情况其实是比较高的而且就是流量也用户也没有它只是一个打电话的所以我想把它取消 
你好我这边那个号码都开了一个三十块钱的那什么呃vip嘛你能帮我取消掉吗 不知道 
唉喂你好是这样的我之前办了那个国际漫游然后去越南的现在帮我取消一下吗 退的我当时只是说去那边十天然后我后来才发现的是长期的 
你好麻烦帮我把下个月的流量包给关掉 嗯姚家麦三幺零幺 
喂喂喂您好很高兴服务呃喂你好你这边帮我把这个卡的上面这个套餐帮我取消掉 密码不知道 
那个你好我想取消一下那个 就我用话费支付的呀 
唉你好你帮我那个我这个号码上次设置了呼叫转移取消一下好嘛 唉对的 
唉你好就是我那个宽带业务按次还是去年开的然后开了一个免费的嘛现在已经不用了然后今天产生那个费用了你就帮我停掉吧好吧万恶 嗯对对对就是就就这个手机啊 
喂你好我那个手机那个基础套餐是让我查那个什么彩铃帮我取消一下吧好不好 噢总话费 
唉您好你帮我一个银行卡充值的那个服务取消一下你这个不要办银行卡对吗对 啊不清楚 
你好唉你好唉你把把我那个短号取消掉 对到下个月到用到这个月底下个月 
喂你好你好啊我想取消我的和留言和和彩印的业务 业务 
很高兴为您服务唉你好刚刚我我我打过电话就是说电话断掉了我那个呃要求关闭交通移动的功能 知道 
您好很高兴为您服务帮我把幺三九嗯幺六二幺恩二二七六 就是嗯噢在那个呼叫转移给我取消嗯好密码知道吗知道的 
噢 你好 
呃我这里面有个和加副卡请帮我解除一下 谢谢 
喂你好那个任了就是我昨天办了一个那五十元那个流量可选包 然后的话我现在想取消 
唉你好呃我要取消和彩那个和留言那那个我本来在那个app取消的他说我不能取消 呃那个服务密码让我想想服务密码是一九tp连接直接 
唉我这手机上面有个什么十块钱的套餐给我取消掉 对对对还有什么还有什么套餐包刚才告诉我一下嗯 
喂 喂你好你好你好唉我是幺三八幺六三六的客户啊我刚刚不是欠了一个三十块钱三十块钱的套餐是九月一号的可不可以帮我取消我是清楚了我想这个月帮我加十块钱的流量 
唉你好但是我现在就是说九月份取消那个什么全国漫游的我以前怎么有一个什么漫游什么包的是可以取消了就是 噢那你先帮我取消掉吧是吧 
您好很高兴为您服务喂你好唉我想那个把我现在办理宽带一条 啊对的嗯然后那个号码就是这个一个移动号码 
好很高兴为您服务您好我这个电话打的时候怎么老是显显示老是给我一个什么之词消费好像是来是什么意思啊 噢这个给我取消好吧 
您好很高兴为您服务唉你好呃我之前就是 移动公司办那个手机套餐他们送一年的那个免费的宽带因为我现在想把它取消掉然后电话可以取消吗 
唉你好呃我有一个宽带那个报修了几次了还是坏的我想把它取消掉 都报修几次了 
喂您好我这边有一个副号码它有一个集团优惠套餐月基本费这个是什么我要取消 这个是什么三十块钱的是什么集团的这个是他的一个基础套餐是吧 
保持 喂你好唉你帮我帮我把三十三十一号一号两号的那个流量关一下好不好 
唉你好刚才订了一个进错了这个这个定向的呃事情什么我不要了谢谢你啊事情不要给我看一下啊啊啊啊什么二十四元的 表 
好很高兴为您服务哎麻烦你帮我那个订的流量加油包给我退掉不要了 恩好的我不要了每个月是六七二八 
啊你好我那个要用户所以所以你们说那个什么和包要取消怎么样的 等一下什么这样是包它是要转回不 
你好是这样的那个我这个我想把那个我的流量加油包这个月的流量加油包给停掉也就是下个月没有那个流量加油包 流量可选包 
唉你好我套餐里面有一个三天的业务这个宽带还暂时没有装宽带业务取消掉 对的对服务 
唉你好我手机有个每个月自动扣费的那个那个那个东西吗我把那个是一张信用卡 我想关掉我想绑另外一个卡 
唉你好我这边取消一下那个集团业务 不客气 
喂你好 然后我这个月我不是办了一个二十四块钱的套餐然后那个腾讯视频的三十gb的那个流量吗 
喂你好是这样我看到我的那个套餐里面有一个视频流量套餐啊是二十四块钱的那个喂 对这个你帮我取消掉吧 
按照等等唉我那个手机有什么高清通话你这个帮我关掉它 呃密码我不知道 
喂你好 这样子帮我把那个十块钱流量加油包给关掉 
喂你好没有我有一个集团短号我想把它取消掉 本机号码对对对对 
您好很高兴为您服务你好我这个手机号码的那个叫什么加八块钱的家庭什么套餐不想要下个月查一下 知道 
喂你好我我想那个跟你说一下我想把那个就是我五佰兆的那个流量套餐给取消掉就是满五百送五百兆的 就改成如果要改成十八块就是一百兆的那种噢 
那因为这麻烦呀因为我那到越南去旅游等一会大概半个小时就要从哪种清楚按出去了那么我就是说到越南以后呢我就不想让他那个光再再上网的功能你给我关闭取消吗上网功能流量是吧好的唉对对对对对他说费用很厉害的那个人 呃叫专家弓长张家庭的家套餐啊 
唉你好 我在那个纸账号是五十块钱的情况号不要不要了取消了 
哎你好请帮我关闭国际漫游 嗯有 
唉我刚打过我要取消国际漫游 把它关了吧 
喂你好我想我那个我现在这个号不是以前上海的吗我现在在条件里面我不知道上海没交费换成一千分钟左右吧 就是和全球通一样的就是 
喂你好我那个就是跟我老公办的一个三块钱两个人都是三块钱那个打电话的我想把它取消掉 按确定 
喂你好是这样的我这手机有一个咪咕视频我现在想把它取消掉 啊我没有咪咕视频嘛应该是有的 
唉小姐你好是这样子的我也我那个有有一个那个家庭套餐上面有一个副号我要把它就是说呃解除掉 知道的 
喂先生您好麻烦你帮我查一下我有一个那个视频流量套餐你帮我取消吧 密码知道的 
李小姐 喂你好你帮我那个移动网络那个上网的功能关掉好吧 
喂你好 唉对的就是我这个手机啊就是那个老人用的然后他就这个嗯前段时间那就是这个手机打不进来了今天我看一下这个嗯手机可能手机的这个内存比较小唉对了短信告诉我电视不要了这个短信功能关闭吗 
您好很高兴服务唉喂你好我刚刚那个开通了那个三天的那个港澳台流量套餐但我现在可以取消吗因为我觉得三天不够 一旦办理取消不掉的对噢噢噢噢那不能取消就算了好不好意思先生 
唉你好那个请帮我把那个集团短号可以去掉吧 它这个取消完了现在就不能使用的到下个月开始不收的我我我在哪里呢我已经不在那个公司的帮我取消那就这样了好行没问题那我帮您已经取消立即生效了 
唉你好这样的我我现在到美国去麻烦你帮我把呃中国的什么流量关掉 现在立即暂停行美国国际漫游吗 
哎嗯是这样的就是我我一个手机号就是幺三六零幺九八二六七幺 六七幺这这这手机帮我就是那个国际漫游的包帮我关一下 
唉我想我这个短号取消掉一下 我这个收费是每个月收多少的 
唉帮我取消呼叫转移 知道 
哦你好麻烦我想问一下我这个有一个五元的随意聊取消了 那我这个如果对我 
唉先生你好我我给你说一下我这上次有个没有二十块的加油包我现在下个月不要了取消掉了不要了 没有是吧 
唉你好是这样的我现在先不出国吗然后开通那个什么好像是国外国外的一个什么全球通还是什么 唉国际漫游我想那个现在回来了我想把它取消掉从下个月取消掉 
喂 啊对对对好的帮您关好了啊 
嗯那个你好我想把那个公司的电视毛机票啊 就是那个他之前说用户的那个手机啊 
你好我想把我下个月的上网套餐取消掉好的 啊对 
嗯嗯就这样啊 对幺三对去掉这个他就有一个话费就是双木林嗯问题嗯嗯嗯哼再见对嗯哼 
嗯先生你好嗯我想我想要那个暂停这个手机呃那个流量 不是退掉就现在 
唉你好我有个集团业务你帮我取消掉我不要了 短号码还是什么呃对对对对短号我不要了 
喂你好我今天等于说那个是四g你看我在现在是用的这个短信功能呢七四 六 
您好很高兴为您服务唉你好我手机有一个漫游服务的你帮我关一下好嘞 关掉吧好的 
唉你好我我去日本旅行然后呢我希望就是打高阳呃就是我的那个流量的那个关掉移动移动网络那个关掉 啊现在就关呃关好了这个能不能呃都是十我想看我是那个十二号晚上回来要不就是那我要不打个电话再回复吧好吗 
噢就是我上就这个月开通的那个什么三十兆那个任我看让我看看那个呀我不要你帮我取消吧因为我没时间看电视 密码我早都忘啦 
感谢等待是这样的就是我们公司帮一个原来挂号在我们公司张银行账户上就是每个月代扣款的一个员工的电话吗帮他取消我们跟银行挂钩的这个功能我想问一下我需要带什么证件过来吗 呃银行托应该是 
唉你好我是幺三六二幺九七九二零五的用户啊我想问一下我以前的话有一个就是家庭畅享套餐嘛有一个号码想退出 知道 
您好很高兴为您服务喂你好就是问一下我这个移动宽带我想取消掉 
唉你好我刚才收到一个短消息说我的宽带到期了我这个要停掉我要停掉他说如果不行的话它就自动往那个话费里扣吗 噢 
喂你好我麻烦问一下我帮我查一下就是我这个手机里面扣六块的那个 哦 
唉喂你好我用这个手机号开了一个宽带的业务我现在想取消你帮我弄一下吧 啊对的 
好我想取消一个套餐这个套餐我想取消一个 幺五八哦看看零零八六一七十二 
喂你好唉是这样的啊我我的手机这呃那个有一个校讯通的业务我想嗯这个月它就取消了先生 唉对的下个月不收费的 
嗯唉你好我因为从那个香港回来回来之后有一个套餐想关闭 呃呃 
那个呃不好意思小姐帮我取消一下我的集团套餐所有套餐 嗯 
到幺零零八六可以退掉的发送发短信发四个零 
喂你好请问我这个手机里面的那个一样是短信给我退掉 啊对是是 
呃你好 呃另外一个手机他那个幺零零八六 
噢您好我这边的话有一个原来单位有一个集团号现在是离职吗想把这个集团号取消 噢这个月还是要收扣掉十块钱的对吧 
唉你好那个我想那个出现请您把那个国内的那个流量给我关掉 呃要到 
哦你好我想把我的那个集团那个取消掉 对对好的好谢谢啊 
喂你好唉我是想明天把那个流量关掉明天是中午十二点钟管的 噢噢这样那个嗯嗯嗯嗯噢我知道了那个那么从明天的联呃不是你那种那那我看要五号零点了好像 
唉你帮我看一下就是我里面有一个什么五块钱随意聊这个能取消掉吗 好吧你发短信发给我一下 
哎你好 呃我的我的手机套餐里面有一个每个月的三十块的流量包 
唉你好小姐麻烦您帮我把这个手机号的那个电子发票取消行吗 呃密码不知道 
唉你好我我想把把我的那个漫游国际漫游关掉 对 
呃你好我这个手机号呃我想问一下我就八月份有一个什么彩信转什么那个业务还有一个什么上海新新的业务谢谢谢谢谢谢那个那个彩信那个情况嗯嗯 对这个可以取消掉吗 
哎你好请帮我取消一下这个集团业务那个十块钱的那个 啊对对对 
唉你好我 对 
呃喂你好那个麻烦帮我取消那个三元随心聊的那个 啊对对 
唉喂你好我刚刚现在你们现在幺零零八六给我打个电话刚刚我订了一个八十八元的套餐 呃然后呢呃他说有一个什么语音那个什么一个一个服务他不这边帮我取消不了然后你帮我取消了 
喂你好我想嗯说一下就是下个月我这个套餐里面三十块钱的那个家的网上那个取消掉 有点忘了要不我报身份证号码 
您好很高兴为您服务 你那边好像声音很小听不清 
喂 那个你帮我把那个呃二十五块钱的那个什么六六多少 
嗯 嗯请说我我这边去嗯嗯就是三号到九号要到国外去就要申请关闭g的流量 
喂你好 唉你好帮我把那个就是他们那个什么题大客户的那个三千就是参加这个活动的就是每个人就是网络之间可以三千分钟还有那个什么可以取消掉吗啊 
喂你好我想让你帮我把那个三元随心聊这个费用帮我去掉 对对对对对 
您好很高兴服务哎你好我想把本机的那个有一个二十元的流量包给我取消掉 手机密码知道吗手机密码知道吗 
啊你好我刚才大概一个小时之前打了一个电话就是报修的他自己弄好了 对对对对宽带两台三村这个已经弄好了就是说不用吧报修取消吧 
唉你好小姐我这样我应该在这个你这身份证号码有一个幺八八二幺幺三二四二三这个电话我想这套餐里面退出来今天再不要办手续收一个电话那边 啊 
呃就是我要取消一个什么什么那个什么东西 噢噢对的 
您好很高兴服务麻烦你把我把我的长国际长途关掉好 好 
喂你好但是我这边办了是不是办理宽带我想问怎么取消嗯嗯然后 嗯嗯 
哦好像那个十八元套餐 它应该有一个集团 
哎你好请帮我关掉上网功能打开那个国际漫游 嗯知道 
哎你好请帮我把那个我马上马上上飞机出国了吧gps关掉 对对现在客户啊 
呃我想 还有无线音乐会员还有来电提醒所有经理取消但不是我的这个号码是另外一个号码 
兴为您服务唉你好呃我刚刚那个手机号码是幺三五二四八八九五八零 二十八八九五五八零 
你好再见我把那个怎么下个月就你转那个套餐的时候怎么查一个 嗯那行能不能帮我把那个套餐 
唉你好帮我那个有一个套餐外的一个东西取消掉吧 对对 
唉你好是这样的那个我前两天换了一个套餐然后但是我原先里面有一个七十元的两g的一个套餐我想下个月取消 唉知道 
哎我想怎么可我因为咱们长了我以为是那个用流量啊港澳对完了你们那个 但是我过段的嘛我联系我就因为那个用老是投诉 
然后你能帮我把那个关联的手机号码就互打是免费的帮我取消一个 我的我的我的八十兆的 
呃喂你好我前两天开通一个在呃在一百分钟通话的套餐我想 呃三幺零 
喂你好那个我我手机里有个就是叫什么和视频的你帮我取消一下吧 如果 
唉你好是这样的那个我前两天换了一个套餐然后但是我原先里面有一个七十元的两g的一个套餐我想下个月取消 唉知道 
很高兴为您服务 请问您帮我把这个号码上面那个最低承诺消费取消掉最低承诺消费你说那个签约送话费活动啊噢对的这活动没有办法取消它是有合约的回去的 
喂你好那个我我手机里有个就是叫什么和视频的你帮我取消一下吧 如果 
刚才我打过电话来了就是现在转不进去转到那个地方而已要放音乐给我我等听了五六遍了也也不一定请问 你给我我我现在是就是我银行卡绑定的那个手机啊就是那个手机付费的我现在在哪个通知说扣款不成功就给我停机了 
唉你好 那个我前面是更换了套餐然后我之前有那个集团业务他说他这边取消不了已经要转过来 
呃我问一下就是下个月那些 没有没有取消了是吧 
你好就是我爸爸一个手机那他现在就是要取消那个什么长途漫游包啊不需要了 幺三七零 
哎下个月帮我改成飞享十八 叫吴加国 
那好吧我那个集团套餐帮我取消掉好像是 就我这个号码呀 
很高兴为您服务唉你好 呃我想把那我是主主主号码我想把那个副号码去掉一个 
唉你好嗯嗯我我刚刚接了一个那个嗯嗯那个什么那个流量包是吧麻烦你给我下个月给我取消掉好吧 噢没有不知道 
你好中国移动是吧 是这样的那个我有个那个五十元的那个上网套餐我想先把它关掉 
哎你好我想知道每天就那个套餐包括哪几身份证的内容 这些的话他收费的了那种累计付款 
你好帮我把那个国际长途那个关掉好吗 对的对的 
喂唉你好呃 因为我那我之后你们这个号码是幺三八幺七五零九二幺吧那么然后呢我有一个号码呢他是吧就把你的勇必须要那个流量嘛他建议到我这个手机那我它它这个套餐是八十八的那我现在这个套餐我他贵了我想现在到期了我想不要了他他给我推荐能 
唉你好 唉你好是这样的我咨询个问题啊就是我每次打你们客服电话或者是登录你们移动app吗 
唉你好我我想的了就是我们是出国嘛到到到回来我想把国内的那个叫什么呃长途漫游完就关闭了流量 关掉因为我是国际开通了七天的还没高欧洲的那个呃幺六八的那个畅聊哇但是我想国内的流量就就关掉了国内的那个漫游关掉 
唉你好是这样的那个我前两天换了一个套餐然后但是我原先里面有一个七十元的两g的一个套餐我想下个月取消 唉知道 
很高兴为您服务 请问您帮我把这个号码上面那个最低承诺消费取消掉最低承诺消费你说那个签约送话费活动啊噢对的这活动没有办法取消它是有合约的回去的 
啊喂你好你好我想呃我想加我的那个上班高峰期的那个套餐去掉 啊对对对 
哎你好我想问一下我看发的短信你们这个月的月租是没有的 什么意思 
我那个这个这个手机的那个号码就就那个库有什么视频二十多块钱帮我取消掉呢 二 
喂 噢你好就是刚才我又打电话说更改一下套餐我现在不想变更了我可以换回来可以这个电话又 
我我这个手机给我数据马上就断掉 呃就关掉吧恢复我回来了也 
嗯 喂你好那你这边宽带部门吗 
