请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 很 高兴 服务   哎 你好 我 想 问 一下 就是 开通 那个 实名 电话 他 要 那个 法人 的 发票 那个 电子 发票 在 哪儿 用 啊   发票 您 要 电子 发票 对 吧 是 您 本 机号码 吗   对 对 对   本 机号码 电子 发票 我 这边 可以 帮 您 开具 一下 您 的 服务 密码 知道 吗   对
您好 很 高兴 为您服务   喂 你好 我 刚才 打电话 了 就是 嗯 我 不 知道 到 外地 去 嘛 我 的 流量 好像 不够 了 嗯 我 想加 流量 怎么 加法   嗯 可以 多加 二十块 钱包 一点 五个 g   一点 五个 g 就是 一点 五个 g 那 我 要加 四十块 钱 的 就 三个 g 的 吧   呃 没有 的 他 这边 就是 最 划算 的 就是 二十块 一点 五个 g   如果 如果 之后 再 不够 用 的话
您好 很 高兴 您 服务   你好 我 想 问 一下 之前 好像 有人 联系 我 说 有 那种 流量 加量 不 加价 的 对 吗 噢 那 我 现在 要 怎么 办理 啊   我 帮 您 办理 一下 就 套餐 流量 用 原来 的 两个 g 免费 升级 至 三个 g 而且 现在 是 有 优惠 每个 月 再 送 您 三个 g 的 国内 流量 送到 明年 的 六月 底   噢 也就是说 总共 六个 流量 噢 好 然后 那个 就是 苹果 不是 新出 的 那个 我 去 吗 呃 意思 是 说 可以 支持 蜂窝 然后 移动 是 还 在   你好 您好   唉 你好 能 听到 吗 这个 你 说 呃 就是 苹果 新 大 不得 我 去 第三代 然后 他 后面 是 可以 支持 移动 的 蜂窝 流量 的 你们 这个 有 设置 吗
您好 很 高兴 为您服务   喂 你好   恩 您好 请 说   我 现在 想换 一下 我 那个 套餐 流量 套餐 那个   就是 我用 的 现在 是 五十八 的 套餐 嘛 一百 分钟 可以 啊 你 要 怎么 改 呢   嗯 嗯 现在 有 哪些 套餐 呀 比较 划算 一点 的 我 套餐 使用
你好 唉 你好 是 这样 我 想 咨询 一下 就是说 我 就是 这个 手机号 登记 的 有 一个 宽带 嘛 然后 我 现在 如果 现在 提前 停掉 的话 是 怎么 操作 的   之前 停掉 啊   呃 对   那 您 就 带 好 身份证 设备 去 安装 地 移动 营业厅 退订 但 这个 剩余时间 的 费用 就 不能 退还 了   就 不管 的 费用 还是 交掉 了 就 不 退 了 了   对 对 对
高兴 您 服务   唉 你好 恩过 我 就是 想 问 一下 我 这个 就是 那个 我 家庭 的 这个 宽带 这个 月 到期 我 想 继续 使用 在 里面 讲 一下   我 先 帮 您 查 一下 吧   嗯 嗯   没错 您 的 安装 地址 报 一下   啊
您好 兴 您 服务 您好   哎 你好 我 想 请问 一下 我 这 张卡 是 四川 的 卡 现在 我人 在 上海 我 想 办 那个 流量 办 那个 国内 通用 流量 怎么办   那 这个 要 打 回 四川 当地 移动 让 他们 这边 帮 您 办理 一下   嗯 是 四川 当地 移动   那 您 要 重新 拨打 就是 你 前面 加 那个 区 号 后面 跟着 幺 零零 八六 这样 打 回 当地 那边 可以 问 一下 他们 那边 是 有 怎么样 的 流量   啊 好好 好好 行 行
为您服务   你好 我 刚刚 收到 你们 一个 确认 的 短信 我 确认 了 我 回复 一个 外 然后 他 回 我 一个 信息 说 受理 不 成功 叫 我 跟 幺 零零 八六 联系   公司 短号 已经 回复 的 国外 已经 生效 了   已经 生效 了 是 吧 好 的 谢谢   恩 不 客气   嗯 再见
为您服务   喂 唉 你好 呃 你好 小姐 那个 我 的 那个 流量 还 不够 用 的 我 现在 怎么样 叠加 流量 包   呃 就是 当月 要 使用 流量 吗 先生   想 最好 是 现在 吧   因为 那边 要 用 流量 的话 它 只能 用 那个 加油 包 了 我 把 那个 短信 开通 方式 发送 过来 已 回复 一下 短信 进行 开通   加油 包是 什么 我 想要 两个 g 三个 g 的 有 吗
好 很 高兴 为您服务   唉 喂 你好 我 刚刚 收到 一条 短信 就是 你们 幺 零零 八 六八 六 他 说 最低 那个 套餐 资费 可以 登 免费 升级 到 那个 九 gb 对 吧 嗯 嗯 咱们 这边 是 国内 套餐 流量 有 三 g 的 全国 流量 对 吧 这 是 全国 可以 通用 对 吧 恩 那 那 我 可以 怎么 办理 呢   呃 三 g 的 呃 就是 要 变更 一下 套餐 啊 就是说 您 现在 是 非常 办 的 二百三十 就 需要 变更 成 那个 自选 版 的 二百三十八 就是 套餐 资费 不变 然后 流量 的话 就是 有 六个 g 呃 是 用 流量 是 赠送 到 明年 六月 底到 明年 七月份 开始 流量 的话 就 恢复 这个 三个 g   啊 对 吧 诶 你 你 你 你 说 慢点 那个 十元 一个 刚刚 比较 吵 你 刚 说 什么 从 什么 时候 开始   呃 从 就是 下个月 开始 有 三个 g 全国 流量 另外 送 三个 g 全国 流量 就是 六个 g 嘛 然后 是 送到 明年 六月 底 然后 明年 七月份 开始 就 恢复 三个 g 流量   呃 就 恢复 到 我 原来 的 流量 对 吧 恩 啊 恢复 到 原来 的 流量 就 赠送 啊 金 在 儿 这个 等于 真的 时间 不够 一年 对 吧
您好 很 高兴 为您服务   唉 你好 哎 我 想 问 一下 是 咨询 个 问题 就是说 那种 这个 手机 不是 有些 就是 换 手机 的 话费 的 芯片 要 大小 问题 是 吧 然后 我 手机 那个 卡是 大 的 那 我 该 怎么 去 什么 地方 去 换 一点   上海 移动 的 卡 吗   啊 对 对   这边 拿 身份证 到 上海 营业厅 换 就行了 都 可以 换 的   就 本地 营业厅 那 如果 我 这个 卡是 外地 的 卡 呢
您好 很 高兴 为您服务   唉 小姐 你好 我 想 咨询 一下 我 想 现在 这个 幺 三九 的 我 想 办 一个 那个 一 的 消费 一百零八 块 那个 家庭 那个 宽带 的 那个 那个 套餐 的 呃 怎么 办理 要 要 要 什么 条件 吗   您 要 办 家庭 承诺 消费 幺 零八是 吗 您 主号 我 说 您 是 要 办 家庭 承诺 消费 送 宽带 对 吧 对 对 对 对 这个 要 您 是 上海 户籍 可以 直接 带 好 身份证 去 那个 营业厅 里面 办理 的   呃 其他 的 有 什么 条件 不要 什么 条件 的 是 吧   嗯 嗯 主 号码 上海 户籍 就行了 您 办理 后费 的 家庭 统付 您 捆绑 其他 上海 移动 号 用 您 一个 人 统一 付费 然后 这个 地方 能装 就 可以 直接 办 啦   噢 那 如果 我 我 现在 我 现在 人 在 焦急 的 对 吧 我 如果 在 数据 装 的话 我要 我 本人 办 的 是 去 那个 营业厅 去 因为 这 就是 营业厅 去 办 营业厅 吗 九九 我 这 四千 六百 办 也 可以 的 是 吧
您好 很 高兴 为您服务   喂 你好   你好 您好 电话 已 接通 请 讲话   够 吗   请问 听 得到 我 的 声音 吗   那个
您好 很 高兴 为您服务   喂 你好 唉 我 在 我 在 外面 就 今天 一号 手机 突然 停机 了 就是 我充 话费 怎么 充 呢   呃 充值 对 吧 您 把 那个 手机号码 先 报 一下   幺 三九   幺 三九   五五 幺 二
您好 很 高兴 服务   唉 你好 那个 我 想 问 一下 那个 国庆 期间 开通 那个 呃 呃 就是 境外 流量 就是 怎么 申请 呢   另外 流量 您 要 首先 开 国际漫游 开 好 之后 再办 流量 包 按 流量 包 您 要 看 去 的 是 哪个 国家   噢 那 你 你 现在 能 帮 我 办 吗   国际漫游 可以 帮 您 办 您 办 流量 包去 的 是 哪个 国家 呢   到 英国
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 你们 不是 移动 不是 有 最后 那个 积分换 话费 换 流量 还有 换 其它 礼品   噢 这个 一直 有 的 只要 您 算够 就 可以 换   什么 问题 呢 我 怎么 这个 他 现在 就是说 一个 现金 什么 意思   信息 是不是 您 换 话费 还要 转接 之前 的 易   诶 还有 什么 不是 我 现在 是 在 你们 移动 官 网上 打开 他 不是 说 呃 积分 下面 不是 有个 什么 现金 八块 八加 一开 呀 这个 什么 意思 啊
呃 您好 很 高兴 为您服务   哎 那个 先生 你好 我 是 想 问 一下 就是 关于 我 是 一家 企业 吗 然后 我们 现在 是 要 办 那个 四 零零 的 就是 免费 人家 打 进来 的 那个 电话 我 想 问 一下 就是 具体 需要 怎么办 然后 对 我 需要 到 营业厅 办 吗 这些 还有 相关 材料 怎样 的 流程   需要 办 这边 移动 就是 移动 的 四 零零 电话 服务   呃 四 零零 就 这样 人家 不是 有 的 这种 东西 就是 打进去 就是 一个 免费 的 呼入 吗 免费 可以 就是 打 的 这种 电话   如果 咨询 移动 四 零零 电话 的话 小姐 您 可以 把 公司 名称 办公 地址 再 留个 联系电话 给 我 因为 营业厅 是 不 受理 的 我们 这边 可以 帮 您 登记 稍后 会 有 办理 的 专业 业务经理 联系 你 你 可以 问 一下 流程 资费   我 我 我 那个 我留 一个 手机号码 给 你好 吧 你 等 一下 让 你 的 同事 联系 我 这个 电话 可以 吗
您好 兴 您 服务 您好   现在 我 问 一下 就是 我 手机 要 开通 上网 功能 就是 电话 里 可以 开通 的 对 吧   可以   嗯 如果 我 现在 开通 就 现在 就 马上 就 充 了 对 吧   可以   呃 我 想 问 一下 如果 我 关掉 的话 也 是 电话 里 也 能 马上 就 关掉 了 等 一下 好 的 那么 你 这个
您好 高兴 为您服务   哎 你好 我 想 咨询 一下 嗯 嗯 下个月 呃 就 这个 办 了 吧 我 还 没到 我 这 后付费 的 然后 我 想 把 这个 积分 用 掉 你们 这里 可以 办理 的   额 积分 这里 不能 直接 办 但 说 那个 可以 把 那个 兑换 的 方式 可以 发给您 您 要 兑换 话费 还是 要 兑换 什么   然后 兑换 话费   话费 的话 我 把 它 兑换 代码 发给您 回复 短信 就 可以 兑换 了   呃 到时候 后付费 账单 他会 帮 我 减免 掉 了 对 吧
您好 很 高兴 为您服务   唉 你好 帮 我查 那个 我 发短信 说 我 有 七千 六百 拨 的 那个   呃 我 听 不到 您 说话 麻烦 您 调整 一下 您好 您 要 七千 多 的 积分 怎么 了   我 说 我 要 兑换 流量 怎么 换 呀   兑换 流量 是 八百 四 十分 兑换 一 百兆 加油 包 兑换 流量 呢 只是 当月 用下 月 自动 取消 我会 把 兑换 方式 发给您 只要 自己 根据 短信 进行 兑换 的   我 发到 您 手机 上 我 用 不来 的
啊 那 就 改 还有 什么   您好 兴 为您服务   喂 我 想 问 一下 我 这个 要 要 到 那个 泰国 去 旅游 的话 我 二十四 号 的 那 我 要 开通 这个 国际漫游 和 那个 上网 流量 费 怎么 开 呀   我 是 泰国 对 吧 可以 开 国际漫游 的 然后 那个 流量 的话 是 按照 三块 钱三兆算 的 三十块 钱 一天 不 封顶 另外 的话 有 一些 套餐 带有 三天 包是 七十八 的 五天 一百一十 八七 天 一百五十 八   五天 多少   五天 的话 是 一百五十 八
您好 很 高兴 为您服务   喂 你好 请问 一下 我办 一下 宽带 的话 是 怎么办   宽带 是 吗 我 这边 为 您 转接 宽带 专席 由 专席 为 您 办理 请稍等 吧
您好 很 高兴 为您服务   喂 你好 麻烦 你 因为 我 这个 我想 办个 另外 一个 手机 充充 流量 的话 如果说 嗯 它 因为 它 这个 本 现在 是 坏 了 外 吗 老外 的话 他 现在 手机 也 不 在 我 手里 我 想 帮 他 充 一下 可以 吗   刚才 充 流量 这里 办理 业务 需要 密码 的 他 的 密码 有 吗   他 的 密码 我 没有 唉 有 的话 就 其他 平台 帮 他们   比如说 上 微信 帮 他 买 流量 这个 号码 就 可以   在 微信 帮 他 买
您好 很 高兴 为您服务   喂 你好 我 想 那个 购买 流量   要 买 多少 流量   那 这个 月 嗯 优惠 的 怎么办   嗯 您 到 月底 大概 还 需要 多少 流量   两个 g 左右 吧 两三个 月 内
您好 兴 您 服务   你好 三 五四 幺 三八 零 幺 八八 二 五四 幺 的 用户 然后 是 关于 宽带 安装 啊 当时 手机 最好 是 好像 明天 是 吧   噢 要查 才 知道 手机 密码 知道 吗   应该 知道   您 不要 挂 根据 语音 提示 输入 一下 您好 密码 成功 地址 说 一下   呃 龙吴 路 两 千八百 八十八 弄 二十八 号楼 二三 零 幺
噢   您好 很 高兴 为您服务   你好 请问 一下 这个 积分换 话费 怎么 换   积分换 话费 是 吧 两千五百 分 兑换 三十元 话费 我 怎么 可能 用 了 短信 指令 您 需要的话 稍后 发短信 兑换   嗯 好 的 好 的 谢谢 啊   感谢 还有 什么 可以 帮 您 吗
请 不要 挂机 您 拨 想 喂   唉 你好   很 抱歉 我 看看 刚才 断线 了   噢 我 刚才 直接 转 到 那个 宽带 那边 去 了 不好意思   没事 嗯 嗯 他 断线 了 然后 那个 就是 您 现在 是 在 帮 我 转 吗   啊 是 的 您 稍等一下 我 再 帮 您 试 了 转接 有效
您好 高兴 为您服务   哎 你好 我 想 问 一下 那个 十块钱 一个月 的 宽带 怎么 办理   就 现在 是 有 一个 双十 一 活动 十一月 十号 到 十二号 申请 办理 可以 享受 这个 优惠   呃 是 不要 查 那个 所在地 能 不能 再   如果 您 报下 地址 我 帮 您 看 一下   你们 好像 是 上海市 普陀区 紫藤 路
您好 很 高兴 为您服务   啊 你好 呃 那个 我 我 可以 问 一下 我 这个 要是 加 流量 包 的话 是 怎么 加 吧   就是 这个 月 临时 加点 流量 的 意思 吗 哦 那 选择 也 挺 多 的 那 您 看 您 根据 需要 来 的 您 看 这个 月 到 月底 大概 需要 多少 兆 我 帮 您 找 一个   噢 这个 我 还 真 不 清楚 这个 怎么 到   现在 需要 多少 余额 不足 要 跟 您 需要 来 的 因为 我 也 不 知道 你 需要 多少   就 两百 应该 还 可以 吧
高兴 为您服务   嗯 请 帮 我查 一下 我 那个 彩铃 歌曲 接收   彩铃 歌曲 的话 您 打 幺 二五 三零 这边 查询 一下   收 市话费 的   幺 二五 三零对 吧 噢 好 的 好 的 如果 您 对 服务满意 请 给 十分 评价 祝您 生活
就 帮 我 电话 充值 喂 在 通话 的话 嗯 嗯   套餐 营业厅 要求 有关   我 知道 喂 你 帮 我 短信 好 幺 三 嗯 大学 就是 你 帮 我 改
您好 很 高兴 为您服务   唉 你好 我 这边 想换 一个 套餐 嗯 怎么 换 噢 因为 我 现在 是 那个 光 呃 五十块 钱 是 多少 流量 呢 这 五十 兆 是 吧 二 两个 g 那 我 现在 因为 我要 那个 免费 打电话 嘛 我 现在 想换 一个 通话 的 那个   那 你 要 多少 通话 多少 流量 您 告诉 我   你 那边 帮 我 介绍 一 下来   介绍 因为 那 您 要 先 告诉 我 您 目 要求 是 几分钟 流量 多少 我 才能 给 您 介绍 啊   噢 两三百 分钟 都 可以 四五百 分钟 也 可以
您好 很 高兴 为您服务   啊 你好 那个 就是 上次 让 你们 帮 我 提供 那个 九月份 的 电子 发票 吗 提供 是 提供 过来 了 但是 它 上面 那个 纳税人 识别 号 跟 开户行 的 账号 对 云南 是 两难 都 是 空 的 嗯 这个 的话 就是说 需要 需要 登记 这个 号码 当时 登记 的 那个 识别 号 你们 打上去 就 可以 了 吗 还是 怎么 的   是 哪个 号码 试过 您 的 手机号 还 有限公司   就 这 我 就 我 这个 手机号 但是 它 是 公司 号 开 的 吗   噢 您 没有 纳税人 识别 号 是 吧   先生 其实 应该 是 一
全 您好 很 高兴 为您服务 喂 你好 那个 号 喂 我 那个 手机号码 莫名其妙 被 标记 了 然后 我 这个 要 怎么 消除 呀   村   鼠标 奇怪   去 了 一 呃 那 这 应该 是 三 六零 的 什么 软件 什么 上面 标记 的 那 您 要 联系 他们 那边 直接 删除   再 联系 他们 那边 去 申请 对 吧   对 的
好 很 高兴 为您服务   哎 我 想 问 一下 我 在 网上 那个 兑换 积分 吗 然后 有 一个 什么 付 客服 什么   密码 就是 六位数 的 一个 服务 密码 如果 您 不 知道 的话 您 可以 发送 短信 幺 零六 三到 幺 零零 八六 可以 进行 密码 重置   幺 零六 三 那 我 如果 没有 设置 过有 初始密码 吗   没有 设置 过 的话 是 没有 初始密码 的 电话 就是 通过 这个 幺 零六 三来 重置 呢   自己 去求 那 我 现在 电话 里面 可以 转 可以 转 的话 那个 吗 就是 兑换 了
您好 很 高兴 为您服务   哎 你好 我 想 自己 打印 那个 电子 发票 然后 我 现在 已经 登上 那个 中国移动 的 网络 但是 我 不 知道 在 哪里 办   稍 等 我查 一下 啊   啊 好   不 客气 那 我 这边 帮 您 开 一下 您 的 服务 密码 知道 吗   呃 先生 嗯 五 三八
您好 很 高兴 为您服务   你好 就是 我 这个 手机号 也 办理 一个 那个 和 单位 套餐 不是 现在 那个 就是 网 那个 叫 什么 呃 呃 都 可以 免费 升级 呢 是 吧   那 免费 充值   嗯 嗯   宽带 吗   呃 宽带 对
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 那个 刚才 那个 电子 发票 怎么 改 在 哪里 啊   这个 发票 的话 在 邮箱 里 然后 每个 月 它 有 一个 移动 默认 邮箱 呢 呃 在 幺 三九 邮箱 里面 就是 手机号 艾特 幺 三 九点 com 然后 那个 登录 方法 我 可以 发给您 用户名 是 手机号 密码 的话 可以 用 短信 验证码 来 登录 发 那个 网址 给 您 了   恩   还有 什么 帮 您   号 好好 谢谢 谢谢 啊
您好 兴 您 服务 您好   哎 你好 我 想 我 想 我 要 这个 打 一下 这个 话费 工单 的话 需要 什么 密码 怎么 操作 呀   呃 更改 的话 您 拨打 幺 零零 八六 按 四号 键 根据 语音 提示 合同 重新 设置 一下 好 嗯 嗯 帮 您 转到 语音 首层 您 按 一下 四号 键 可以 直接 设置 一下 好 吧 噢 好好 那 这边 请稍等 其他 开户 的 详细 介绍
你好   您好 很 高兴 为您服务   喂 你好 就是 问 一下 我 我 现在 这个 手机号码 能办 宽带 吗   嗯 号码 办 宽带 手机号码 是 上海 移动 的 手机号码   在 在 上海 移动 就是 我 我 现在 想 装 宽带 然后 我 把 地址 报给 你 你 能 帮 我查 一下 能 不能 装 吗   他 先 这样
哦   喂 你好   您好 请 说   嗯 这 样子 就是 呃 我 原先 办 了 一个 那个 五 十八块 的 那个 合家 那个 宽带 套餐 啊 那个 就是 我 看 我们 小区 好像 是 跟 那个 嗯 有线通 是 绑定 的   嗯 对   就是 通过 有线通 的 线 那个 呃 我 看 呃 就 用 宽带 的 对 对 对 对 那 我 现在 因为 有线通 那个 电视 是 不想 看 了 吗 然后 我 打电话 去 问过 了 吗 有线 他 说 那边 说 就是说 因为 办 了 这个 业务 他 那边 那个 就是 电视 那个 不能 暂停 啊 那 是 有没有 什么 单独 的 那个 信号 怎么样 的 我 搞不清楚
您好 很 高兴 为您服务   唉 你好 是 这样 的 就是 那个 我 有 个 宽带 想 移机 的话 怎么 办理 了   营业厅 的话 是 要 带 好 身份证 原件 去 营业厅 办 的   一定 要 去 营业厅 啊   对   呃 现在 问题 浦东 那个 高航 这个 营业厅 开始
您好 很 高兴 为您服务   那个 我 想 问 一下 就是 呃 咱们 这个 那个 网线 是 怎么 怎么 办理 啊 就是 无线网   网线 您 说 的 是 个人 办 无线网络   对 给 家里 吧   号码 家里 的话 我们 这边 只有 移动 的 这种 宽带 但是 都 是 有线 的 没有 无限 号码   哦 就 移动 宽带 怎么办 呀
您好 很 高兴 为您服务   唉 你好 我 这 我 这个 手机号码 不是 那个 到期 了 嘛 这个 月 是 吧 一百二十八 元 的   对   对 吧 因为 你 你 这里 能 改 吗 现在   改 套餐 吗   呃 小票 的话
您好 很 高兴 为您服务   哎 您好 是 这样 的 我们 公司 要 办理 一张 公司 用 的 那个 电话卡 然后 我 想 知道 需要 的 那些 资料 去 营业厅 办理   公司 就是 申请 一个 新 的 上海 移动 号码 一共 是 没有 登记   对 对   那 之前 公司 先 您 现在 有没有 注册 过 上海 移动 号码 因为 它 规定 最 多 只能 登记 有个   没有
嗯 要 增加 喂 唉 先生   恩   啊 问个问题 就是 那个 那个 企业 彩铃 功能 版 的 这个 业务 知道 啊   嗯 嗯 具体 细则 不太 了解 这 集团 业务 啊   这 好像 不是 集团 业务 啊 工单 里面 写 的 这个 不是 集团 业务 集团 没法 回复 的   企业 彩铃 公众 版 不是 集团 要么 幺 五三零 那边 开 的
您好 很 高兴 为您服务   喂 你好   唉 你好   唉 我 想 请问 一下 我 这个 卡 我 想 把 它 停掉 要 怎么 提   呃 这 号码 要 办理 停机 保号 是 吧 目前 显示 您 这 号码 呃 可以 办 停机 保号 就 是从 账 呃 就 现在 开始 马上 停掉 然后 从 下个月 开始 停满 一 整个 自然 月 会 扣除 五块 钱 的 停机 保号费   我 然后 只要 打 人工 服务 就 可以 停掉 是不是 啊
您好 很 高兴 为您服务   你好 我 想 咨询 一下 如果 办理 企业 彩铃   企业 彩铃 如果 办 的话 它 是 必须 公司 名义 办理 然后 要 十个 上海 移动 手机号码 才 可以 办 其他 彩铃   只能 是 上海 移动 号码   啊 对 一个 号码 是 办理 不了 线   就是 免费 办 了 吗
姓周 流量 您好 兴 您 服务   唉 你好 小姐 那个 我 想 申请 移动 宽带 应该 怎么 做 啊   七 呃 首先 下 地址 的 资源 地址 报 一下 吧   地址 沪 青路 八十八 弄   等 一下 啊 是 哪个 区 的   啊
您好 兴 您 服务   喂 您好   喂 您好 请 讲   我 是 当时 办 的 这张 号码 是 用 别人 身份证 办 的 我 现在 想 把 那个 身份证 改成 自己 的 怎么办   嗯 双方 带 好 各自 带带 一下 身份证 手机卡 去 我们 上海 移动 已经 办 一下 过户 的 手续   就 一定 要 他 本人 吗 唉 然后 让 他 身份证 吗
您好 很 高兴 为您服务 您好   哎 你好 我 想想 问 一下   你好 就是   就是 我 那个 手机 为什么 会 收到 信息 说 我 里面 的 积分 八千多 分 可以 换 一百元 话费 就是 真的 吗   对 现在 这个 短信 对 是 的 真的 真是 的 啊 这个 是 专席 吧 啊 对 您 按照 那个 短信 操作 一个月 兑换 一次 月末 最后 一天 不能 情况 我 把 那个 操作 代码 发给你 这边   操作 的 代码
为您服务   喂 你好 我 我 想 问 一下 就是 我 有 个 外省 的 那个 手机号 如果 想 销户 的话 呃 打 那个 外省 的 这个 电话 能 销掉 吗   嗯 这个 要 以 当地 的 那个 移动 规则 为准 但是 上海 移动 这边 的话 在 电话 里 是 销户 不了 所以 外地 应该 建议您 稍后 打人 在 外地 移动 幺 零零 八六去 咨询 一下 噢 那个 是 销户 不了 的   他 是 预付费 的 啊 你 给 我 我 也 不 欠费 什么 的 呃 不能 销户 之后 我 取消 不了 那 是 后面 就 产生 这个 就 我 这个 下个月 办 业务 是 有 影响 是不是 啊   那 您 那个 号码 外地 号码 还 能 打通 电话 吗   刚才 没有 打通 的 这 三百 分钟 还 还 不换 十块钱 了 我 就 不 想要 了 吗
很 高兴 为您服务   唉 你好 那个 我 咨询 一下 我们 那个 超市 我们 那个 铺子 不是 里面 那个 我 是 那个 公司 就是说 要 办 那个 他们 给 我 统一 装 那个 移动 宽带 我 这边 是不是 要 开户 啊   移动 宽带 您 是 通过 什么 渠道 办理 了   是 这个 世纪 联华 超市 统一 装 的   他们 这边 是 已经 联系 我们 相关 人员 进行 办理 呢 还是 说 没有 办 因为 我们 这边 只能 帮 您 查 一下 地址 有没有 线路 覆盖 线   噢 那 你 查 一下 地址
您好 很 高兴 为您服务   喂 你好 谢谢   请 您好 请 讲   这个 移动 的 宽带 网络 怎么 用 什么 路   怎么 用   怎么 怎么弄
您好 很 高兴 为您服务   唉 你好 我 问 一下 你们 这个 宽带 怎么 安装   公司 宽带 是 吧   对   那 您 是 哪个 地址 帮 您 先 看 一下 有没有 资源 覆盖   我 是 在 那个 火车站 天目 开么 怎么 使用 一百一十 六
高兴 为您服务   哎 你好 我 想 问 一下 你们 那 宽带 怎么 算 呢   把 这边 的 地址 报 一下 我查 一下 有没有 宽带 线路   参加 了   上海浦东新区 什么 路 啊 请问 一下   他 他 的
您好 很 高兴 为您服务   喂 你好   就是   那个 号 要 一个 位置 我 那天 登记 的 我 想查 一下 什么 时候 能够 以后 叫 我 怎么 用 呢   您 说 的 是 移动 宽带 嘛   对 对
您好 很 高兴 为您服务   唉 你好   服务 银行卡 就是 唉 我们 公司 想办 一个 那个   就是 集团 集团 号 就 会 去   就是 办 那个 卡 就 想 问 一下 具体 是 怎么办 呢 办 公司 短号 是 吗 之前 没有 办过 的 现在 公司 要 主键 这个 短号 群是 这个 意思 对 吗 呃 就是 公司 内部 打电话 吗 嗯 您 公司 这边 以前 有 在 移动 办过 公司   业务 吗
您好 很 高兴 为您服务   哎 你好 哎 就是 我们 公司 有 两个 号码 啊 最近 我们 公司 因为 营业执照 变动 了 然后 开票 信息 啊 包括 公司 名称 不是 证件 号 之类 的 收到 信息 都 变动 了 那 我 应该 怎么 去 营业厅 改改 改 那个 这个   变更 说 号码 先生 手机号码 是 多少   呃 有 两个 不是 这个 我要 报 一下 对 吧   对 卡号 是 多少 你 报 一下   幺 四 幺 四 七八 二 五九
您好 很 高兴 为您服务   是非 是 这样 的 那个 呃 我 之前 办 了 一个 号 是 我 一个 人 你 你 你 我 个人 名义 贷 的 但是 其实 是 给 公司 的 不能 用 的 呃 不是 现在 遇到 了 一个 问题 是 说 发票 报销 的 时候 只有 我 的 名字 没有 税号 这些 东西 他 过 我 问 一下 怎么样 才能 转给 那个 转 到 公司 那边 去 这些 卡 的 这个 原因 是 一定 要 有 公章 原件 但是 我们 工作人员 现在 北京 他 不让 我 让 那个 就是 因为 这样 的 事情 拿 出来 所以 我 问 一下 现在 应该 怎么办   就 您 现在 是 个人 登记 的 手机号码 开 出来 的 发票 是 要 以 公司 名义 登记   对   那 除非 您 把 那个 个人 名称 要 过户 到 公司 名称 公司 名称 一下 那开 出来 的 电子 发票 才 会 有 公司 抬头   呃 怎么 这 怎么 扣扣 了 我 这 手机 怎么 做 呢
您好 很 高兴 为您服务   唉 先生 我 想 我 想 问 一下 我 明天 呃 那个 国际 漫 呃 那个 博 g 的 那个 我 到 日本 去 那个 上网 怎么弄 啊 我 只要 一天 是 要 用 流量 的   在 日本 上网 就是 按照 三块 钱包 三兆 一天 的 流量 费 最多收 三十 说满 三十块 当天 流量 可以 无限 畅用 这样 开通 国际漫游   呃 就是 我 只要 一天 反正 就是 按 一天 一天 算 的 是 吧 你 这天 用 了 那 就是   反正 在 绑定   三十块 就 封顶 的 对 吧 噢 那 你 帮 我 开通 一下
很 高兴 为您服务 您好   哎 请问 一下 就是说 现在 那个 宽带 是 怎么 装 的   宽带 怎么 装 的 是 吧   对   那报 一下 地址 吗 我 帮 您 查询 一下 是否 有 覆盖 您 看行 吗   啊 行 嗯 嗯
您好 很 高兴 为您服务   啊 我 想 问 一下 那个 什么 事四 g 什么 流量 装 的 是 什么 怎么弄 的   呃 四 g 送 流量 是 吗 您 这 是 咱们 一个 流量 超过 欢 的 活动 什么 女士   对 对 对 对 对 十周年   唉 您 稍等一下 我 帮 您 看 一下 好 嘛 呃 目前 看到 的话 您 是 一个 三十八 元 档次 的 一个 飞享 套餐 吗 只 包含 有 五十分钟 那个 通话 分钟 数 和 一个 三百 兆 的 国内 流量 是 这样 的 啊 唉 您 稍 等 我 看 一下   八六
您好 高兴 为您服务 您好   唉 你好 那个 我 想 就是 问问 那个 就是 移动 的 这个 宽带 是 怎么 办理 你好 一万块 钱 幺 三 你 说 对 对 因为 之前 你们 那个 邮件 务员 给 我 打过 电话 说 你 我 想 请问 办理 什么 可以 什么 免费 办理 我 我 没 听 清楚 对 麻烦 您 地址 报 一下 行 吗 这个 我 的 地址 啊 就是 制 成功 六   什么 区 的   松江区 嗯   什么 公路 再报 一下   是
您好 很 高兴 为您服务   唉 你好 我 那个 积分换 话 话费 的话 怎么 换 呢   啊 积分 兑换 话费 要 自己 通过 短信 兑换 不过 您 停机 状态 也 没 办法 电话 呢 要 先 复机 然后 才能 兑换 停机 不能 兑换 积分 对   好 的 知道
