你好 请 讲 其他   先生 嗯 请 讲
您好 请 讲   呃 先是 十八 的 套餐 一个月 十八块 钱 的 月租 他 那个 这个
你好 诶 你好 你好   一个 月租 八十八 一个 三十元 的 流量 还有 一个 宽带 电视 其他 我 帮 您 查 了 这 张卡上 没有 其他 的 扣费 项目 了 就 一个 家庭网 了
您好 请 说 您好   请稍等 我 帮 您 查询 一下 我 帮 您 查询 了 一下 您 这边 用 的 是 九十九 块钱 的 套餐 除了 这个 之外 其他 收费 的 业务 还有 就是 一个 噢 一百块 钱 的 流量 套餐 来电 提醒 的 服务 有 这些
您好 请 讲   请稍等 噢 您 这边 付费 基本 套餐 二 两百 八十八 吗 另外 是 两块钱 来电 提醒 这边 还有 个 二十元 一百五十 兆 流量 包 还有 三块 钱 的 对 三块 钱 的 天气预报 另外 就 月底 我 看 一下 月底 会扣 一个 那个 消防 集团 微厅 对
您好 很 高兴 为您服务   对 您 现在 是 飞享 四 g 飞享 八十 八块钱 套餐
您好 请 讲 哎   呃 是 属于 飞享 套餐 三十 八块钱 的 啊 三十八 呀 飞享 套餐 三 十八块
您好 请 讲   诶 您好
你好 中午 好 请 讲   您好 请 说
很 高兴 为您服务 您好 请 讲   我查 一下
您好 请 讲   我 现在 不
您好 请 讲   嗯 嗯 您 套餐 十八块 外 这边 有 一个 阅读 跟 彩印
您好 很 高兴 为您服务 诶 您好 您 说   噢 现在 就 说 现在 想要 多少 流量 呢 这边 十块钱 一 百兆 的
您好 请 讲   好 稍 等 哈 可以 对 有 开
你好   十八块 钱 一百 分钟 本地 分钟 数一 百兆 流量
下午 好 请 讲   好 您 稍 等 正在 为 您 查询
您好 很 高兴 为您服务   请 您 稍 等 我 帮 您 查询 一下
嗯 嗯   您好 请 讲
您好 请 讲   请 您 稍等一下 帮 您 看 一下 呃 是 这 样子 的 情况 您 这边 的话 是 有 一个 预存 六十 送 六十元 话费 的 一个
你好 什么 可以 帮 您   好 的
嗯 可以 呀 您 就 睡觉 然后 我开 通行 噢 您 是 说 学校 业务 九月 十二号 就 已经 关掉 了   对 是 的
你好 请 说   五十八 除了 这些 之外 我 看 一下
您好 很 高兴 为您服务   请 您 稍 等 您 现在 这个 套餐 的话 是 三 十八块 的 下个月 改成 了 一个 飞享 八八 套餐
就行 您好 很 高兴 为您服务   请稍等 咱们 现在 的 号码 是 三十八 套餐 月租 是 三十 八块钱
您好 请 讲   套餐 的话 这边 是 一百三十八 块钱 的 五百 分钟 然后 的话 这边 有 一个 g 的 流量
您好 很 高兴 为您服务   可以 的 首先 来说 下本 机办 的 是 九九 套餐 然后 另外 的话 就是 有 一个 来电 提醒 之前 有 参加 一个 流量 活动 每个 月 只要 付 十块钱 可以 享受 一个 g 的 流量 那 再 加上 这 一个 流量 其他 的 我查 了 一下 就 没有 了 就 这么 多
他们 您好 很 高兴 为您服务   好 我 看 一下 您 现在 是 没有 呼叫 等待 吗 呼叫 等待 的 功能 是 有 在 的 这个 是 需要 设置 的 噢 手机 上面 设置 就 可以 了 呃 我 稍后 将 设置 的 方式 给 您 下发 了 您 看 一下 噢 好 谢谢 嗯 嗯 还有 其他 疑问 吗
不客 您好 很 高兴 为您服务 先生   好 请稍等
您好 请 说   噢 好 请 稍等一下
您好 请 讲   已经 申请 成功 了 呀
您好 很 高兴 为您服务   六十元 六 g 的 是 吗 那个 到 十二月 十四号
您好 请 您 说   七十块 钱 流量 送 一百五十块 钱 的 那个 您 说 的 是 电子 券 了 呃 对 啊 现在 又 往 电线 怎么 用 这些
您好 请 讲 您好 请 说 请 讲 嗯   现在 是 吧 我 看 一下 稍等一下 现在 卡 上面 我 帮 您 看 了 一下 目前 增值 业务 吗 有 开通 一个 来电 提醒 功能 除了 这个 来电 提醒 功能 业务 以外 的话 有 没什么 业务 了
很 高兴 您 服务 您好 诶 您好 有 什么 可以 帮 您   您 现在 就 十八元 套餐 来电 提醒 两块 咪咕 特级 会员 包 六块 彩印 套餐 三块 就 这些 扣费 的
您好 请 讲 您好   哎 您好 请 讲
下 哎 您好 请 讲   这儿 看 一下 有没有 新 增加 的 业务 您 这个 目前 没有 新 增加 进来 的 噢 就是 三 十八块 套餐
诶 您好 请 说   噢 好 的 请 稍等一下 马上 为 您 查询 啊 呃 感谢 耐心 等待 帮 您 查询 了 一下 确实 是 没有 这个 功能 的
您好 请 说   您 这边 还有 一个 健康 的 手机 报 一个月 八块 另外 有个 来电 提醒 其他 这边 没有 收费 的 业务 了 就
您好 很 高兴 您 服务 您好 请问 什么 可以 帮助 您   您 是 说 咪赛 是 吗
您好 请 讲   目前 除了 您 十八 的 套餐 除了 基本 的 月租 十八 额外 的话 就 没有 其他 固定 收费 业务 了
您好 请 讲   现在 这 张卡 是 三十八 的 套餐
您好 请 讲   开通 流量 吗
您好 请 说   喂 你好 你 帮 我 你 帮 我查 一下 我 这 什么 套餐
您好 请 说   恩对 是 的
先帮 我 查询 一下 啊 你好 帮 我 看 有没有 增值 业务 帮 我关 一下 好 的 请 您 先 稍 等 现在 为 您 转接 嗯 嗯 啊 诶 您好 感谢 耐心 等待 我 帮 您 查 一下 本机 这 张卡 目前 没有 开 增值 业务 您 目前 是 一个 十八块 钱 的 套餐   好 马上 为 您 查看 好 谢谢 特别 嗯 先生 您 这个 月 就 扣 了 一笔 十八块 其他 任何 费用 都 没有 产生 那 上个月 呢
您好 请 讲   对 呀 二十八 的 先生
嗯 嗯   你好
您好 高兴 您 服务   呃 是 什么 套餐 呃 本机 是 三 十八块 的 套餐 有 包括 那个 来电显示 五百 兆 流量 跟 一百 分钟 通话 的
您好 请 讲   呃 我 帮 您 核实 八十八 的 这款
二零一 九年 四月 一号 到期   嗯 那 不是 的
您好 请 讲   有 有 一 百兆
嗯 什么 您好 请 说   查 一下 我 这个 本机 的 套餐 是 什么 套餐 呃 请 稍等一下 号码 才能 查询 女士 您好 咱们 这个 号码 是 五十八 这个 飞享 套餐 的 恩 那 里面 有 包括 什么 里面 包括 是 有 一百 分钟 全国 通话 五百 兆 国内 流量
您好 很 高兴 为您服务   您 说 本机 有 开通 什么 套餐 啊 不是
很 高兴 为您服务 您好   好 稍等一下 啊 您 的 套餐 是 十八块 钱 的 套餐 啊 噢
好 的 要 关掉 是 吗   好 的 您 不要 挂机 我 给 您 关掉 了
您好 很 高兴 为您服务   额 vip 是 的 有
嗯 嗯 您好 很 高兴 为您服务 您好   本 机号码 现在 用 的 是 超级 四 g 全家 统 套餐 一百八十 八 的
你好 请 说 对 你好   呃 您 说
喂 您好 请 讲   十八块 钱 的 飞享 套餐 呃
你好   马上 帮 您 看 一下 您 这边 的话 有个 来电 提醒您 要 吗 一个月 收 您 三块 钱 还有 个 彩印 也 是 一个月 收 您 三块 钱
您好 请 说   您好
您好 请 讲   您 现在 这个 三十八 元 的 一百 分钟 通话 五百 兆 流量 跟 来电显示
您好 请 讲   嗯 给 您 看 一下 您好 有 的
嗯 嗯 您好 请 讲 您好   诶 我 这 里面 有开 我 前天 有开 一个 什么 套餐 啊
您好 请 说   一个月 是 飞享 八元 的 套餐 一个月 八块钱
你好   现在 你 就是 用 了 一百三十 九 套餐 女士
您好 您 请 说   对
噢 您 这边 稍 等 我 帮 您 看 一下 哈 噢 有 的 先生 已经 有开 国际漫游 了   有 有 开 那个 五天 的
您好 请 说   嗯
您好 请 说 您好   号码 现在 用 的 是 一个五十 八块钱 的 套餐
您好 请 讲   我 肯定 对 是 的
您好 请 说   有人 的话 他 在 工 台上 的话 是 没有 信号 的
您好 高兴 为您服务   我 看 一下
您好 请 讲   喂 你好 我
您好 请 说   您 现在 这个 号码 目前 没有 什么 活动 绑定 套餐 更改 都 可以 随意 变更 那些
您好 请 讲 您好   好 请稍等 好 谢谢 嗯 不 客气 您好 您 这边 没有 开 什么游戏 啊 您 就 九块 钱 的 套餐 然后 有 一个 流量 的话 一天 就 扣 您 一块 一天 有 五百 兆 的 省内 流量
您好 高兴 您 服务   用 那个 手机号码 的 服务 密码 吗
您好 很 高兴 为您服务   好 的 稍等一下 呃 帮 您 查 了 一下 是 办理 十八元 的 一个 套餐 还有 健康 课堂 每月 五元 其他 没有 什么 业务 了
你好 请 说   诶 您好
您好 请 说   我 帮 您 看 一下
您好 高兴 为您服务   消费 方面 的话 除了 三十八 套餐 之外 有个 宽带 的 活动 然后 来电显示 在 您 三十八 套餐 里面 有 送 就 不会 另外 收费 其他 的话 就 一个 彩铃 六块钱 目前 看 了 一下 一个 家庭网 暂时 没有 别的 女士
您好 很 高兴 为您服务   八十八 了
嗯 哼 你好 您好 请 说   您 的 月租 是 五块 钱 的 每个 月 通话 保底 消费 十五块 钱
您好 您 请 讲   你好
您好 请 讲   您 三十八 元 里面 五百 兆 国内 流量 可以 用 啊 您 现在 上 网上 不了 是 吗
你好   就 哎
您好 请 说   好 的 您 现在 是 九十九 套餐 那 里面 是 全国 通话 两百 二十分钟 七百 兆 流量 跟 宽带
您好 很 高兴 为您服务   帮 我 全部 扣掉 啊 二十四块 钱 有 一个 是 爱奇艺 的 二十四块 钱 的 流量 包 您 这边 帮 您 查看 在 十月 十八号 的 时候 申请 今天 申请 了 一个 二十四块 钱 的 二 g 流量 包有 三十个 g 的 定向 流量 可以 在 爱奇艺 这个 网站 上 在线播放 视频 的 时候 用
您好 请 讲   呃 没有 五十元 的 是 订 的 是 三十块 钱 的 五百 兆 这个 是 做 活动 的 那 我 现在 这边 给 您 查看 了 一下 呢 这个 活动 呢 是 到 就是 下个月 它 就 会 自动 关 了 就是 您 自己 另外 购买 的 就 直 充包 您 除了 三十八 套餐 之外 没有 其他 的 那个 业务 啊
您好 什么 可以 帮 您   因为 套餐 是 最低 的 八块钱 的 套餐 嗯 它 有
您好 请 讲   稍等一下 我 帮 您 查询 一下
下午 好 您 说   您好
您好 请 讲   呃 先生 您 这 是 无线 通 的 一个 基本 套餐 您 这个 套餐 的话 就是 一个 无线 通 的 一个 基本 套餐 这个 名称 而已 就 您 的 月租费 的话 一个月 是 五块 钱 然后 要求 您 每个 月 通话 保底 消费 十块钱
嗯 好   情况
谢谢 啊 您好 请 讲   诶 好 稍 等 我 查询 一下 噢 嗯 嗯 就 一个 八块钱 的 套餐 噢 其他 没有
诶 您好   诶 您好
您好 请 讲   嗯
您好 请 讲   好 的 您 稍等一下 噢 这么
有 什么 可以 帮 您   您好 请 说
嗯 嗯 您好 请 说   好 的 这个 号码 需要 付费 的 一个 是 每个 月 九块 钱 的 月租 除了 月租 收费 以外 的话 还有 一个 是 来电 提醒 三块 一个月 以及 是 有 一个 当时 有 一个 是 买 卡 的 时候 赠送 一个 彩印 跟 咪 咕 音乐 彩铃 功能 这 两个 服务 他 是 买 卡 给 您 赠送 使用 三个 月 除了 这些 以外 的话 这个 月 还有 赠送 一个 两 g 流量 包 下个月 会 自动 关闭 其他 没有 那 就
嗯 嗯 早上好 您 说   呃 五十 套餐 啊 来电 提醒 还有 彩铃包 和 一个 彩印 包
您好 很 高兴 为您服务   对 它 会 自动 取消 的 已经 到期 了 您 登记 过 了
您好 请 说   两城 一家 您 稍 等 我 看 一下 哎 您 现在 没有 开 两城 一家 现在 也 不 需要 了 全国 拨打 一毛 九 全国 接 免费 您 还有 全国 两百 呃 您 还有 全国 三十分钟 的 分钟 数 不用 开
您好 您 请 说   您 这个 号码 是 三十八 元 钱 的 飞享 套餐 有 一个 流量 套餐 六块 还有 一个 咪咕 特级 会员 这个 六块 呃 其他 的 我查 一下 哈有 加入 的 东肖 惠农 网 这个 一块
您好 请 讲   嗯 您 现在 用 的 是 一个 三十八 元 的
您好 请 讲   您 这个 是 八块钱 的 套餐
您好 高兴 服务 喂 你好 四 六六 哎 你好   噢 您 稍稍 等 一下
你好 请 讲   好 我 帮 您 查看 一下 请稍等 对 就 有 赠送 彩铃 彩印 来电 提醒 这 三个 业务 到期 了 要 取消 掉 吗
您好 请 讲   我 看 呃 对 宽带 账号 是 手机号
您好 请 讲   您好 您 说
您好 请 讲   对 啊 已经 帮 您 预约 了 到 今年年底 到时候 会 自动 取消
您好 请 讲   诶 好 的 请 稍等一下
您好 请 说   五十块 钱 一 g 的 流量
您好   我 想 咨询 一下
您好 高兴 为您服务   五十块 到期 了 没错 要 取消 呃 都 已经 取消 了
您好 请 说   噢 马上 去 看 一下 然后 套餐 用 的 是 一个 三十八 套餐 另外 有 定制 一个 宽带 好像 没有 其他 业务
嗯 你好 请 说   呃 您 是 要 咨询 本 机号码 什么 问题
吧 很 高兴 为您服务   您 现在 是 三十八 的 套餐 啊 就 这样
喂 你好 诶 你 帮 我查 一下 我 一个 网络 就是 绑定 那个 手机 的 网络 是不是   好 的
恩好 您好 请 讲 号码   除了 您 三十八 的 套餐 没有 开通 其他 的
好 您好 请 说   噢 好 的 我 看 一下 您 稍 等 你好 这 手机 月租费 十八块 钱 的 套餐
您好 请 说   现在 是 三 十八块 套餐 一百 分钟 本地 打 国内 五百 兆 流量 来电显示 这种
您好 请 说   现在 目前 您 这边 就是 自己 的 五十八 元 的 基础 套餐 嗯 其他 的话 没有 额外 的 增值 包月 业务 了 呀
那 请 说   诶 你好 请问
中午 好 请 讲   本 机号码 这个 月 目前 这个 月 用 的 是 十八块 的 您 下个月 的话 已经 有 改成 了 一个 新飞 享 三十八 套餐
您好 请 说   本机 那 不是 还是 五十八 的 套餐
您好 请 说   你好
您好 请 讲   诶 有 什么 可以 帮到 您
您好 您 已 接通 福建 幺 零零 八六 请问 能 听到 吗   诶 你好
您好 什么 需要 帮助 您   帮 您 看 一下
您好 请 说   您 稍等一下 啊
您好 您 说 感谢   本 机 下个月 转成 了 三十八 套餐 对 吗 先生 您好 什么 可以 能 听 得到
您好 什 帮助 您   啊
您好 很 高兴 为您服务   稍等一下 本 机 现在 这个 号码 是 飞享 的 三十八 套餐
哎 您好 请 说   我 看 一下 啊
您好 请 说   嗯
高兴 您 服务 您好   您 本机 这 是 十八块 钱 的 套餐
嗯 嗯 您好 请 说   呃 没有 啊 短信 功能 正常 在 这里 呀
您好   本 手机 里面 我 看 一下 啊 您 这边 是 基本 套餐 三十八 的 然后 额外 的话 就 没有 其他 的 这种 付费 的 包月 业务 了
好 先生 请 说   嗯 那行
哎 你好 请 说   开通 什么 流量 年 包
您好   您 这个 月租费 每个 月 十八块 钱 包括 一 百兆 流量 一百 分钟 本地 通话 跟 来电显示
您好 请 说 您好   所以 您 现在 是 我们 十八块 钱 的 套餐 十八块 钱
您好 请 讲   噢 好 稍等一下 哈 感谢您 耐心 等待 我 这边 显示 您 月租 的话 是 一个月 十块钱 的 除了 这个 话 我 帮 您 核实 有 来电 提醒 彩铃 会员 还有 您 来电显示 其他 的 没有 看到 了
您好 很 高兴 为您服务   噢 您 这 张卡 的话 基本 的 月租费 三十 八块钱 其他 的 我 这边 帮 您 看 一下
您好 很 高兴 为您服务   嗯 您 这 张卡有 绑定 宽带 了 那 绑定 宽带 的 之前 还 办理 不了 如果 确实 需要 到 营业厅 看下 能 不能 改
您好 请 讲   我 看 一下 您 的 活动 好 稍 等 我 帮 您 看 了 一下 您 这边 是 有 显示 您 有 更改 一个 新飞 享 三十八 套餐
您好 请问 什么 可以 帮到 您   呃 请 说
一百八十 八 超级 全家 统 套餐   那 您 要 改 哪 一种
再见 你好 您好 请稍等   没有 就 只 只有 您 套餐 当中 送 的 一点 五个 g 一 百兆 国内 的 一点 四个 g 省内 的 当月 用
诶 你好   您 是 本身 套餐 八十八 七百 兆 流量 然后 开 了 一个 五十块 钱 一 g 的 流量 包 就是 这 两个
您好 您 请 讲   我 这边 查 您 这 张卡 没有 办 套餐 变更 啊 还是 八块 的 套餐 没有 变更
明白 高兴 为您服务   啊 那 请 说 嗯 有 什么 问题 吗
很 高兴 您 服务 您好   您 现在 办 的 套餐 是 五十八 套餐 然后 来电 提醒 是 两块钱 然后 流量 套餐 七十 元 的话 到期 后 它 自动 取消 掉 那 目前 暂时 没有 其他 服务 了
呃 您好   哎 请问 有 什么 可以 帮助 您 呢
您好 请 说   呃 您好 请 讲
哎 服务 啊 您好 请问 新装 宽带 是 吗   您 稍等一下 噢 我 这边 正在 帮 您 查询 中 噢 对 呃 您 这个 套餐 它 没有 送 但是 你 可以 改 一个 能 送 的 套餐
您好 请 讲   十八元 套餐 包含 一百 分钟 一 百兆 流量 跟 来电显示 打 多少 钱
您好 请 讲   您好 您 说
哎 您好 请 说 哎   啊 可以 不用 办 因为 您 这个 号码 我们 目前 从 九月 一号 开始 已经 取消 国内 漫游 也 就 说 您 这个 号码 是 全国 接听 都 是 免费 的 拨打 的话 一分钟 都 是 一毛 九
您好 请 说   国际漫游 没有
其他 您好 请 说 哎   我 绑定 的 那 张 副 卡 副 卡 吗
你好 请 说   好 您 稍等一下 噢 其他费用 的话 就代 他人 付费 付 了 四十块 九 毛钱 这个 是 帮 一个 幺 三 六 尾数 是 八五 四八 幺 的 号码 给 他 付钱 这 张卡 应该 是 您 的 流量 王 可能 扣 的 基本 月租 跟 他 打电话 打 了 一块 九是 总共 它 是 总共 消费 了 四十块 九 毛钱
您好 请 说   现在 是 八十八 的 嗯 嗯
您好 请 讲   你好 你好 很 高兴 为您服务
您好 请 讲 嗯 你好 有 这样 行   流量 我 看 一下 没有 流量 嗯 没有 流量
您好 很 高兴 为您服务   好 请稍等 啊 那 这边 看 了 一下 您 固定 套餐 是 八十 八块钱 另外 有 一个 美妙 音乐 的 六块钱
您好 高兴 为您服务   您 用 的 是 五十 八块钱 的 套餐 啊 好
您好 请 讲   呃 我 帮 您 看 一下
您好 请 说 可以 听 得到 吗   呃 您好
您好 很 高兴 为您服务   恩好 的 我 给 您 查 一下 好 的 有 办 了 一个 十块钱 一 g 的 夜间 流量 这个 要 取消 掉 吗
您好 很 高兴 为您服务   手机 的 业务 噢 您 这 手机 的话 套餐 费 每个 月 十八块 钱 然后 除了 这个 基础 套餐 外 其他 我 这里 帮 您 看 一下 稍 等 您好 您 现在 就 只有 这 十八 套餐 啦 没有 另外 收费
您好 请 讲   嗯 嗯
您好 很 高兴 为您服务   您 稍 等 帮 您 看 一下
您好 请问 什么 帮助 您   我 先查 一下 呃 上网 套餐 的话 没 没有 包 二十块 钱 啊 这边 是 三十八 的 月租 有 自带 五百 兆 啊
您好 请 讲 嗯 嗯   什么 可以 帮 您
你好 请 说   二十多条 信息 我查 一下 您 稍 等
您好 很 高兴 为您服务 喂 你好   您 是 要 直接 改成 只有 送 流量 的 那种 是不是
你好   那 我 帮 您 看 一下
您 稍 等 五十八 三百 呃 四百 分钟 本地 分钟 数 三个 g 的 流量   稍 等 下个月 改成 十八块 的
呃 女士 您 是 说   呃 您 这个 是 八块钱 一个月 打电话 三十分钟 改完 一分钟 一毛 九
您好 很 高兴 为您服务   稍 等 我 帮 您 查 一下 嗯 感谢您 耐心 等待 我 帮 您 看 了 一下 您 您 是 说 流量 也 没有 开通 这个 月 套餐 是 吧 对 呃 您 这 是 咪 咕卡 套餐 如果 有用 到 通用 流量 是 每天 扣 一块钱 每天 有 五百 兆 省内 流量 您 今天 的 五百 兆 省内 流量 已经 有 在 用 了 呀 兆 还 没用 完
嗯 您好 请 讲 喂 你好 诶 你好   请稍等 我 帮 您 查看 一下 帮 你 查看 固定 的话 是 一百二十八 套餐 来电 提醒 两元 除了 这些 以外 就 宽带 剩下 的 就 家庭 亲情 网 呃 别的 就 加入 那个 晋江 翩然 气 这个 集团 网 别的 没有 了 哈
您好 请 说   嗯 您好
可以 好 再见   小姐 您好
早上好 您 说   还有 一个 来电 提醒
您好 请 讲   呃 本机 的 是 五十八 的 全球通 这种 是 一百 分钟 通话 包括 来显 流量 五百 兆 的 这种
哎 您好 请 讲   你好 诶 我 想 问 我 本 机厅 这边 用 多少 稍 等 我查 一下 十块 五毛 噢 是 不 那 现在 有开 应急 开机 吗 哎 我 看 一下 稍 等 对 啊 卡出 您 之前 十月份 啊 哦 您 之前 有 应急 开机 过 了 是 吧 没有 缴清 费 等 一下 哎 这样 好行 对
您好 请 说   是不是 那个 三十八 的 对
您好 请 说   呃
您好 请 讲   八十 八块钱 套餐
您好 请 讲 哎 你好 麻烦 你 帮 我 帮 我 看 一下 本 机 有没有 开通 国际漫游   有 开通
很 高兴 服务   您 上网 不行 的 是 飞享 十八 套餐 嘛 套餐 费 十八块 的
嗯 您好 高兴 为您服务   您 现在 用 的 八块钱 套餐
您好 请 您 说   您 是 收到 短信 功能 吗
您好 请 讲   可以 啊 那 我 就是 流量 套餐 额外 的 五块 流量 包 这些 我 都 帮 您 取消 掉 噢 因为 您 下个月 改 套餐 的 那 您 稍 等 我 给 您 关 一下
您好 很 高兴 为您服务   可以 麻烦 稍等一下 我 看 一下
您好 您 请 说 哎 你好 呃 那个 我 这个 手机号 真的 更 低 的 这个 手机 套餐 是不是 幺 八八 的 那个 套餐 嗯 对 没错   嗯 对 有 包含
您好 请 讲   现在 每个 月 是 多少 啊 是 那种 九十九 十多 套餐 费 一个月 八十八 里面 是 两百 二十分钟 七百 兆 流量 一个月 八十八 然后 有开 一个 来电 提醒 两块钱 这边 九十 开了个 短信 包 十块 一百 每个 月 固定 扣 一百块 钱 就 可以 了
您好 请 讲   呃 对 您 这边 是 有 办 了 一个 宽带
您好 很 高兴 为您服务   呃
您好 请 说   恩好 的 呃 给 您 查 了 一下 这个 套餐 十八元 的 然后 另外 还有 个 五十元 流量 包有 活动 它 这个 到期 会 自动 取消 还有 开通 了 来电 提醒 反正
您好 请 讲   到 了 呀 十元 加油 包
您好 很 高兴 为您服务 喂 您好 有 需要 帮助 您   您 是 说 您 要查 您 是 什么 套餐 是 吗
您好 请 说   请稍等 您 要是 我 人工 台 这边 给 您 查询 目前 的话 您 手机 上面 一个 就是 您 自己 本身 的 基本 套餐 七十九 固定 要 扣 的 就 这 一个
恩 您好 请 说   本 机 除了 套餐 费 九十九 有 办理 一个 是 来电 提醒 那 还有 个 家庭成员 这个 没有 收 功能 费 已经 学校 里面 开通 个 同步 课堂 那 其他 的话 就 没有 什么 业务 啊
您好 请 说   对
您好 高兴 为您服务   呃 有 啊
嗯 嗯 您好 请 说行   嗯 五十元 的 流量 您 之前 对 十二月 一号 到期 您 等 下个月 月底 来电 取消 就 好 了 十一月 月底 的 时候
您好 请 讲   噢 开通 的话 诶 我们 给 您 开通 就 可以 您 有 密码 的话 输入 验证 一下 我 帮 您 直接 开通 就 可以 了 有 密码 吗
您好 请 讲   您 现在 使用 的 是 那个 十八块 钱 的 套餐 两 百分 两 百兆 流量 跟 来 显 的
您好 请 讲   在
您好 您 说   好 的 马上 帮 您 看 一下 您 这边 您 这 一个 是 十八块 钱 的 飞享 套餐 还有 一个 十块钱 的 上网 流量 套餐 然后 其他 我 帮 您 看 一下 其他 这边 呃 帮 您 查看 一下
喂 你好   诶 请 讲
您好 请 说   嗯 有 更改 了
您好 请 说   女士 您 说
嗯 喂 你好 嗯   好 我 帮 您 看 一下 您 稍等一下
好 的 您 稍等一下   对 呃 您 这边 帮 您 看 了 一下 除了 基本 包 套餐 以外 还有 个 五块 钱 的 那个 无线 上网 的 大部 乱 套餐
您好 很 高兴 为您服务   那 您 是 原来 的 那个 五 五六 的 网 家庭成员 不要 了 是 吗
你好   哎
嗯 嗯 您好 请 讲 再见   噢 是 有 工作人员 给 您 打电话 对 吧
您好 很 高兴 为您服务 噢 噢 噢 你好 电话 已 接通 可以 听到 吗   那 是 微信 这 是 腾讯 的 业务 您 要 拨打 腾讯 客服 问 一下 了 我 正常 收费
您好 请 说 您好   好 的 先生 您 稍等一下
您好 很 高兴 为您服务   嗯 如果 十元 上网 流量 套餐
您好 有 什么 可以 帮 您   好 您 稍 等 呃 您 这个 除了 三十八 的 套餐 之外 其他 的 没有 开通
好 的 您好 很 高兴 为您服务 喂 您好 我想查 一下 我 这 张卡   那个 应该 是 什么 什么 新春 卡 套餐 使用 的 套餐 的话 是 嗯 嗯 免 月租 六 十五块 那 下个月 改成 了 十八元 套餐 的 了 一百 分钟 一 百兆 的 噢 噢
您好 请 讲   呃 您 现在 用 的 是 一个 三十八 元 的 套餐 除了 基本 包 月租 三十 八块钱 以外 另外 要 收费 的 项目 的话 有 一个 彩铃 彩印 彩印 彩印 什么 东西 啊 呃 彩印 的话 就是 我 给 您 打电话 的 时候 我 的 手机 上 可以 看到 一句 话 那 这 一句 话 您 可以 自己 设置
您好 很 高兴 为您服务   有 它 是 每个 月 给 您 赠送 两个 g 的 已经 送给 送给 您 了
嗯 您好   没有 目前 就 五十八 的 一个 基本 套餐 额外 还有 一个 是 两块钱 一个 来电 提醒 还有 个 咪 咕 会员 这 不要 关掉 咪咕 会员
您好 请 讲   这个 业务 帮 您 看 一下 没有 生效
您好 请 讲   你 稍 等 我 看 一下 您 嗯 您 说 的 那个 邮箱 是 送 的
您好 请 讲 这边 已 接通 幺 零零 八六 客服 请问 可以 听到 吗   宽带 是 套餐 总共 七十九
您好 高兴 为您服务   三十八
嗯   您好 请 讲
那 现在 的话 只是 说 我们 现在 有 这个   比如说 您 开通 了 一个 三十块 一个 g 的 上网 流量 加 一个 十八元 呃加 一个 这个 八块钱 套餐
再见 吗 您好 请 说   好 的 我 看 一下 稍 等 您 这边 的 那个 彩印 跟 咪 咕彩铃 是 您 买 这 张卡 的 时候 它 送 的 到期 它 就 自己 取消 了 那 除了 您 的 基本 套餐 以外 就是 一个 来电 提醒 三块 钱
您好 很 高兴 为您服务 您好   噢 可以 套餐 详细 介绍 发给您 了 别的 可以 帮 您
您好 请 说   您好 您 说
您好 请 说 闽   喂 你好 幺 零零 八六请 说
您 说   五十八 的 套餐 一百 分钟 五百 兆 包括 来电显示
你好 你好   我 看 一下 九十九 里面 的话 有 两百 二十分钟 通话 七百 兆 流量 跟 宽带 还有 来显
嗯 嗯 您好 请 讲   一千 五十 套餐 有 一个 五十元 的 流量 就是 两个 g 四折 购 的 活动 吗 然后 您 有 个 校园 流量 的 一个 十块钱 包月 的 其他 的 另外 收费 项目 的话 查询 本 机 没有 开通 另外 收费 项目
您好 请 说   号码 先 报 一下
您好 请 说 嗯 嗯   好 的 马上 为 您 查询 您 现在 用 的 是 三 十八块 套餐 额外 业务 有 来电 提醒 增强版 还有 彩印 稍等一下 其他 没有 了 就 这 两个 啊
您好 有 什么 需要 帮助   本 机号码 游戏 是 吗 我 看 一下
您好 很 高兴 为您服务   对 是 的
您好 很 高兴 您 服务   好 的 帮 您 查询 一下 噢 您 现在 套餐 费是 神州行 不要 月租 的 每个 月 保底 消费 十块钱 然后 有办 一个 来电显示 六块钱
您好   呃 三十八 的 套餐 一百 分钟 本地 拨打 国内 电话 流量 五百 兆 包含 来电显示 一个月 三 十八块 的
您好   您 三十八 里面 有 五百 兆 国内 流量 噢
哎 中午 好 很 高兴 为您服务   呃 现在 是 基本 套餐 是 三十 八块钱
您好 很 高兴 为您服务   嗯 我 给 您 看 一下 您 稍等一下 除了 套餐 以外 像 您 这边 收费 有 一个 来电 提醒 来电 提醒 功能 费 三块 钱
您 很 高兴 为您服务   好 的 我 帮 您 看 一下 您 稍 等
你好 请 讲   稍等一下 您 套餐 办 的 是 全球通 的 套餐 费是 五十 八块钱 一个月 五十八 的
您好 很 高兴 为您服务   嗯 没有 好
你好   你好
您好 请 讲   呃 我们 现在 没有 两城 一家 没 开
您好 很 高兴 为您服务   稍等一下
再见   噢 我 给 您 查 稍 等 嗯 对 是 限速 了
本 机 目前 的话 就 只有 基本 套餐 下个月 转 成 三十八 的   还有 一个 无线 音乐 俱乐部
您好 请 讲   可以 请 先 稍等一下 还 没有 还是 三十八
您好 请 说   您 是 五 十八块 套餐 里面 有 一百 的 分钟 数 厦门 打 呃 国内 打 国内 电话 用 然后 有 五百 兆 流量 还有 来电显示
您好 很 高兴 为您服务   好 您 不要 挂机 我 帮 您 转 呃 另外 一个 号码 是 吧
