你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
嗯你好请说 呃您是要咨询本机号码什么问题 呃除了基本套餐三八套餐之外有个来电提醒还有个咪咕音乐还有个彩铃呃还有个彩印 
吧很高兴为您服务 您现在是三十八的套餐啊就这样 我看一下可以改啊你要改高的还是改低了呢可以改啊 
喂你好诶你帮我查一下我一个网络就是绑定那个手机的网络是不是 好的 啊没有 
恩好您好请讲号码 除了您三十八的套餐没有开通其他的 话费余额这个月啊我帮您查询这个月您的话费余额还剩二十九块钱 
好您好请说 噢好的我看一下您稍等你好这手机月租费十八块钱的套餐 呃对 
您好请说 现在是三十八块套餐一百分钟本地打国内五百兆流量来电显示这种 三十八新飞享您改不了噢 
您好请说 现在目前您这边就是自己的五十八元的基础套餐嗯其他的话没有额外的增值包月业务了呀 五十八套餐呃您这个是五十元套餐看错了不好意思它是两个g的国内流量有包来电显示打电话是另外送 
那请说 诶你好请问 他那个号码的密码记得住吗 
中午好请讲 本机号码这个月目前这个月用的是十八块的您下个月的话已经有改成了一个新飞享三十八套餐 呃是下个月的话它三十八里面是包含一百分钟全国打的两百分钟在漳州本地打的国内流量一百兆福建省内流量一千四百三十六兆 
您好请说 本机那不是还是五十八的套餐 不需要 
您好请说 你好 你好 
您好请讲 诶有什么可以帮到您 好稍等一下噢噢用的是五十块钱的下个月是改为幺三八的任我用的这款 
您好您已接通福建幺零零八六请问能听到吗 诶你好 您这个套餐是一百二十八的 
您好什么需要帮助您 帮您看一下 现在您这张卡就十八块钱的套餐没有开通其他什么短信类的业务啊 
您好请说 您稍等一下啊 您这个月是没有这个费用的您说的是不是上个月的账单包对对对上个月是有一个是宽带的费用啊 
您好您说感谢 本机下个月转成了三十八套餐对吗先生您好什么可以能听得到 我说您下个月转成了三十八套餐对吧 
您好什帮助您 啊 有有开展 
您好很高兴为您服务 稍等一下本机现在这个号码是飞享的三十八套餐 对月租三十八 
哎您好请说 我看一下啊 有开了下个月生效 
您好请说 嗯 噢我帮您看一下稍等一下嗯先生您这边有办理一个宽带吗 
高兴您服务您好 您本机这是十八块钱的套餐 十八块钱套餐包本地打国内电话一百分钟来电显示一百兆的流量全国接听免费超出后国内打国内电话一毛九一分钟 
嗯嗯您好请说 呃没有啊短信功能正常在这里呀 所有短信收不到还是个别的 
您好 本手机里面我看一下啊您这边是基本套餐三十八的然后额外的话就没有其他的这种付费的包月业务了 十八的是吧请稍等那下个月一号生效可以吗 
好先生请说 嗯那行 呃您是说套餐 
哎你好请说 开通什么流量年包 您说的是开通那个五十块钱那个流量套餐是吧五十块钱的那个流量 
您好 您这个月租费每个月十八块钱包括一百兆流量一百分钟本地通话跟来电显示 就这一个收费月租十八块没有别的 
您好请说您好 所以您现在是我们十八块钱的套餐十八块钱 看一下没有要保底消费九十而且您之前有参加一个手机活动最低每个月保底消费十八呀 
您好请讲 噢好稍等一下哈感谢您耐心等待我这边显示您月租的话是一个月十块钱的除了这个话我帮您核实有来电提醒彩铃会员还有您来电显示其他的没有看到了 彩铃会员一个月六块钱 
您好很高兴为您服务 噢您这张卡的话基本的月租费三十八块钱其他的我这边帮您看一下 那您这张卡的话其实就没有什么有扣费的业务了有收费的话就是这个月租费三十八块钱的 
您好很高兴为您服务 嗯您这张卡有绑定宽带了那绑定宽带的之前还办理不了如果确实需要到营业厅看下能不能改 在外地打电话我看一下 
您好请讲 我看一下您的活动好稍等我帮您看了一下您这边是有显示您有更改一个新飞享三十八套餐 对啊就下个月开始就生效新的三十八飞享套餐三百分钟的那下个月您原来的旧的三十八套餐的一百分钟这些就取消了呀 
您好请问什么可以帮到您 呃请说 基本套餐是三十八块钱一个月那有个三十元的上网流量呃来电提醒三块钱一个月另外的话就是像什么彩铃啊彩印这些的有收费的话其实就这几项 
一百八十八超级全家统套餐 那您要改哪一种 用移动的号码都要有一个基本套餐那您打算改哪一种基本套餐 
再见你好您好请稍等 没有就只只有您套餐当中送的一点五个g一百兆国内的一点四个g省内的当月用 是 
诶你好 您是本身套餐八十八七百兆流量然后开了一个五十块钱一g的流量包就是这两个 二 
您好您请讲 我这边查您这张卡没有办套餐变更啊还是八块的套餐没有变更 但是目前长没有变更啊您稍后留意短信吧它可能后台受理没这么快 
明白高兴为您服务 啊那请说嗯有什么问题吗 打电话请说有什么问题 
很高兴您服务您好 您现在办的套餐是五十八套餐然后来电提醒是两块钱然后流量套餐七十元的话到期后它自动取消掉那目前暂时没有其他服务了 对呀没错 
呃您好 哎请问有什么可以帮助您呢 那您这边目前就一个十八元的套餐啊 
您好请说 呃您好请讲 有一个三十块五百兆流量套餐了对那个是这个月可以取消了因为十一月一号就到期了行 
哎服务啊您好请问新装宽带是吗 您稍等一下噢我这边正在帮您查询中噢对呃您这个套餐它没有送但是你可以改一个能送的套餐 嗯有一个幺八八的套餐它在福建省的流量是不限量的然后有一千两百分钟打电话国内的另外还有送一条一百兆的光纤和互联网电视功能因为你现在的套餐是幺五八吗加上那七十块流量多两百多了所以把这两个取消改成幺八八嗯会比您现在了您上次来说会更划算 
您好请讲 十八元套餐包含一百分钟一百兆流量跟来电显示打多少钱 我说平均每个月话费多少钱消费的你稍等帮您查一下 
您好请讲 您好您说 没有收费的除了基本套餐五十八来电提醒两块钱其他没有了 
哎您好请说哎 啊可以不用办因为您这个号码我们目前从九月一号开始已经取消国内漫游也就说您这个号码是全国接听都是免费的拨打的话一分钟都是一毛九 对它这个是全球通 
您好请说 国际漫游没有 噢 
其他您好请说哎 我绑定的那张副卡副卡吗 你是说你本机号码付费另外一个号码是吗 
你好请说 好您稍等一下噢其他费用的话就代他人付费付了四十块九毛钱这个是帮一个幺三六尾数是八五四八幺的号码给他付钱这张卡应该是您的流量王可能扣的基本月租跟他打电话打了一块九是总共它是总共消费了四十块九毛钱 对没错 
您好请说 现在是八十八的嗯嗯 额外开通的话我看了一下没有的就只有一个基础套餐家庭网您有一个还有一个合成的鞋业的一天一块钱其他没有了 
您好请讲 你好你好很高兴为您服务 上个月开始给您说办这个月办无限流量套餐 
您好请讲嗯你好有这样行 流量我看一下没有流量嗯没有流量 嗯对是 
您好很高兴为您服务 好请稍等啊那这边看了一下您固定套餐是八十八块钱另外有一个美妙音乐的六块钱 这个是音乐盒的就是下载彩铃的时候订购的 
您好高兴为您服务 您用的是五十八块钱的套餐啊好 呃四百分钟通话三个g的流量跟来电显示 
您好请讲 呃我帮您看一下 您好您港澳台漫游功能已经有开好了 
您好请说可以听得到吗 呃您好 请稍等 
您好很高兴为您服务 恩好的我给您查一下好的有办了一个十块钱一g的夜间流量这个要取消掉吗 不要是保留还取消 
您好很高兴为您服务 手机的业务噢您这手机的话套餐费每个月十八块钱然后除了这个基础套餐外其他我这里帮您看一下稍等您好您现在就只有这十八套餐啦没有另外收费 对对 
您好请讲 嗯嗯 还是五百兆加两块钱再见 
您好很高兴为您服务 您稍等帮您看一下 没设置呼叫转移啊 
您好请问什么帮助您 我先查一下呃上网套餐的话没没有包二十块钱啊这边是三十八的月租有自带五百兆啊 恩您流量用的不多但是每月也会用到差不多个等一下有用到将近的话两百多兆左右所以我建议您可以把三十八套餐取消然后更改成等一下我给你查一下看能不能更改过去一下嗯您可以改成二十八元的套餐里面是三百兆流量本地打全国一百分钟这样子就就可以了您看吗看行吗好的 
您好请讲嗯嗯 什么可以帮您 噢就是改成我们新的三十八套餐也是三十八一个月但是通话有三百分钟流量有一千五百兆 
你好请说 二十多条信息我查一下您稍等 那个是网络上面的一个点播提醒啊可能是他手机不小心碰到我们网络信息然后每条都是一毛一块一块这样子费用提醒然后你如果说那个没有用到您可以回复那个编码那个编码回复完之后赠送就不会扣然后它现在这个费用都还没扣除 
您好很高兴为您服务喂你好 您是要直接改成只有送流量的那种是不是 只有送流量那个那个是五十块钱的月租然后有两千四零四十八兆流量包括来电显示它没有送分钟数打电话都是另外算一分钟两毛的可以吗 
你好 那我帮您看一下 这个估计是他做活动送然后现在到期了 
您稍等五十八三百呃四百分钟本地分钟数三个g的流量 稍等下个月改成十八块的 对 
呃女士您是说 呃您这个是八块钱一个月打电话三十分钟改完一分钟一毛九 对是的 
您好很高兴为您服务 稍等我帮您查一下嗯感谢您耐心等待我帮您看了一下您您是说流量也没有开通这个月套餐是吧对呃您这是咪咕卡套餐如果有用到通用流量是每天扣一块钱每天有五百兆省内流量您今天的五百兆省内流量已经有在用了呀兆还没用完 是上网上不了吗对呃您有没有重新关机再开机试过 
嗯您好请讲喂你好诶你好 请稍等我帮您查看一下帮你查看固定的话是一百二十八套餐来电提醒两元除了这些以外就宽带剩下的就家庭亲情网呃别的就加入那个晋江翩然气这个集团网别的没有了哈 稍等一下你宽带是按天扣的 
您好请说 嗯您好 收费业务您用的是五十八套餐另外的话有来电提醒 
可以好再见 小姐您好 本机的好像是幺三八的套餐一百八块钱然后对福州本地的话流量不限 
早上好您说 还有一个来电提醒 号码其他没了 
您好请讲 呃本机的是五十八的全球通这种是一百分钟通话包括来显流量五百兆的这种 噢可以啊因为您现在其实就是哦但是你有一个活动啊活动它那个是说那个保底要改只能往高的改改低了还改不了 
哎您好请讲 你好诶我想问我本机厅这边用多少稍等我查一下十块五毛噢是不那现在有开应急开机吗哎我看一下稍等对啊卡出您之前十月份啊哦您之前有应急开机过了是吧没有缴清费等一下哎这样好行对 您好哎你好您之前是通过哪里开通的 
您好请说 是不是那个三十八的对 呃这个我换不了您说的是和校园四十八套餐呢 
您好请说 呃 这个是神州行本地二十八套餐通话这边就是两百分钟超过一分钟一毛九一毛五的 
您好请讲 八十八块钱套餐 八八套餐这个是月初一次性扣套餐费八十八内容是包含一千两百分钟本地打呃一千两百分钟国内打国内免费还有五个g的省内流量 
您好请讲哎你好麻烦你帮我帮我看一下本机有没有开通国际漫游 有开通 
很高兴服务 您上网不行的是飞享十八套餐嘛套餐费十八块的 那其他都没有了是吗二十八块里面是包括流量一百兆一百分钟在本地打国内电话然后包括来电显示 
嗯您好高兴为您服务 您现在用的八块钱套餐 对每个月八块 
您好请您说 您是收到短信功能吗 短信功能是关掉了是的 
您好请讲 可以啊那我就是流量套餐额外的五块流量包这些我都帮您取消掉噢因为您下个月改套餐的那您稍等我给您关一下 呃正在帮您做您稍等一下 
您好很高兴为您服务 可以麻烦稍等一下我看一下 您好这边说一下本机的增值业务的话像有彩铃手机阅读还有手机报这些业务都行是增值的 
您好您请说哎你好呃那个我这个手机号真的更低的这个手机套餐是不是幺八八的那个套餐嗯对没错 嗯对有包含 对它这个套餐的话准确的流量的话是这样的就是说有包含全国流量两个g然后剩下的话呃它是在省内的流量可以无限使用我不知道打这个电话 
您好请讲 现在每个月是多少啊是那种九十九十多套餐费一个月八十八里面是两百二十分钟七百兆流量一个月八十八然后有开一个来电提醒两块钱这边九十开了个短信包十块一百每个月固定扣一百块钱就可以了 之前套餐一个月八块钱家园卡八元套餐没有流量一个八块 
您好请讲 呃对您这边是有办了一个宽带 呃您这边宽带是办理两年时间的两年时间没有到期是不能关闭的呀 
您好很高兴为您服务 呃 嗯目前使用的是三十八元的套餐 
您好请说 恩好的呃给您查了一下这个套餐十八元的然后另外还有个五十元流量包有活动它这个到期会自动取消还有开通了来电提醒反正 就是五十块钱它每个月会给您赠送三十您自己付二十这活动时间是呃到明年四月一号到期 
您好请讲 到了呀十元加油包 给您查询 
您好很高兴为您服务喂您好有需要帮助您 您是说您要查您是什么套餐是吗 请稍等我正在为您查询一下 
您好请说 请稍等您要是我人工台这边给您查询目前的话您手机上面一个就是您自己本身的基本套餐七十九固定要扣的就这一个 其他没有了您如果通话或者流量用超了再另外收费固定要收的就没有其他东西了就只有七十九 
恩您好请说 本机除了套餐费九十九有办理一个是来电提醒那还有个家庭成员这个没有收功能费已经学校里面开通个同步课堂那其他的话就没有什么业务啊 对 
您好请说 对 实际返还的时间 
您好高兴为您服务 呃有啊 那个叫来电提醒不在来电显示那个来电提醒没开 
嗯嗯您好请说行 嗯五十元的流量您之前对十二月一号到期您等下个月月底来电取消就好了十一月月底的时候 可以呀我帮您去申请一下让他等到下个月用完以后自动给您关掉就不结转流量用不完的已经帮您登记好了还有其他需要帮助吗不用不用嗯好祝您天天好心 
您好请讲 噢开通的话诶我们给您开通就可以您有密码的话输入验证一下我帮您直接开通就可以了有密码吗 服务密码就是卡的服务密码知道吗六位数的 
您好请讲 您现在使用的是那个十八块钱的套餐两百分两百兆流量跟来显的 呃您是说什么 
您好请讲 在 呃目前查询您本机是我们的十八元基本套餐然后另外我看了一下有一些增值业务那些您都已经做好了下个月就没有那也就是说您下个月的话就只剩下十八没有什么额外收费 
您好您说 好的马上帮您看一下您这边您这一个是十八块钱的飞享套餐还有一个十块钱的上网流量套餐然后其他我帮您看一下其他这边呃帮您查看一下 还有一个是保底消费四十元这个一个呃和手机活动其他就没有了你好 
喂你好 诶请讲 呃您这套餐现在已经登记下个月改成三十八的新飞享三十八 
您好请说 嗯有更改了 套餐里面是包含一百分钟本地拨打国内电话五百兆流量的 
您好请说 女士您说 嗯嗯您这个是二十八的飞享套餐里面包含三百兆的全国流量一百分钟漳州打全国二十八 
嗯喂你好嗯 好我帮您看一下您稍等一下 您这边帮您查看就是流量有超过电话也超过了 
好的您稍等一下 对呃您这边帮您看了一下除了基本包套餐以外还有个五块钱的那个无线上网的大部乱套餐 另外还有一个彩铃跟彩印功能其他没有了 
您好很高兴为您服务 那您是原来的那个五五六的网家庭成员不要了是吗 那就是原来加进去的号码先帮您取消掉然后另外再加新的号码进来了 
你好 哎 对三十块钱五百兆 
嗯嗯您好请讲再见 噢是有工作人员给您打电话对吧 这个手机号码的打电话给您对吗 
您好很高兴为您服务噢噢噢你好电话已接通可以听到吗 那是微信这是腾讯的业务您要拨打腾讯客服问一下了我正常收费 手机外呼电话号码为什么多少我们这边没有腾讯电话您打幺二五八零问一下腾讯客服多少啊拨打正常 
您好请说您好 好的先生您稍等一下 现在这边没有什么业务啊先除了七十九的基本套餐其他没有开什么业务 
您好很高兴为您服务 嗯如果十元上网流量套餐 嗯可以那这边帮你登记取消流量用到这个月好吗 
您好有什么可以帮您 好您稍等呃您这个除了三十八的套餐之外其他的没有开通 那麻烦您的移动营业厅 
好的您好很高兴为您服务喂您好我想查一下我这张卡 那个应该是什么什么新春卡套餐使用的套餐的话是嗯嗯免月租六十五块那下个月改成了十八元套餐的了一百分钟一百兆的噢噢 很多那个 
您好请讲 呃您现在用的是一个三十八元的套餐除了基本包月租三十八块钱以外另外要收费的项目的话有一个彩铃彩印彩印彩印什么东西啊呃彩印的话就是我给您打电话的时候我的手机上可以看到一句话那这一句话您可以自己设置 呃我把设置的方法发给您您可以按照短信上的方式来做设置但是设置您发送过去之后的话它会有一个呃大概二十四小时左右能到能那个设置好 
您好很高兴为您服务 有它是每个月给您赠送两个g的已经送给送给您了 呃两千零四十八兆然后它这个是在福建省用 
嗯您好 没有目前就五十八的一个基本套餐额外还有一个是两块钱一个来电提醒还有个咪咕会员这不要关掉咪咕会员 咪咕会员现在看那个视频呢吃零的会员了看视频 
您好请讲 这个业务帮您看一下没有生效 我帮您看了一下您稍等你好我帮您看一下您之前的话有有办理这个业务让您帮您取消掉了 
您好请讲 你稍等我看一下您嗯您说的那个邮箱是送的 对啊邮箱然后彩铃彩印这些都是送的邮箱是十二个月到了会自动取消彩铃是送六个月那您到明年四月份就是七月一号到期明年三月份的时候g的给他关闭一下 
您好请讲这边已接通幺零零八六客服请问可以听到吗 宽带是套餐总共七十九 电线 
您好高兴为您服务 三十八 对对三十八套餐 
嗯 您好请讲 钱在您五十八元套餐 
那现在的话只是说我们现在有这个 比如说您开通了一个三十块一个g的上网流量加一个十八元呃加一个这个八块钱套餐 就把您三十八元套餐改成八元然后再办一个三十元的一个g的流量 
再见吗您好请说 好的我看一下稍等您这边的那个彩印跟咪咕彩铃是您买这张卡的时候它送的到期它就自己取消了那除了您的基本套餐以外就是一个来电提醒三块钱 嗯 
您好很高兴为您服务您好 噢可以套餐详细介绍发给您了别的可以帮您 
您好请说 您好您说 每月的话是神州行三农网的套餐然后有开通了来电显示和五元的流量包 
您好请说闽 喂你好幺零零八六请说 您好请说 
您说 五十八的套餐一百分钟五百兆包括来电显示 什么时候申请的通过什么方式申请吧 
你好你好 我看一下九十九里面的话有两百二十分钟通话七百兆流量跟宽带还有来显 宽带不会自动取消 
嗯嗯您好请讲 一千五十套餐有一个五十元的流量就是两个g四折购的活动吗然后您有个校园流量的一个十块钱包月的其他的另外收费项目的话查询本机没有开通另外收费项目 十二元流量我就帮您取消下个月就没有这个还可以用好吗 
您好请说 号码先报一下 嗯 
您好请说嗯嗯 好的马上为您查询您现在用的是三十八块套餐额外业务有来电提醒增强版还有彩印稍等一下其他没有了就这两个啊 彩印是别人给您打电话会在对方的手机屏幕上显示一些文字内容这个要不要关掉 
您好有什么需要帮助 本机号码游戏是吗我看一下 目前这两个月的话是没有产生游戏费用上个月就是上个月是有一些阅读动漫的费用 
您好很高兴为您服务 对是的 呃可以三十八是流量五百兆本地拨打一百分钟 
您好很高兴您服务 好的帮您查询一下噢您现在套餐费是神州行不要月租的每个月保底消费十块钱然后有办一个来电显示六块钱 嗯我看一下这个月没有产生流量费上个月的账单帮您查询一下上个月也没有啊没有扣流量费用 
您好 呃三十八的套餐一百分钟本地拨打国内电话流量五百兆包含来电显示一个月三十八块的 其他有个五百兆的省内流量价值三十块钱的这个是赠送给您的不扣您的钱到二零一八年一月一号会自动关掉其他的业务我帮您刷新了一下您这个号码没有开通取消包月业务了就一个三十八元套餐哈 
您好 您三十八里面有五百兆国内流量噢 是啊 
哎中午好很高兴为您服务 呃现在是基本套餐是三十八块钱 还有家里用的宽带 
您好很高兴为您服务 嗯我给您看一下您稍等一下除了套餐以外像您这边收费有一个来电提醒来电提醒功能费三块钱 呃取消掉是吧可以啊那其他的话就没有了先生 
您很高兴为您服务 好的我帮您看一下您稍等 目前帮您查询您这个使用的套餐是三十八块钱一个月的那额外的话我看一下哈稍等一下除了三十八块套餐您这边没有开别的固定的包月费用了 
你好请讲 稍等一下您套餐办的是全球通的套餐费是五十八块钱一个月五十八的 的吗 
您好很高兴为您服务 嗯没有好 噢没有啊您这个没有流量套餐五十块这边就是五十八块钱的套餐 
你好 你好 呃套餐是不能退掉了呀就是这个基本套餐了只能改不能退的 
您好请讲 呃我们现在没有两城一家没开 噢不需要关了因为我们现在已经没有两城一家服务他会帮您自动取消掉的 
您好很高兴为您服务 稍等一下 您这边是您是说改了什么呢 
再见 噢我给您查稍等嗯对是限速了 呃这个我发短信给您您要自己发短信取消一下好吧 
本机目前的话就只有基本套餐下个月转成三十八的 还有一个无线音乐俱乐部 g是吗 
您好请讲 可以请先稍等一下还没有还是三十八 要帮您改吗 
您好请说 您是五十八块套餐里面有一百的分钟数厦门打呃国内打国内电话用然后有五百兆流量还有来电显示 对对您这个月总共用了六百多兆超了一百多兆 
您好很高兴为您服务 好您不要挂机我帮您转呃另外一个号码是吧 知道密码吗 
您好请讲 您现在办理的是三十八元的套餐月租一次性扣三十八 噢对九十九套餐下个月开通下个月生效下个月就不会扣费 
你好请讲 您稍等一下 我帮您看了一下您现在是旧版的三十八下个月改成新版三十八了 
你好 你好 高校通校讯通是吧 
您好请说 你好 好的您稍等您这本机是超级流量王套餐那除了这个基础套餐之外其他收费的没有了 
您好请说 噢我帮您看到了就是一个三十元五百兆的流量之前的话是每个月只收您十块下个月开始就要收三十了我帮您取消吗 另外您这有一些来电提醒彩铃彩印下个月一号都会自动取消掉 
您好请讲 恩好您这号码的话现除了那个三十八月租以外的话有个校讯通八块 然后流量收费啦就这两个 
您好请说 嗯嗯喂你好诶您讲 您稍等我查一下 
呃您好很高兴为您服务你好呃请说 来电提醒两块钱有有 来电提醒业务是有订购的您这边是要取消吗还是 
您好请说 您是办理八十八元套餐新飞享八十八的下个月生效是吗 噢这个原来有个五十块两g的下个月就自动取消了 
你好 哎你好 短信业务嗯稍等马上帮您看一下 
他您好请讲 本机号码的话您这个是那个流量日租卡套餐就是月租费呢这个九块钱的然后流量的话呢就是一天一块钱五百兆的省内流量的这个套餐就有用是免费的这样子 呃对就流量方面就有用的话就有收费一天一块钱他没有用的话就不收费 
您好高兴为您服务 好马上查询一下你好有个三十元的上网套餐要退掉吗女士 彩印也退掉对吗 
您好有什么可以帮您 现在有办理了下个月生效 可以那我帮您取消掉给您恢复原来的八十八套餐您看可以吗 
您好很高兴为您服务 刚刚 稍等一下我帮您查询今天查询的今天我没有看到你有办理业务啊 
您好请讲 没错是的 噢好的那这边我们三十元五百兆下个月一号失效那您流量要在当月用完了好吗 
您好请讲 噢您现在是有办宽带活动对然后是有什么问题呢 噢您的宽带是五十兆的带宽 
您好您说诶你好我想问一下 就目前的是吗 本机是八块钱的套餐除了您的三十分钟通话跟来电显示暂时没有其他业务好那 
请啊您好请讲哎您说 手机号对吗噢您这个是和家庭九十九元的套餐那其他您这边收费业务就没有了就只有一个九十九元的套餐 噢您这个套餐的话它是一个宽带套餐里面包含两个g的省内流量然后三百分钟国内通话另外的话有一条一百兆的宽带给您使用一个 
很高兴为您服务您好请讲 嗯您现在在用的现在是五十八元的飞享套餐 嗯那您现在如果要改的话那是想要改比较高的还是低的呢 
你好需要什么帮助 嗯稍等我帮您查一下本机有加入一个是这种九州通中药呃中药材有限公司的这个集团网 嗯可以啊如果您想退出的话是打算马上退还是下个一号退吗 
您好请讲 哦好的您这边手机除了基础套餐之外呃有开通一个来电提醒五十元上网流量还有一个咪咕彩铃这些业务 五十元一个的上网流量在帮您取消吗因为您下个月手机有改了套餐了 
您好请讲 我帮您马上看一下哈您稍等一下 呃那您好感谢您等待一下这边帮您看了一下噢您这样的就是一个这种三十八的这种套餐您除了这套餐之外的话嗯会有这个哎等一下噢 
哎你好很高兴您服务 哎您好请讲 除了基本包的月租十八元以外其他没有开通什么别的收费业务 
现在您好很高兴为您服务 好我帮您看一下您稍等一下 您这张卡目前是飞享十八元套餐就套餐十八块钱一个月然后另外有开通个两块钱的来电提醒 
您好请说您好 有些下个月打我们那个八十八元套餐有改 那就不改还是下个月用原来三十八是吗 
您好请讲 好您这张卡套餐是一个三十八套餐 本地打国内电话一百分钟五百兆的上网流量 
有什么可以帮您 请稍等一下帮您查看一下 宽带的费用宽带一一个月现在四十一块钱它按天扣的它不是一次性扣掉了 
您好请说 请稍等一下帮您查询 除了十八套餐以外您这边有一个来电提醒功能扣了两块钱这个月有额外买了一个一块钱的一个流量然后它的话另外的话每天扣的还有一个宽带费宽带费的话它是一天扣一点 
您好下午好 嗯本机号码现在我下个月是改了套餐了下个月开始用的是一个八十八块钱的套餐然后另外您有一个七十块钱的流量套餐那个我到下个月给您关掉啊 对对我给您下个月关掉哈 
你好 恩好可以 那唉你好你好我是说我给您开一个这样子流量包吧因为您是不是后面半个月都在省外还是就这几天 
您好您好请讲 别的业务吗 您本机的话目前就是套餐五十八块还有一个十块钱的那个包月流量七十兆的那这个要取消吗你自己套餐已经有五百兆流量了 
啊您好请说 嗯嗯好的您稍等 没有这边就一个三十八套餐其他扣费是没有呢 
您好请讲 有个十块钱的您是指这个吗 可以的那我帮您关闭掉流量记得当月使用下个月之后还有那个什么安心包也帮我关掉好我觉得下个月就没有掉了哈嗯 
哎您好请讲 你好 都你这个套餐是那个福州本地的流量不定 
因为 本机八块套餐 天呃目前除了基本套餐没有别的 
很高兴为您服务 你好 哦 
您好很高兴为您服务 本机是一个五十的流量卡套餐除此之外您额外开的有一个十块钱的夜间九块钱的腾讯包噢诶这上面 下个月开的是二十四块钱的腾讯包就九块 
你好谢谢请说 跟您这个号码都已经办过了 啊对都已经预约过到期取消了 
很高兴为您服务 来电提醒没有啊 没有你已经没有啦 
您好请讲 呃有的 是的 
您好请说 您这个套餐一个月十二块钱啊 我看一下 
你好喂你好啊请讲 这个八十八的新飞享套餐嗯 有有个流量包像原价五十然后现在是三十块钱一个月 
很高兴为您服务您好 请您稍等 三对 
您好请讲哎你好嗯我想问一下 没有办家都包括来电显示吗 嗯这个是您这边会有收到那个来电提醒会有扣您话 
嗯您好请讲 嗯目前您用的是一个月八块钱的 其他的我帮您看一下稍等 
您好请讲 噢我看一下儿改了改五十八套餐了下个月一号使用噢 这二十的没有看到没办法就改了一个五十八 
早上好 我说 然后您说嗯 
您好请说 我想问一下 为您噢 
您好请说 好的目前帮您看一下这个十八块钱一个基本套餐 二十八的基本套餐 
您好高兴为您服务 本机号码您稍等我看一下我们是幺二八的六百五十分钟六百兆流量 好您稍等一下我看一下呃您呃这边的话您办业务有没有什么您就幺二八套餐然后办了一个五十块钱流量包返还四十块话费的活动还有一个呃家庭网三块就这三个现在没啦 
您好请讲 您好用的是十八块钱的飞享套餐 固定套餐十八里面包含了一百分钟本地打国内通话一百兆流量加来电显示 
早上好请讲 呃这个套餐是飞享三十八套餐有包括五百兆流量和来电显示还有一百分钟在本地打全国 噢流量不够用的话您建议您可以办成五十八元的飞享套餐那您套餐里面有包括五百兆全国流量两千五百七十二兆的这个省内流量 
哎您好请讲 喂 你好 
您好请讲 嗯没错 对诶有需要流量多少钱的 
您好请说 因为这边他手机号码跟密码吗我帮您查一下 那那个号码还在不在身边吗 
您好请讲 新飞享套餐三十八 分钟数吗分钟数内管的总的话是三百分钟其中两百分钟本地打国内的一百分钟国内主叫国内的这样子噢 
您好很高兴为您服务 呃是本机号码吗 本机号码还没有更换其他套餐女士 
你好 帮我看一下哈请稍等一下 还没有关功能 
好 这个是三十八套餐一百分钟五百兆流量那种 太便宜呀那有需要带流量的吗 
您好请说呃请问一下我这我这张卡是什么套餐号码是一个五十八套餐本地的全球通飞享的吗对新飞享五八套餐四百分钟三g流量的这一种四百分钟吗对本地打全国四百分钟在整个福建省流量三g家对吗噢那就是发最后给你过来啊 你说什么您刚才说什么 好好那如果是三八套餐的话现在显示 
您好请说 一百三十九这个是基础的套餐额外要扣费的有两块钱的来电提醒其他的稍等一下一块钱的集团网其他没有了 您对这个里面有包含一g的流量两百二十分钟通话时间噢两百二十分钟是国内通话三百八十分钟本地拨打国内电话只能是福州用的流量是一g国内三g省内 
你好 噢对没错是的 恩好的那这个我帮您下个月取消掉了流量就只能这个月使用 
你好请讲你好 诶您说 嗯对有开通二十元套餐 
嗯你好请讲 哎稍等我这边帮您看一下哈 这张卡的话呢目前是十八元的套餐那另外还有一个来电提醒两块有一个嗯搜狐影包月还有个设置高数据会高级会员这两个要取消掉增值业务 
啊对是有一个流量 到期本月到期我帮您登记自动取消哎行好谢谢啊现在请您稍等一下 那这边要提醒您一下这个流量本月如果没有用完就没有保留到下个月啊 
你好 呃您这十八元的套餐 我看一下嗯没有其他收费业务了就套餐费十八哈 
您好请讲 好的马上帮您查询您号码的话目前是一个这边优惠的流量九元的日租卡那其他额外的一些增值业务的话帮您查看这些的话都取消了下个月的话都没有了那就一个套餐下个月 其他业务的话这边帮您查询都已经取消过了就已经下个月的话就没有下个月就一个套餐没有其他额外的 
您好很高兴为您服务 嗯我帮您看一下 呃是有这个笑那个学校的是那个小孩子的我知道我知道那边统一办理的 
你好高兴为您服务 您好请稍等 你好请稍等您好这边的话已经帮您取消好了那其他什么可以帮您的吗 
下午好很高兴为您服务 你好 对 
嗯您好兴您服务喂你好 噢对没错 可以您稍等我看一下 
您好您请说 你好诶你好 那个我那边是不是有个什么安心锁是吧我看一下您稍等对您这边的话就是说如果说你流量用完之后的话他会给您限速如果您要是不想要的话您可以发送一条短信取消流量限速噢那你你这边不能帮我直接现在幺六您这边没有办理啊您这边目前没有被限速没有问题对没有被限速所以说就不用取消了 
知道您好请讲 你好 就是保留幺八八的套餐其他全部取消 
