你好请讲其他 先生嗯请讲 
你好请说对你好 呃您说 
喂您好请讲 十八块钱的飞享套餐呃 
你好 马上帮您看一下您这边的话有个来电提醒您要吗一个月收您三块钱还有个彩印也是一个月收您三块钱 
您好请说 您好 
您好请讲 您现在这个三十八元的一百分钟通话五百兆流量跟来电显示 
您好请讲 嗯给您看一下您好有的 
嗯嗯您好请讲您好 诶我这里面有开我前天有开一个什么套餐啊 
您好请说 一个月是飞享八元的套餐一个月八块钱 
你好 现在你就是用了一百三十九套餐女士 
您好您请说 对 
噢您这边稍等我帮您看一下哈噢有的先生已经有开国际漫游了 有有开那个五天的 
您好请说 嗯 
您好请说您好 号码现在用的是一个五十八块钱的套餐 
您好请讲 我肯定对是的 
您好请说 有人的话他在工台上的话是没有信号的 
您好高兴为您服务 我看一下 
您好请讲 喂你好我 
您好请说 您现在这个号码目前没有什么活动绑定套餐更改都可以随意变更那些 
您好请讲您好 好请稍等好谢谢嗯不客气您好您这边没有开什么游戏啊您就九块钱的套餐然后有一个流量的话一天就扣您一块一天有五百兆的省内流量 
您好高兴您服务 用那个手机号码的服务密码吗 
您好很高兴为您服务 好的稍等一下呃帮您查了一下是办理十八元的一个套餐还有健康课堂每月五元其他没有什么业务了 
你好请说 诶您好 
您好请说 我帮您看一下 
您好高兴为您服务 消费方面的话除了三十八套餐之外有个宽带的活动然后来电显示在您三十八套餐里面有送就不会另外收费其他的话就一个彩铃六块钱目前看了一下一个家庭网暂时没有别的女士 
您好很高兴为您服务 八十八了 
嗯哼你好您好请说 您的月租是五块钱的每个月通话保底消费十五块钱 
您好您请讲 你好 
您好请讲 您三十八元里面五百兆国内流量可以用啊您现在上网上不了是吗 
你好 就哎 
您好请说 好的您现在是九十九套餐那里面是全国通话两百二十分钟七百兆流量跟宽带 
您好很高兴为您服务 帮我全部扣掉啊二十四块钱有一个是爱奇艺的二十四块钱的流量包您这边帮您查看在十月十八号的时候申请今天申请了一个二十四块钱的二g流量包有三十个g的定向流量可以在爱奇艺这个网站上在线播放视频的时候用 
您好请讲 呃没有五十元的是订的是三十块钱的五百兆这个是做活动的那我现在这边给您查看了一下呢这个活动呢是到就是下个月它就会自动关了就是您自己另外购买的就直充包您除了三十八套餐之外没有其他的那个业务啊 
您好什么可以帮您 因为套餐是最低的八块钱的套餐嗯它有 
您好请讲 稍等一下我帮您查询一下 
下午好您说 您好 
您好请讲 呃先生您这是无线通的一个基本套餐您这个套餐的话就是一个无线通的一个基本套餐这个名称而已就您的月租费的话一个月是五块钱然后要求您每个月通话保底消费十块钱 
嗯好 情况 
谢谢啊您好请讲 诶好稍等我查询一下噢嗯嗯就一个八块钱的套餐噢其他没有 
诶您好 诶您好 
您好请讲 嗯 
您好请讲 好的您稍等一下噢这么 
有什么可以帮您 您好请说 
嗯嗯您好请说 好的这个号码需要付费的一个是每个月九块钱的月租除了月租收费以外的话还有一个是来电提醒三块一个月以及是有一个当时有一个是买卡的时候赠送一个彩印跟咪咕音乐彩铃功能这两个服务他是买卡给您赠送使用三个月除了这些以外的话这个月还有赠送一个两g流量包下个月会自动关闭其他没有那就 
嗯嗯早上好您说 呃五十套餐啊来电提醒还有彩铃包和一个彩印包 
您好很高兴为您服务 对它会自动取消的已经到期了您登记过了 
您好请说 两城一家您稍等我看一下哎您现在没有开两城一家现在也不需要了全国拨打一毛九全国接免费您还有全国两百呃您还有全国三十分钟的分钟数不用开 
您好您请说 您这个号码是三十八元钱的飞享套餐有一个流量套餐六块还有一个咪咕特级会员这个六块呃其他的我查一下哈有加入的东肖惠农网这个一块 
您好请讲 嗯您现在用的是一个三十八元的 
您好请讲 您这个是八块钱的套餐 
您好高兴服务喂你好四六六哎你好 噢您稍稍等一下 
你好请讲 好我帮您查看一下请稍等对就有赠送彩铃彩印来电提醒这三个业务到期了要取消掉吗 
您好请讲 我看呃对宽带账号是手机号 
您好请讲 您好您说 
您好请讲 对啊已经帮您预约了到今年年底到时候会自动取消 
您好请讲 诶好的请稍等一下 
您好请说 五十块钱一g的流量 
您好 我想咨询一下 
您好高兴为您服务 五十块到期了没错要取消呃都已经取消了 
您好请说 噢马上去看一下然后套餐用的是一个三十八套餐另外有定制一个宽带好像没有其他业务 
嗯你好请说 呃您是要咨询本机号码什么问题 
吧很高兴为您服务 您现在是三十八的套餐啊就这样 
喂你好诶你帮我查一下我一个网络就是绑定那个手机的网络是不是 好的 
恩好您好请讲号码 除了您三十八的套餐没有开通其他的 
好您好请说 噢好的我看一下您稍等你好这手机月租费十八块钱的套餐 
您好请说 现在是三十八块套餐一百分钟本地打国内五百兆流量来电显示这种 
您好请说 现在目前您这边就是自己的五十八元的基础套餐嗯其他的话没有额外的增值包月业务了呀 
那请说 诶你好请问 
中午好请讲 本机号码这个月目前这个月用的是十八块的您下个月的话已经有改成了一个新飞享三十八套餐 
您好请说 本机那不是还是五十八的套餐 
您好请说 你好 
您好请讲 诶有什么可以帮到您 
您好您已接通福建幺零零八六请问能听到吗 诶你好 
您好什么需要帮助您 帮您看一下 
您好请说 您稍等一下啊 
您好您说感谢 本机下个月转成了三十八套餐对吗先生您好什么可以能听得到 
您好什帮助您 啊 
您好很高兴为您服务 稍等一下本机现在这个号码是飞享的三十八套餐 
哎您好请说 我看一下啊 
您好请说 嗯 
高兴您服务您好 您本机这是十八块钱的套餐 
嗯嗯您好请说 呃没有啊短信功能正常在这里呀 
您好 本手机里面我看一下啊您这边是基本套餐三十八的然后额外的话就没有其他的这种付费的包月业务了 
好先生请说 嗯那行 
哎你好请说 开通什么流量年包 
您好 您这个月租费每个月十八块钱包括一百兆流量一百分钟本地通话跟来电显示 
您好请说您好 所以您现在是我们十八块钱的套餐十八块钱 
您好请讲 噢好稍等一下哈感谢您耐心等待我这边显示您月租的话是一个月十块钱的除了这个话我帮您核实有来电提醒彩铃会员还有您来电显示其他的没有看到了 
您好很高兴为您服务 噢您这张卡的话基本的月租费三十八块钱其他的我这边帮您看一下 
您好很高兴为您服务 嗯您这张卡有绑定宽带了那绑定宽带的之前还办理不了如果确实需要到营业厅看下能不能改 
您好请讲 我看一下您的活动好稍等我帮您看了一下您这边是有显示您有更改一个新飞享三十八套餐 
您好请问什么可以帮到您 呃请说 
一百八十八超级全家统套餐 那您要改哪一种 
再见你好您好请稍等 没有就只只有您套餐当中送的一点五个g一百兆国内的一点四个g省内的当月用 
诶你好 您是本身套餐八十八七百兆流量然后开了一个五十块钱一g的流量包就是这两个 
您好您请讲 我这边查您这张卡没有办套餐变更啊还是八块的套餐没有变更 
明白高兴为您服务 啊那请说嗯有什么问题吗 
很高兴您服务您好 您现在办的套餐是五十八套餐然后来电提醒是两块钱然后流量套餐七十元的话到期后它自动取消掉那目前暂时没有其他服务了 
呃您好 哎请问有什么可以帮助您呢 
您好请说 呃您好请讲 
哎服务啊您好请问新装宽带是吗 您稍等一下噢我这边正在帮您查询中噢对呃您这个套餐它没有送但是你可以改一个能送的套餐 
您好请讲 十八元套餐包含一百分钟一百兆流量跟来电显示打多少钱 
您好请讲 您好您说 
哎您好请说哎 啊可以不用办因为您这个号码我们目前从九月一号开始已经取消国内漫游也就说您这个号码是全国接听都是免费的拨打的话一分钟都是一毛九 
您好请说 国际漫游没有 
其他您好请说哎 我绑定的那张副卡副卡吗 
你好请说 好您稍等一下噢其他费用的话就代他人付费付了四十块九毛钱这个是帮一个幺三六尾数是八五四八幺的号码给他付钱这张卡应该是您的流量王可能扣的基本月租跟他打电话打了一块九是总共它是总共消费了四十块九毛钱 
您好请说 现在是八十八的嗯嗯 
您好请讲 你好你好很高兴为您服务 
您好请讲嗯你好有这样行 流量我看一下没有流量嗯没有流量 
您好很高兴为您服务 好请稍等啊那这边看了一下您固定套餐是八十八块钱另外有一个美妙音乐的六块钱 
您好高兴为您服务 您用的是五十八块钱的套餐啊好 
您好请讲 呃我帮您看一下 
您好请说可以听得到吗 呃您好 
您好很高兴为您服务 恩好的我给您查一下好的有办了一个十块钱一g的夜间流量这个要取消掉吗 
您好很高兴为您服务 手机的业务噢您这手机的话套餐费每个月十八块钱然后除了这个基础套餐外其他我这里帮您看一下稍等您好您现在就只有这十八套餐啦没有另外收费 
您好请讲 嗯嗯 
您好很高兴为您服务 您稍等帮您看一下 
您好请问什么帮助您 我先查一下呃上网套餐的话没没有包二十块钱啊这边是三十八的月租有自带五百兆啊 
您好请讲嗯嗯 什么可以帮您 
你好请说 二十多条信息我查一下您稍等 
您好很高兴为您服务喂你好 您是要直接改成只有送流量的那种是不是 
你好 那我帮您看一下 
您稍等五十八三百呃四百分钟本地分钟数三个g的流量 稍等下个月改成十八块的 
呃女士您是说 呃您这个是八块钱一个月打电话三十分钟改完一分钟一毛九 
您好很高兴为您服务 稍等我帮您查一下嗯感谢您耐心等待我帮您看了一下您您是说流量也没有开通这个月套餐是吧对呃您这是咪咕卡套餐如果有用到通用流量是每天扣一块钱每天有五百兆省内流量您今天的五百兆省内流量已经有在用了呀兆还没用完 
嗯您好请讲喂你好诶你好 请稍等我帮您查看一下帮你查看固定的话是一百二十八套餐来电提醒两元除了这些以外就宽带剩下的就家庭亲情网呃别的就加入那个晋江翩然气这个集团网别的没有了哈 
您好请说 嗯您好 
可以好再见 小姐您好 
早上好您说 还有一个来电提醒 
您好请讲 呃本机的是五十八的全球通这种是一百分钟通话包括来显流量五百兆的这种 
哎您好请讲 你好诶我想问我本机厅这边用多少稍等我查一下十块五毛噢是不那现在有开应急开机吗哎我看一下稍等对啊卡出您之前十月份啊哦您之前有应急开机过了是吧没有缴清费等一下哎这样好行对 
您好请说 是不是那个三十八的对 
您好请说 呃 
您好请讲 八十八块钱套餐 
您好请讲哎你好麻烦你帮我帮我看一下本机有没有开通国际漫游 有开通 
很高兴服务 您上网不行的是飞享十八套餐嘛套餐费十八块的 
嗯您好高兴为您服务 您现在用的八块钱套餐 
您好请您说 您是收到短信功能吗 
您好请讲 可以啊那我就是流量套餐额外的五块流量包这些我都帮您取消掉噢因为您下个月改套餐的那您稍等我给您关一下 
您好很高兴为您服务 可以麻烦稍等一下我看一下 
您好您请说哎你好呃那个我这个手机号真的更低的这个手机套餐是不是幺八八的那个套餐嗯对没错 嗯对有包含 
您好请讲 现在每个月是多少啊是那种九十九十多套餐费一个月八十八里面是两百二十分钟七百兆流量一个月八十八然后有开一个来电提醒两块钱这边九十开了个短信包十块一百每个月固定扣一百块钱就可以了 
您好请讲 呃对您这边是有办了一个宽带 
您好很高兴为您服务 呃 
您好请说 恩好的呃给您查了一下这个套餐十八元的然后另外还有个五十元流量包有活动它这个到期会自动取消还有开通了来电提醒反正 
您好请讲 到了呀十元加油包 
您好很高兴为您服务喂您好有需要帮助您 您是说您要查您是什么套餐是吗 
您好请说 请稍等您要是我人工台这边给您查询目前的话您手机上面一个就是您自己本身的基本套餐七十九固定要扣的就这一个 
恩您好请说 本机除了套餐费九十九有办理一个是来电提醒那还有个家庭成员这个没有收功能费已经学校里面开通个同步课堂那其他的话就没有什么业务啊 
您好请说 对 
您好高兴为您服务 呃有啊 
嗯嗯您好请说行 嗯五十元的流量您之前对十二月一号到期您等下个月月底来电取消就好了十一月月底的时候 
您好请讲 噢开通的话诶我们给您开通就可以您有密码的话输入验证一下我帮您直接开通就可以了有密码吗 
您好请讲 您现在使用的是那个十八块钱的套餐两百分两百兆流量跟来显的 
您好请讲 在 
您好您说 好的马上帮您看一下您这边您这一个是十八块钱的飞享套餐还有一个十块钱的上网流量套餐然后其他我帮您看一下其他这边呃帮您查看一下 
喂你好 诶请讲 
您好请说 嗯有更改了 
您好请说 女士您说 
嗯喂你好嗯 好我帮您看一下您稍等一下 
好的您稍等一下 对呃您这边帮您看了一下除了基本包套餐以外还有个五块钱的那个无线上网的大部乱套餐 
您好很高兴为您服务 那您是原来的那个五五六的网家庭成员不要了是吗 
你好 哎 
嗯嗯您好请讲再见 噢是有工作人员给您打电话对吧 
您好很高兴为您服务噢噢噢你好电话已接通可以听到吗 那是微信这是腾讯的业务您要拨打腾讯客服问一下了我正常收费 
您好请说您好 好的先生您稍等一下 
您好很高兴为您服务 嗯如果十元上网流量套餐 
您好有什么可以帮您 好您稍等呃您这个除了三十八的套餐之外其他的没有开通 
好的您好很高兴为您服务喂您好我想查一下我这张卡 那个应该是什么什么新春卡套餐使用的套餐的话是嗯嗯免月租六十五块那下个月改成了十八元套餐的了一百分钟一百兆的噢噢 
您好请讲 呃您现在用的是一个三十八元的套餐除了基本包月租三十八块钱以外另外要收费的项目的话有一个彩铃彩印彩印彩印什么东西啊呃彩印的话就是我给您打电话的时候我的手机上可以看到一句话那这一句话您可以自己设置 
您好很高兴为您服务 有它是每个月给您赠送两个g的已经送给送给您了 
嗯您好 没有目前就五十八的一个基本套餐额外还有一个是两块钱一个来电提醒还有个咪咕会员这不要关掉咪咕会员 
您好请讲 这个业务帮您看一下没有生效 
您好请讲 你稍等我看一下您嗯您说的那个邮箱是送的 
您好请讲这边已接通幺零零八六客服请问可以听到吗 宽带是套餐总共七十九 
您好高兴为您服务 三十八 
嗯 您好请讲 
那现在的话只是说我们现在有这个 比如说您开通了一个三十块一个g的上网流量加一个十八元呃加一个这个八块钱套餐 
再见吗您好请说 好的我看一下稍等您这边的那个彩印跟咪咕彩铃是您买这张卡的时候它送的到期它就自己取消了那除了您的基本套餐以外就是一个来电提醒三块钱 
您好很高兴为您服务您好 噢可以套餐详细介绍发给您了别的可以帮您 
您好请说 您好您说 
您好请说闽 喂你好幺零零八六请说 
您说 五十八的套餐一百分钟五百兆包括来电显示 
你好你好 我看一下九十九里面的话有两百二十分钟通话七百兆流量跟宽带还有来显 
嗯嗯您好请讲 一千五十套餐有一个五十元的流量就是两个g四折购的活动吗然后您有个校园流量的一个十块钱包月的其他的另外收费项目的话查询本机没有开通另外收费项目 
您好请说 号码先报一下 
您好请说嗯嗯 好的马上为您查询您现在用的是三十八块套餐额外业务有来电提醒增强版还有彩印稍等一下其他没有了就这两个啊 
您好有什么需要帮助 本机号码游戏是吗我看一下 
您好很高兴为您服务 对是的 
您好很高兴您服务 好的帮您查询一下噢您现在套餐费是神州行不要月租的每个月保底消费十块钱然后有办一个来电显示六块钱 
您好 呃三十八的套餐一百分钟本地拨打国内电话流量五百兆包含来电显示一个月三十八块的 
您好 您三十八里面有五百兆国内流量噢 
哎中午好很高兴为您服务 呃现在是基本套餐是三十八块钱 
您好很高兴为您服务 嗯我给您看一下您稍等一下除了套餐以外像您这边收费有一个来电提醒来电提醒功能费三块钱 
您很高兴为您服务 好的我帮您看一下您稍等 
你好请讲 稍等一下您套餐办的是全球通的套餐费是五十八块钱一个月五十八的 
您好很高兴为您服务 嗯没有好 
你好 你好 
您好请讲 呃我们现在没有两城一家没开 
您好很高兴为您服务 稍等一下 
再见 噢我给您查稍等嗯对是限速了 
本机目前的话就只有基本套餐下个月转成三十八的 还有一个无线音乐俱乐部 
您好请讲 可以请先稍等一下还没有还是三十八 
您好请说 您是五十八块套餐里面有一百的分钟数厦门打呃国内打国内电话用然后有五百兆流量还有来电显示 
您好很高兴为您服务 好您不要挂机我帮您转呃另外一个号码是吧 
您好请讲 您现在办理的是三十八元的套餐月租一次性扣三十八 
你好请讲 您稍等一下 
你好 你好 
您好请说 你好 
您好请说 噢我帮您看到了就是一个三十元五百兆的流量之前的话是每个月只收您十块下个月开始就要收三十了我帮您取消吗 
您好请讲 恩好您这号码的话现除了那个三十八月租以外的话有个校讯通八块 
您好请说 嗯嗯喂你好诶您讲 
呃您好很高兴为您服务你好呃请说 来电提醒两块钱有有 
您好请说 您是办理八十八元套餐新飞享八十八的下个月生效是吗 
你好 哎你好 
他您好请讲 本机号码的话您这个是那个流量日租卡套餐就是月租费呢这个九块钱的然后流量的话呢就是一天一块钱五百兆的省内流量的这个套餐就有用是免费的这样子 
您好高兴为您服务 好马上查询一下你好有个三十元的上网套餐要退掉吗女士 
您好有什么可以帮您 现在有办理了下个月生效 
您好很高兴为您服务 刚刚 
您好请讲 没错是的 
您好请讲 噢您现在是有办宽带活动对然后是有什么问题呢 
您好您说诶你好我想问一下 就目前的是吗 
请啊您好请讲哎您说 手机号对吗噢您这个是和家庭九十九元的套餐那其他您这边收费业务就没有了就只有一个九十九元的套餐 
很高兴为您服务您好请讲 嗯您现在在用的现在是五十八元的飞享套餐 
你好需要什么帮助 嗯稍等我帮您查一下本机有加入一个是这种九州通中药呃中药材有限公司的这个集团网 
您好请讲 哦好的您这边手机除了基础套餐之外呃有开通一个来电提醒五十元上网流量还有一个咪咕彩铃这些业务 
您好请讲 我帮您马上看一下哈您稍等一下 
哎你好很高兴您服务 哎您好请讲 
现在您好很高兴为您服务 好我帮您看一下您稍等一下 
您好请说您好 有些下个月打我们那个八十八元套餐有改 
您好请讲 好您这张卡套餐是一个三十八套餐 
有什么可以帮您 请稍等一下帮您查看一下 
您好请说 请稍等一下帮您查询 
您好下午好 嗯本机号码现在我下个月是改了套餐了下个月开始用的是一个八十八块钱的套餐然后另外您有一个七十块钱的流量套餐那个我到下个月给您关掉啊 
你好 恩好可以 
您好您好请讲 别的业务吗 
啊您好请说 嗯嗯好的您稍等 
您好请讲 有个十块钱的您是指这个吗 
哎您好请讲 你好 
因为 本机八块套餐 
很高兴为您服务 你好 
您好很高兴为您服务 本机是一个五十的流量卡套餐除此之外您额外开的有一个十块钱的夜间九块钱的腾讯包噢诶这上面 
你好谢谢请说 跟您这个号码都已经办过了 
很高兴为您服务 来电提醒没有啊 
您好请讲 呃有的 
您好请说 您这个套餐一个月十二块钱啊 
你好喂你好啊请讲 这个八十八的新飞享套餐嗯 
很高兴为您服务您好 请您稍等 
您好请讲哎你好嗯我想问一下 没有办家都包括来电显示吗 
嗯您好请讲 嗯目前您用的是一个月八块钱的 
您好请讲 噢我看一下儿改了改五十八套餐了下个月一号使用噢 
早上好 我说 
您好请说 我想问一下 
您好请说 好的目前帮您看一下这个十八块钱一个基本套餐 
您好高兴为您服务 本机号码您稍等我看一下我们是幺二八的六百五十分钟六百兆流量 
您好请讲 您好用的是十八块钱的飞享套餐 
早上好请讲 呃这个套餐是飞享三十八套餐有包括五百兆流量和来电显示还有一百分钟在本地打全国 
哎您好请讲 喂 
您好请讲 嗯没错 
您好请说 因为这边他手机号码跟密码吗我帮您查一下 
您好请讲 新飞享套餐三十八 
您好很高兴为您服务 呃是本机号码吗 
你好 帮我看一下哈请稍等一下 
好 这个是三十八套餐一百分钟五百兆流量那种 
您好请说呃请问一下我这我这张卡是什么套餐号码是一个五十八套餐本地的全球通飞享的吗对新飞享五八套餐四百分钟三g流量的这一种四百分钟吗对本地打全国四百分钟在整个福建省流量三g家对吗噢那就是发最后给你过来啊 你说什么您刚才说什么 
您好请说 一百三十九这个是基础的套餐额外要扣费的有两块钱的来电提醒其他的稍等一下一块钱的集团网其他没有了 
你好 噢对没错是的 
你好请讲你好 诶您说 
嗯你好请讲 哎稍等我这边帮您看一下哈 
啊对是有一个流量 到期本月到期我帮您登记自动取消哎行好谢谢啊现在请您稍等一下 
你好 呃您这十八元的套餐 
您好请讲 好的马上帮您查询您号码的话目前是一个这边优惠的流量九元的日租卡那其他额外的一些增值业务的话帮您查看这些的话都取消了下个月的话都没有了那就一个套餐下个月 
您好很高兴为您服务 嗯我帮您看一下 
你好高兴为您服务 您好请稍等 
下午好很高兴为您服务 你好 
嗯您好兴您服务喂你好 噢对没错 
您好您请说 你好诶你好 
知道您好请讲 你好 
您好请讲 呃这个手机套餐费九十九块的 
您好很高兴为您服务 对对对对要取消吗 
喂你好请讲 除了三十八套餐之外您这边下个月改了五十八有一个流量包五块给您取消掉吧每个吗块钱流量包五块钱 
您好请讲 您好您说 
您好请讲 好您现在就是基本套餐每个月七十九这个呃其他收费的没开了就这个就还有一个惠民网一个月一块钱其他收费没开了 
您好请讲 我给您看一下请问您月租之外的话其他的话有个家庭网剩下的没了 
你好 恩您说 
您好很高兴为您服务 喂你好 
您好请讲行 您每天扣费是您的宽带费按天扣一天天扣的 
您好您好 对 
您好请讲 稍等一下您家套餐就十八套餐跟来电提醒 
中午好请讲 呃下个月套餐的话是有改成三十八的新飞享套餐 
您好请说 嗯这个月的流量只有五八套餐里面的五百兆然后下个月是一百三十八里面本地龙岩不限量的 
您好很高兴为您服务 呃我看一下呗下个月你有改了五十八 
你好中午好 嗯我查一下吗 
您好很高兴为您服务 流量套餐的话呢就是五十八套餐五百兆另外开了一个五十块钱一个g就您一个g五百兆的流量 
您好很高兴为您服务 噢马上给您查询的啊您现在用的就是如果用一百三十八块钱套餐另外的话是 
您好请说 啊先生您目前呢这个是五十八元的飞享套餐然后这个里面还有一个是十块钱那个流量包活动到二月一号明年二月一号到期的还有两块钱的来电提醒对对对下个月的话您是升级为那个八十八元新飞享套餐了还有一些家庭网的套餐业务 
我看一下现在是二十八块的套餐费其他的您稍等一下看一下噢嗯没有没有其他收费了 没有开 
你好请讲 但现在只需要提供一下他的服务密码请问可以提供吗 
您好很高兴为您服务 十八块钱套餐 
您好很高兴为您服务 您用的是三十八的套餐另外有一个来电提醒两块还有个家庭网三块就这三个其它没有了 

您好很高兴为您服务 啊好的那这边帮您查询的话您这个五十块的这个流量包呃是有开的那这个帮您关闭掉是吗 
您好请讲 我看一下您稍等 
你好 移动宽带我帮您看一下嗯行不啊我们有办理到宽带一下看一下哈 
招行 我帮您看了一下您现在用的是四g飞享二十八的一个月租然后另外您有开通的就是那个宽带然后宽带包月的其他固定有收费的包月服务的话我帮您看了一下就没有了 
你好 积分是自动累积的呀不是有七百三十五 
您好很高兴为您服务 八块钱您稍等啊八块呃那个和教育那个小孩子在学校读书那个校讯通是吧 
您好请讲你好你帮我查一下 噢我帮您查您稍等短信功能没有关闭正常开通的 
您好请问需要什么帮助 好请稍等嗯嗯嗯这里面有发现订购了热门资讯一些着口上通讯书库图书馆报手机报有订购的项目 
您好请讲为您服务 您现在这个号码是四十八元的这个飞享套餐另外有参加的那个活动它到期会自动关来显是套餐包含的其他的什么收费项目就没有了 
您好很高兴为您服务 好的请稍等一下目前的话月租费四十八块钱一个月然后其他的话有一个手机视频跟手机动漫但是都是送的话费返还的钟出其他的话没有开通什么收费的业务您是说这个话费的比较大是吗 
您好请讲 我看一下稍等 
早上好您请说 恩好我帮您看一下 
您好请说 您稍等我一下 
您好请说 七五 
你好您请说 你好 
您好很高兴为您服务哎你好我问一下我的手机号哎请说 您是三八套餐其他有些业务您额外要收费就一个来电提醒 
您好很高兴为您服务 我帮您查一下 
您好请说 呃这个是三十八元的套餐 
您好很高兴为您服务 您说新飞享五十八套餐呢 
呃晚上回头 恩你好 
您很高兴为您服务 呃我这里看到您有开通的话那就一个三十八一个基本套餐还有一个宽带然后还有一个来电显示这个是包在套餐内的其他的什么意思噢还有个学校的校讯通 
下午好请讲 诶先生您好 
您好请讲 您现在用的是三十八元套餐里面的话一百分钟五百兆的额外有订了一个三十元五百兆的流量包这两个加起来就要六十八了 
您好很高兴为您服务 有没有关掉帮您查一下 
中午好很高兴您服务 三十八套餐 
您好请说 三十八元套餐 
您好请说 诶 
您好请说 行您这边就一个八块钱的一个基础套餐其他的业务的话 
我您好请讲 嗯是没错 
你好 你好 
您好喂你好哎您好请说 现在手机这个 
您好请讲您好 我帮您看一下请稍等一下 
你好 您目前的话是二十四块钱一个基本套餐然后里面有包含三十个g的那个腾讯视频定向流量这个业务然后您如果有有用额外的流量是每天会给您扣一块钱每天会给您五百兆流量可以在福建省内使用额外有送来电显示打电话都是每分钟一毛九在国内接电话是不收费的 
您好您说 诶您好 
您好请讲 您这边现在用的是五十八元套餐下个月改了我们的八十八套餐那改了以后流量比较多那您额外开的一个五十块钱流量建议您可以取消 
对您好请讲 套餐您是八十八套餐然后有办一个来电提醒三块 
你好请讲 它这张卡是五十八元套餐还有开通来电提醒 
您好请说 呃您是说开查一下您有什么业务是吗 
您好请讲 请稍等为您查一下您目前号码这边并没有限速啊您看并没有限说 
你好哎你好我想问一下那个我这个本机的话有没有开通国际漫游的你想请问一下没开需要帮您开通吗嗯帮我开去哪里呢去日本呃首先国际漫游是免费的我这边立即帮您开通去日本的话首先要自己苹果手机或者说wcdma制式的手机才有信号您等一下你稍等一下您在您稍等一下还有个直接申请 再加就是苹果手机或者wcdma制式的手机才有信号啊好的好的那另外一个六百兆的上网流量套餐要办流量套餐吗 
您好很高兴为您服务 噢对有的 
他您好很高兴为您服务 这个套餐是每月八元钱的基本套餐 
您好很高兴为您服务 您好 
你好很高兴您服务 嗯改成五十八元套餐是不是 
您好请讲嗯 好应该是和家庭九九套餐有一个手机保障服务十五块钱 
您好请讲 呃流量大概需要增加多少啊 
你好你说你好 哎客 
您好很高兴为您服务上门对 诶您好 
您好很高兴为您服务 好请您稍等我看一下感谢耐心等待您目前有这个月用是我们飞享三十八的套餐 
您好很高兴为您服务 嗯本机用的是全球通商旅五十八的套餐 
您好请讲 请稍等一下啊嗯您有两个业务它是活动送的我帮您登记到期关您自己要收费的就一个十八块钱的套餐那您稍等一下啊对对对 
下午好请说噢您好有什么帮到您的 请您稍等我看一下 
您好请讲 我帮您查您有收费的除了一个基础套餐三十八另外一个来电提醒三块钱卡是没有钱 
您好很高兴为您服务 十八块钱套餐 
您好请讲 您的基本套餐三十八元的飞享套餐多少一百二十八飞享套餐十八块啦然后不要 
您好请讲 嗯催一下我看一下您下个月是更改为新款的三十八套餐 
哦不客气早上好请讲 恩对 
您好诶你好嗯先生您好 我看到您三十八套餐下个月改成五十八了就是四百分钟流量三g的那您现在有那么多流量了之后您这里还有几个项目没取消有个十块一g的夜间流量包跟三十块五百兆流量包您看这两个要不要取消 
您好很高兴为您服务 呃您现在本机套餐是动感地带三十八元的套餐然后包含了这个五百兆的流量 
您好 您稍等一下你这边上网功能有开通那为什么没有十几条g网络可以用吗 
您好很高兴为您服务 你好好 
您好高兴服务 您现在手机套餐的话是十六块钱的月租费套餐五块钱的彩铃五块钱的设定化商务版还有一块钱的幺二五八零生活播报 
您好很高兴为您服务 你好 
您好很高兴为您服务 您现在是五十八的套餐一百分钟通话五百兆流量的超出打电话一毛九一分钟全国接听免费另外您有一个是芒果游戏会员还有一个浙江提集集团快报这两个取消吗 
为您服务 先生 
您好很高兴为您服务 办理成功了但是我跟您说一下因为我们现在的话系统有误我只能看到您有那个升级的那个套餐但是的话好像它没有赠送的流量套餐的那个标显示给你你要稍后的话晚一点的时候再留意一下 
您好很高兴为您服务 噢这个目前的话有流量共享的是副号码您现在用晚上用他流量对没有产生费用 
您是您是一个四g随心卡每天呢是有一块钱三百兆的一个本地流量可以使用不用不收 这张卡您是四g卡您手机看一下是否支持四g如果手机也支持四g的情况下在有四g网络覆盖到地方它是优先使用四g网络的但是如果说您所在去他没覆盖到四g或者做所在区域四g网络状态并不是很好不成我定的情况下那智能手机也会提前 
您好很高兴为您服务 您是八十八的 
您好很高兴为您服务 没有短信包您要开吗十块钱两百条二十块钱四百条三十块钱六百条 
很高兴为您服务 您好有什么可以帮您 
很高兴为您服务您好有什么可以帮您 这个套餐是五十八块的每月一百分钟通话流量五百兆就开这一个套餐其他开通 
您好很高兴为您服务 套餐是什么套餐是吧 
您好很高兴为您服务 开通的彩铃 
您好很高兴为您服务请讲 您是八十八元的套餐然后看还有其他的活动目前您这个套餐是八十八块钱的月租费 
您好很高兴为您服务 四g飞享套餐八十八块钱一个月的二百二十分钟通话七百兆的上网流量 
您好很高兴为您服务 没有通话时间流量是三十兆流量十六块钱亲情套餐打电话市话是一毛钱一分钟上海本地接听免费 
您好很高兴为您服务 目前您是十八块的四g飞享套餐其他收费服务没有就是十八块 
您好很高兴为您服务 卖嗯现在都是从从九月一号开始取消漫游了就是您可以把里面的一些什么ip长途包啊呃这种就可以取消掉了以后就是下个月开始无漫游了 
您好很高兴为您服务 申请哈您稍等对有一个家庭畅打包的 
