一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
您好请讲 那您嗯您别担心我们就开个这个流量就是有个三十块钱一个g的流量那今天开通了不收您三十就收您十一块八毛四流量有四百零四百零三兆 对四百零三兆就开通这个月下个月帮您取消 哎对对是的 
您好很高兴为您服务 就说您现在宽带不能正常使用了是吗 我帮您转一下我们的宽带客服您把这问题它说一下就帮您处理好嘞那现在为您转接不客气祝您生活愉快再见 
你好呃请说 呃您是说就说别人打您电话听到的这种彩铃是吗 呃呃这个您要拨打幺二五三零问一下有没有这个铃声 幺二五三零对它是我们的彩铃客服它这个是要我们铃音库里面有这种铃声到时候您才能下载的到才会播放得到 
您好请讲 流量套餐现在都是有活动然后参加会比较优惠一些有一个六十块钱六个g流量然后一百八十天的有效期六g 一百八十天相当于半年时间给他用掉就行到期自动取消用完也会自动取消 每个月那个是三十块钱一个g的 
您好很高兴为您服务您好 呃有现在办理的话像比如说有十元一百兆或者多一些的话是六十六g都有一百八十天内使用两种 啊六十元六g流量包然后全国流量有效期是一百八十天内使用有效 好一g的话就没有的所以本身您是已经有这些开通的套餐的如果是另外他使用一g的话它是按安心包里面还剩六十元那个就没有办那个活动优惠啊 
嗯您好请说 呃您现在用的下个月改的是幺八八那您是说想要更低的还是更高的 那都在莆田本地使用吗 手机呀下流量大概一个月多少呢 
你好什么帮到您 哎您好请说 一千二您的卡都在哪儿用三明吗是啊上面的话是一千两百分钟都可以打的 呃那个是说它有额外给您送了一个一年是一个两百分钟这个先用完的话会给您发这个提示的 
您好请讲啊喂你好你好 取消掉吗 我帮您看一下咪咕阅读吗您这是在三月二十五号的时候就开过了先生 对没错是的 
再见嗯你好请讲 嗯你是说当前这个流量不够您用是这样吗另外再办一个方面的补充包 噢那您现在这款呃如果在校园内校园里面用是比较划算的那如果是如果在省内的话只能建议您改套餐了比如说改成我们的五十八套餐这款套餐里面它是三个g的省内流量仅限当月使用不可共享 有流量分钟数的话它是没有叠加就只能当月用完分钟数是国内拨打国内电话一百分钟本地拨打国内电话是三百分钟 
诶您好 你好 啊啊好好现在会好一点吗现在还有一点嘛 哎流量套餐的话加油包就十块钱一百兆的如果要多一点的就也是六十元六个g的 
您好很高兴为您服务 包括的是吧十八块钱的一百兆流量国内主叫一毛九一分钟全国接听 它那个不是所有用户都有的呀五十分钟那个指定向客户非四g套餐转四g套餐的客户收到短信客户又额外加送本地分钟通话时间五十分钟送一送到一八年六月 听得到吗 
您好很高兴为您服务 对就是改套餐对吗他就是说同样还是一百分钟那流量呢就是五十元两个g额外再送您两个g的国内流量三个g咪咕视频定向流量送到明年六月底结束那您需要改吗 等于就是有四个g的国内流量三个g咪咕一直送到明年六月底 留到下个月套餐里面本身的没有用完可以接下下个月但赠送的两个g是自己选 
您好很高兴服务 套餐对吗 嗯嗯流量的话您这边是当月要加吗上个月交的话有一个加二十块钱加两个g的流量 加二十块钱加一两个g的流量到月底清零呢 
您好很高兴为您服务 对您现在就是一个五十八块钱套餐一百分钟通话五百兆的一个上网流量 有一个五十八块钱通话不送的打电话是一毛九一分钟流量是两个g就赠送您了就交四个g的 您是说一个g两个g没有 
您好很高兴服务 嗯 免费送您的一个区提功能可以帮您 通话当中不断网接通更快一些这种信息这样一项服务您可以放心使用 
您好很高兴为您服务您好 您说 最最最少就是十八呀再低也没有了呀在上海这边最低就十八呀您现在二十八 最低就十八的就在第二第一地步了再低 
您好很高兴为您服务喂 就是说从二零一七年九月一号开始以后 对女士那您手机上面的话有一些业务就需要取消了在那个定向安徽的定向长途包还有那个全国漫游包这两个东西的话都是需要取消了然后的话以后就是用不到的 那你现在这个套餐就没有办法保留下来了最低的话那个也要那个五十八块钱一个月要那个二百二十分钟通话一百兆流量然后通话打电话是一毛九一分钟五十八 
您好很高兴服务 什么业务对吧 您现在是九十八套餐三百分钟通话七百兆流量 对 
您好很高兴为您服务 呃就是包含有三百分钟通话时长另外加一个g的流量一个g的全国流量然后我们另外是送您一个g的本地流量再送一个g的夜间流量 恩对的通话分钟数是还是呃就是三百分钟了发给您 恩对的 
要不您可以换一个五十八块钱套餐打电话是一毛九一分钟流量是两个g再送两个g的流量送到一八年六月三十号总共一个月是有四个g的 对 对因为它是两g再送您两个g嘛现在就是流量翻倍的五十八块钱 对您现在套餐是三十八块钱漫游包 
您好很高兴为您服务 十块钱一百兆的 二十块三百兆 好的请问您密码知道吗 
里面的话它现在目前每个月是一个g的如果您不够的话可以改到七百兆呀五佰兆三百兆等等 对是的 套餐的话你们结果现在交的钱一点然后什么套餐你通话时间要改的吗 通话时间要不要调低 
您好很高兴为您服务 福建的流量请稍等我看一下我觉得呃像您现在是我定的是五十块一个g的嘛您可以多加二十块钱多两个g的流量二十块钱两个g 每个月多加二十块钱 呃一百多的无限流量是两百三十八块一个月的无限无限流量两百三十八一个月 
您好很高兴为您服务好的 唉你好 那您要办个五十块套餐吗流量两个g打电话两毛钱一分钟 对 
很高兴为您服务 套餐套餐现在一百三十八飞享套餐需要改吗 您现在是五百分钟通话一个g流量 对所以怎么改呢先生 
每个月增加两个g 嗯对是的 就是说您加二十块钱之后您每个月除了两个g国内流量以外再送您两个g用四个g赠送的流量用到可以每个月都送送到明年六月底 能办的话下月一号生效 
您好很高兴为您服务 超出之后当时在上海移动流量就是按照这个叠加的如果到外地用流量的话就是五毛九一兆计算用多少扣多少 但是它这个流量的流量出了上海就不是这个资费了 好没有谢谢 
您好很高兴服务 流量卡有的今天上网要办上网卡吗 那您这边不要挂机啊为了更好为您解决问题我将您的电话转专席处理请稍等啊 
很高兴为您服务 您好 您好 听得见 
您好兴您服务您好 您好 请稍等一下请稍等那这边短信来看的话它应该只是按这个套餐进行更换一下就是价格不变然后流量没有那个五g送五g的一个版本新的版本重打六 额外呢会在感觉三个g是咪咕视频流量就是在那个咪咕视频客户端看那个视频 
您好很高兴为您服务 它现在就是呃通话时间还是一百分钟流量变成两个g额外再送两个g的流量送到明年六月底结束 唉对的 明年六月底 
您好兴为您服务 二十元流量包对吧流量包当月加的话就十元一百兆二十元二百兆 当月生效不了套餐的只能加那种叠加包 对加那种包一个月加一次吗已经加过了当月不能用那个功能了 
很高兴为您服务 嗯这里是上海呢 您再加十块钱流量吗还是改套餐还是怎么 诶三个就改一下套餐吗改套餐您现在是五十八的套餐然后流量部分加十块钱十块钱的话您加的套餐里两个g流量活动再送两个g流量送到明年的 
您好很高兴为您服务 呃您现在本机号码 嗯稍等一下电脑比较慢 啊本机订的是八块钱的那个基础套餐它里面只有十兆的免费流量 
您好很高兴为您服务 唉 呃您是说其它流量左右啊我看到您是订的是那个一个g的全国流量吗另外送您一个g本地流量还有一个g的夜间流量晚上十一点到早上七点的流量 对啊 
国内中国大陆到哪里都一样呀全国接听免费打国内电话一毛九一分钟跟在上海一样 没有漫游费 对当月套餐里面两个g是全国通用的送的流量只能在上海用外地用流量 
您好兴您服务您好 好吧目前看一下请稍等一下那么按照目前的话它是在活动期间之内呢就是说您通过我们的指定的这个渠道然后参加这个上面先生专享一个另外一个金额呃然后以以后一个号码活动是免费送然后在线的话您可以选择这个幺八八的这个号段就是他限量这个公寓然后之后的话拿到卡之后进行实名制登记好之后就可以进行参加这个活动然后获赠一个价值三千元这个信息礼包那么按照目前的话我们这边它只是限制年龄是在十六点二十四周岁的客户参加 流量的话我看这个套餐情况他他现在目前默认是给您一个三十八的流量版就带五百兆流量的然后打电话一毛九一分钟全国接听免费 啊对是的 
高兴为您服务 十块钱一个g就是上午七到十点晚上五点到八点使用的流量在上海用的每月扣十块钱给您一个g 啊好的呀那这边那个密码知道吗 听提示音输入下密码请稍等 
您好很高兴为您服务 对我没有新寸 对送的是上海本地流量就是说如果你一旦要参与的话我跟您说一下因为你的手机上面的话那个如果宽带三十块钱流量包不能用本地流量以后夜间流量包这也不送 是的 
您好很高兴为您服务 半年包流量套餐 但是用这个放到什么时候开的我看一下啊 这个没有了呀上个月结束了呀它是到七月三十一号最后一个月呀它活动就把九月份 
为您服务 咪咕什么二十四你说那个咪咕视频流量吗 有些视频流量对那个是流量是怎么在那个客户专门的客户端里面看视频才能抵扣的不是通用流量 什么意思就您开不上去的流量包吗 
对那我从五十分钟通话两个g的流量八十八一个月 对 申请我这边帮您办 到时候他是办的话下个月一号生效 
节日好很高兴为您服务 你把这边详细的门牌地址东西啊我帮您查一下 上海什么区啊 兼程测经是哪个基金两个字 
为您服务 嗯嗯好的这个月大概还需要多少流量 这个活动呢就是二十块钱可以加两个g的这个活动比较划算呢 嗯对那个套餐的话它是根据套餐来的套餐这个月订的话就对那个活动订了您这个套餐订就是二十块钱两个g的不能订的十块钱一点三g的 
一个十块钱一个月对与复杂你主卡当中就一个卡有两个号那其中有一个师傅呃续一号 钱在他他这个手机上用 不客气还有什么可以帮您的 
您好很高兴服务 手机号 对月末流量分享包 还剩多少我们看不到的您可以发送短信幺零九幺发给幺零零八六查证系统会告知您的幺零幺四四二幺幺零九幺发给幺零零八六查询 
您好很高兴为您服务 八十八的月租我们现在八十八元套餐的话有四g飞享它里面有两百二十分钟七百兆流量还有一种是就是流量多的打电话分钟数少的那种 您可以我帮您算一下啊 五十分钟三个g流量 
您好很高兴为您们 您要开什么流量 这个月用的流量好的您稍等那您用到月底还需要多少兆 现在如果您开十块钱左右的话我看一下啊十块钱的话那这边就帮您选择是五十块钱一g折算下来的这个不足一个月所以到月底总共收您十一块四毛八给您两百三十五兆 
什么业务啊 平板好知道什么等一下新版流量至尊包就是一个业务它有办理条件办理条件是这个号码还办不了因为已经不符合这个话这个号码条件是不能有签约的活动您有一个最低消费的活动有这个暂时办不了的 对打过来号码办不了而且套餐也要改另外那个活动在这里直接办不了所以其他部分就不用开 就是那个签约送话费每个月送话费活动刚开始的十二个月上个月办理的最低消费一百零八十二个月 
您好很高兴为您服务 打电话不是微信不是qq嗯 对的视频通话分钟数不是流量他不走流量它是按通话分钟数返在您四g网络下一定要在四g网络下才能使用的 这不是通过软件去操作的啊是通过直接手机拨打电话出去 
您好很高兴为您服务您好 您要临时性用还是说是以后每个月都要用 那就临时性的是吗 好推荐您办一个加这个叫流量安心包流量安心包的是当你流量超出之后一两毛九一兆的帮您计算计费到这边的十块钱的话给到您十块钱一百兆计费到这边的三十块钱的话呃计费到六十块钱的话给到您一个g的您看行吗安心包会产生任何费费用的 
挂机您拨打的电话您好可以听到吗 安心包就是一个基本功能呃套餐以外的话如果超出的话按照十元一百兆六十块钱给计算的不用是不收费的 对是的 嗯流量的话您目前我看一下啊它里面有送的流量加上赠送也不够是吗 
您好很高兴为您服务 您好有什么可以帮您 那换的话可以的下个月生效的本月流量没有用完的话月底要清零大概您需要多少通话和流量 噢那套餐可以降到最低最少十八块钱一个月的国内接听免费打电话一分钟一毛九 
好很高兴为您服务 流量套餐您现在这个这个就可以啊应该是五十八的飞享套餐然后加了一个二十块钱任我翻的活动有一点五g 没有了这个已经是活动啊呢想到最多的优 套餐可以改呀您要改多少的您现在是每个月是两个g您还不够那就三个g的那三个g的话您流量的话你可以那最少的话您可以开八十八套餐里面呢有两个g的流量然后您在上海本地用吗 
您好很高兴为您服务 就是改一下流量包是吧可以啊可以听到您要知道多少现在是五百兆现在明明打有七百兆还有一个g 啊 您现在是四十八五十分钟五百兆流量 
很高兴为您服务 噢预付费的话就是以充值方式付费的后费就先用然后再付的先先我这边看您原来号码是新扣费啊意思也就跟您原来为什么一个有充值付费的呀扣费您自己长途故障形式来对的 出账形式如果您本身就是预付费的短后会得到移动营业厅办理一下的 可以 
您好很高兴为您服务呃我看 呃五元的流量可选包吗 再叠加在您这个二十八套餐基础上另外又加了五元三十兆我看到这个业务您老早以前订的就是到现在都没有取消过 嗯可以的请问您本机的密码知道吗因为是以前 
您好很高兴为您服务 您现在这个号码是有哪些套餐是吧 你好你打电话是一毛九的 对您这号码打电话是一毛九一分钟 
您好很高兴为您服务 这个号码对吧 呃我可以免费送你一个g的本地流量和一个g的夜间流量 如果您套餐一直不敢送到一八年的六月三十号 
为您服务 五g的话是您手机要改那个四g自选套餐要做一下升级的升级的话参加那些四g推出来的超g大狂欢活动然后他会赠送相应的流量 七兆的首先因为您套餐变更的话你要跟你那个单位负责人确认下你这个套餐能不能变更因为您这是跟公司捆绑的 公司联系因为这个享套餐我们这边可以帮您更改一下 
您好很高兴为您服务 嗯 噢这我知道那第二第二个呢 噢我知道嗯这两个功能这样子共享功能就是一个只是上个月是吧我看这个也有啊共享功能就是一个流量共享的功能就是主号把流量共享给副号就还每个月十块钱那您就是那个主号就本机 
您好很高兴为您服务 嗯套餐您现在的话是一个五十块钱四g流量卡您要什么需要什么样的套餐 流量就您只要这个月是吧啊就只开这个月是吧稍等那您到月底还需要多少兆呢 一个g的是吧稍等因为大概要多少钱然后这边我帮您选择是五十块钱一g折算下来的这个月呢不足一个月所以到月底它总共是收您四十一块给您八百四十一兆就可以了二五幺最低就是十八和十一兆八百四十一兆对 
服务 就是说下一个软件这个软件咪咕视频从咪咕视频进去看视频可以抵扣的每月三个g送的送到一八年六月份 一个这个时间能送的晚上十一点以后吧七点之间使用呢 对 
很高兴为您服务 流量多一点你要不选择五十块套餐现在流量两个g打电话两毛一分钟 嗯嗯流量一个g两个g最好流量总共 您可以换套餐可以啊 
您好很高兴为您服务 我想请问一下有什么十块打电话的那种业务好的打电话的您现在是八十八两百二十分钟七百兆流量啊 打电话的套餐不需要流量你要么这个月要多少三百分钟通话够吧 我 
您好很高兴为您服务 可以打电话你要是流量多一点还是什么 那就月费加流量包的十块钱可以加一点三个g 嗯对然后流量就是还是另外另外给一点三天 
您好很高兴为您服务 嗯是五十八的自选套餐十八的是二百二十分钟和一百兆流量 好那现在到下个月生效啊十二月一号生效 恩好请问要改多少流量多少通话呢 
您好上海移动客服代表工号幺零六五九唉你好 您这个手机号码的话用的是九十八块钱月租费套餐 呃八十八块钱套餐然后八十八元套餐您另外还有一个五块五块钱的彩铃五块钱个性化彩铃商务版还有一个三十元的约会吧 八十八元套餐 
很高兴为您服务 不限流量的没有都是有流量限制呢嗯没有封顶的 嗯嗯 移动不太清楚移动现在目前没有移动现在推出的就是最最高的有四十个g的流量 
为您服务 或者的话是手机上面本身自带一些功能像有些上下您手机上都有那不是我们这边开通的 啊我知道您的意思以前很早以前我们移动确实有短信或者业务现在已经没了 没有了 
您好很高兴为您服务 它 好的可以啊 另外以后您办一个流量包就是二十四块钱的流量包您可以自己选择就是爱奇艺腾讯或者是优酷的 
您好很高兴为您服务 加拿大电话是吧请稍等一下噢您好先生感谢您的耐心等待那我这边帮您看了一下就现在拨打加拿大的话您就是直接拨打直接拨打的话他按照这个四毛九每分钟来计算 四毛九每分钟 啊对在 
您好很高兴为您服务 宽带是吧嗯我们最低二十兆最高两百兆您是什么地方要装呢我帮您看一下这种情况 具体地址有吗什么路几弄几号 玉龙家园每个月宝玉的玉 
您好很高兴为您服务 我想想 好 好这个这个感谢您耐心等待是有这个活动它是只针对于指定用户才可以办 
您好很高兴为您服务您好 那那个是在套餐基础上叠加的然后那个是本地流量您要临时加的话是三十块一千兆的您要办吗三十块一千兆 唉对的全国的三十块一千兆 其他的要贵啊其他就标准的我呃七十元两个g一百元三个三个g这个这个是上海这边最呃最优惠的那种 
很高兴为您服务 嗯嗯九块钱的没有给那个就是对您有那个二您是在上海用还是在外地用 一个六块钱五百兆的可以吗 只能在上海用二十四小时的 
您好很高兴为您服务 最低消费十八块钱一个月是吧 就最低的月租是吗就可以改这个 就还有二十八三十八的反正十八最少的噢 
您好兴为您服务 稍等您好像什么不好意思 如果是六十元十二g的话它要求套餐里面的自选或者飞享类的流量最少要含一个g或以上才可以的的一个g的话只能选六个之内的 享受一百二十二十二g的对吧对十二天内当对的一个g只能是六g流量 
您好很高兴为您服务 您通话够吗了就是流量不够吗 流量不够您就每个月多付二十块钱多一点五个g吗划算的只能把三十八变成五十八这边是两分钟 还是五十分钟通话不变的呀 
您好请讲 什么套餐不好意思麻烦您重复一遍 就是您下个月的办的套餐里面对吧 流量大概每月需要多少呢 
您好很高兴为您服务 能用 我们现在套餐里面没有包含东方有线电视功能费的 恩对的有线费用还是要您单独东方有线去付的 
您好很高兴服务 是收您五百分钟通话五百兆流量呢 不是啊还是一百一十八呀您套餐改的是一百一十八对 但您这个号码没有看到加量不加下来标准所以说您没有这个享受的优惠你还是下个月一百一十八 
您好兴您服务您好 就这个月嗯是以后都要多一点呢还是说只是这个月临时加一点 以后都要多一点的是吗 噢两百多一点的话目前有个五十八块钱的五十八元它直接带两个g流量这可以嘛然后他通话时间没有就两个g打电话呢就直接一毛九一分钟全国接听免费 
您好兴您服务您好 你好 宽带是十块钱一百 十元一百心想 
您好很高兴服务 你好 您现在就一个五十八的套餐没有其他业务了 啊这个是我们免费升级的一个高清通话功能呃您是需要了解这个怎么用的呢 
您好很高兴为您服务 那是任我看视频流量包 就是你如果现在要办的话可以免费用三个月就是十二月一月份二月份免费的 可以的您三月份七十二月份打电话来办理就可以 
您好很高兴为您服务 呃它是这样先生到美国去您要开通就是到国外还要到然后他就要开通国际港澳台漫游然后他给我同一国家资费情况不要有些国家有那个呃流量收费封顶的就比如说您到美国去美国是开通国际漫游之后这三块钱包三兆每天封顶金额是三十元就一天最多只收您三十流量是无限量的然后的话它另外如果您说每天都用分分钟流量你到时候可以另外办一个呃美美北美多国流量包还有七十八块钱包三天一百二十八包五天一百六十八包七天的这是另外办了那您看一下是不是要先开通国际漫游然后你在那个工那个北美多国流量包的话你要看他你们才办 对每天三十封顶他是说你到比如说你开了国际漫游个号上买过直接使用流量首先扣您三块充完三百以后您可以用三兆是按照用完之后您再办呃再用再扣您三块如果当天 当天后面不管用多少流量就不敢 
您好很高兴为您服务 嗯嗯就是这个月的话加呃大概还需要多少呀有七十兆的还有一百多兆的两百兆的两百多兆七百兆的 对到现在看这样的话就是扣十一块八毛四 好吧啊密码知道吗 
您好很高兴为您服务 呃当月的话您可以呃您已经加过一个二十一点五g的呃然后之后就只能在按天折算的流量可选包了 按天折算的看您还需要多少兆 对的您大概还需要多少兆到这个月底还有十三天大概还需要多少兆 
好很高兴为您服务唉你好 是说想要办过移动宽带吗还是已经办好移动宽带了 那你可以帮您下安装宽带地址报一下我先给您查一下您这边能不能装可以装多少兆的上哪个是的嘉定区找刘翔镇什么路 在吗不是您要具体地址报给我先生您说什么路啊多少弄几号几零几到说没有什么路啊有什么村路多少号几零几这种状态 
您好兴为您服务 呃是当月使用了吗还是下月开始使用呢 当月对吧但是呢有一个是三十块钱五百兆的流量包然后现在办搞活动再送五百兆就等于说三十元一千兆 三十块钱比以前账单月底 
很高兴为您服务 帮您说的是哪里办的套餐 不是你知道的是我们那个四g飞享套餐吗八块钱一个月的送的 是飞享套餐八块钱一个月已经下线了这种套餐现在没有了 
高兴为您服务 五十元两g那您要换月租的了您要把您十六元的套餐取消掉 这是月租不是单纯的一个流量包 预付款就是一个g的话月租才会有预付费后付费形式 
您好很高兴为您服务 过来帮您转接到宽带专席您问一下 
您好很高兴为您服务 套餐的 那您现在是要改套餐那个呃不需要改造不需要改套餐就是 其它的订购 
您好兴为您服务您好 您好 听不太清楚信号一点吗啊现在可以了我外面费 请问移动啊 
卡放家里找找毛病用身份证名下二十喂你好 您好您好您说是这样的你们移动公司开个小王卡那个呃那个小小小模卡是怎么推出的呢编辑只想办这个小卡的套餐是吗就是说我我以前也是移动用户 我还有另外一个手机我就意思说这个小模卡是怎么办理的是怎么什么卡的话目前需要新办一张手机卡然后他月租的话就每个月八块钱新办一张手机卡 不能办理的然后吗如果能办这种套餐的话因为我们现在系统还在进行改造当中预计的话可以在明年四月底前可以是是老用户转入现在暂时不行 
您好兴您服务您好 请稍等一下呃噢那目前的话您这边订的是那个腾讯视频达到三十个g的 就您这个店的一个电信视频流量包三十个g的流量 对他之前是免费我们大概会在充一笔那个二十四元的专款打到您卡内的 
您好请讲 套餐更改 您要换套餐是吧 分享出来不打电话比较多 
您好很高兴为您服务 您好 送流量是吧 有的就是像您现在这个八十八的飞享套餐通话时间不变的话每个月多十块钱改成九十八的四g自选套餐通话时间还是两百二十分钟流量就包有两个g而且现在是有优惠每个月再送您两个g的国内流量送到明年的六月份 
您好很高兴为您服务 这个来电的号码套餐对吧我看一下啊对对对对对对对这个来电号码是这样的小姐您现在用的是那个集团优惠比较套餐基本月租是三十块钱 包含的第一个是全国接听免费因为九月一号开始取消国内漫游全国接听免费第二个是您打电话可以打二百五十分钟全国都可以的超出是一毛钱一分钟 就包含这两个工 
您是一个十八元的四g飞享套餐包含一百兆的流量打电话一毛九一分钟接听免费 在系统的 感谢还有什么帮您吗 如果您对我的服务满意十分评价祝您生活愉快再见 
您好很高兴为您服务 唉您说 那您要开国际漫游的 那您开好国际漫游之后您这个手机带到国外就能正常用了 
高兴您服务 十八块吗 有有有的 对五十分钟然后五百兆流量 
您好很高兴为您服务 流量当月使用了对吧 有的大概需要多少流量呢 噢那个是一个活动就是改套餐的下个月生效然后套餐里的自选包自选流量五十块钱对下个月生效当月不不能生效的 
您好很高兴为您服务 对 但是因为现在是九月十一号开通了一个三十天的国际漫游这个国际漫游是到十月十号晚上结束 结束吧也不需要提前结束您在国内就是按照国内资费收的就七百 
您好很高兴为您服务 那个有是有但是用户套餐流量需要一百元以上套餐才能 不限量套餐是有这个服务但是它有个前提要求就您现在套餐必须要大于一百元以上的自选套餐一百元流量或者是一百暂时八的飞享套餐 不能办不符合条件 
您好兴为您服务您好 为您申请 是发给您发短信是吗 其他问题 
好很高兴为您服务 这样就是您的话可以是申请一个免费的流量就发短信北诶这三个发送到幺零零八六然后根据回复给您的短信确认一下那本月可以免费领取三个g的上海本地流量用到本月月底就只能是在上海用 对免费的 因为您下个月改过套餐了可以参加一个是流量卡狂欢的优惠活动的话就您本月可以免费申请的 
高兴为您服务 喂你好 噢这边加流量要办理的话非本机状态密码的好的密码知道吗 好的请输入好密码成功我看了下您的状态您要加流量选项不多就两种一种是加油包加油包十块一百兆这个您也不用办了您安心包的另外一种是三十元千兆加油包就这两个 
您好很高兴为您服务 二十八元 呃都有的就是在您需要多少流量多少通话分钟您是要流量包还是要通话时间多呢 好的那八十八块有两个g流量还有五十分钟通话时间二十八块一个月 
您好很高兴为您服务 加一个流量包就是二十元加一点五g的您可以说这个包二十四二十元一点三个g 就报不了优惠一点 国内不对我看一下您这个套餐对应的是噢这个订的便宜一点最主要十块钱就可以了十块钱可以给一点三g 
您好很高兴为您服务 上网和电视信号都有的话是这样的你要办我们小区首先我们移动的光纤宽带如果你办个五十兆以上的宽带他会送你一个小盒子就像魔就像外面的小米盒子一样如果你家里有电视机这个小米盒子可以的时间安装之后就可以开心电视或者电影频道服务 那你把这边可以你把这边门牌地址报一下我查一下有没有线路能不能装小姐 你把那个地址报一下上海什么区的请问一下 
很高兴为您服务 别的手机什么 嗯 发给别人什么我听不懂 
您好您好很高兴为您服务 您这手机号码 稍等一下 啊您好先生感谢耐心等待我看您这手机号码的话是三十八块钱套餐这个套餐的话是没有漫游费用 
您好很高兴为您服务 您到月底还需要多少兆呢 好的一个g左右那这边我就帮您选择是帮您选择是一百块三g折算下来这个月不足一个月到月底总共收您二十六块三毛二给到您八百零七兆可以吧 不够啊那再发你往上提档上个月档是收您三四块一毛六一千零七七兆 
您好很高兴为您服务 就当月用的对吧 在用的话我看一下这个月大概加多少一个g多购吗因为一千五百兆的 你现目前的流量里面是办自选套餐自选套餐流量是价值五十块一个g的那他有活动送了一个本地流量一个月一个g的夜间流量的送到明年六月份之前之前套餐里来办的 
很高兴为您服务 宽带 我看到您有办理过移动宽带的这边我帮您转接一下宽带部门好吧没有我说看到业务上有宽带业务然后帮您转接一下这边宽带的部门好吧 
您好很高兴很高兴为您服务 升级套餐了您要上网就要先到下个月生效然后它有送流量呢比如说那个 什么状态这看您说你要不要通话时间不要通话时间的话就比如说您现在是三十八块钱一个月每月给您五百兆流量不是通话时间的如果你还是不要通话时间那你可以把流量升级到两个g然后到明年六月底之前每个月赠送您两个g让他不要通话时间的话那就是五十八块钱一个月您现在一个月多少十块钱 对的然后到明年六月底之前每个月再送您两个g如果要是那个套餐的话 
为您服务 科技助老卡对吗先生 开始高科技说好这个服务已经下线停止办理没有了 老的话那个存量用户如果你不转出还是可以继续使用下去 
您好兴您服务 五十八元四g飞享套餐 四十八三十八的不够的话您的号码现在改不了之前有参加过活动每个月消费必须达到五十八比如说您必须办理五十八元以上档次套餐不能降低 不是以后您这个活动的话它有结束时间 
您好很高兴为您服务 优惠流量 流量主要是根据需要来的如果您每个月都要的话您可以把套餐改一下改成您需要流量就可以嗯 嗯加二十块吗三十八的等于改到三十八三十八现在改的话有活动本身三十八可以改到一个g全国流量活动还能再送一个g本地流量送到一八年年所以是两个g就这样改 
您好高兴为您服务您好 全我看嗯手机短消息上面 但是小没卡如果用您这个号码去办的话它要换一个号码呢就是说是您可能会要办第二张没卡才换个号就说他会给您新增一个号码 那么就是重新办一张新卡 
您好很高兴为您服务 噢 噢 请问魏先生您哪个号码 
您好很高兴服务 八十八的话它里面是二百分钟通话七百兆流量全国接听免费打国内电话一毛九一分钟 可以的您要改什么套餐 不能那么打电话流量用的也不多是吗 
为您服务您好 魔板唉对对魔法盒那个 申请的时候这边呢就是办理宽带申请的时候要求您要求工作人员直接给您办上去这个业务就行了就办宽带的时候一起办掉 然后的话每个月需要看一次这个您不要忘了但你要使用的 
好很高兴为您 你好 啊生那没事您需要多少流量能把流量改多一点 那个是怎么申请的呢无限用啊 
您好很高兴为您服务 可以呃请问您本机密码知道吗六位数 请您根据语音提示输入密码 嗯您好那我就帮您办好了啊到那个九月一号生效资费都清楚吗 
您好高兴您服务 请讲 你看这个短信而且我们有个承诺消费送宽带活动要么您把您地址报一下我看一下有没有资源安装 恩 
您好很高兴为您服务 啊您好请说 五块钱三百兆 噢那个那个是要搜索到那个中国移动一个wifi热点才能用的他不是通用流量您只要能搜索到cmcc或者cmcc大不了一句就可以用搜索不到就不能用 
很高兴为您服务 您现在目前套餐是一百一十八的五百分钟通话流量五百兆还有一个三块钱来电提醒然后那个承诺消费最低一百二十八块钱返话费的活动没到期其他没有什么业务 办更高一点有的您大概需要您是流量不够还是什么 通话不够是吧 
您好很高兴为您服务 新装宽带呀那要看您的地方能装多少兆的您是什么地址呢 彩宾二村啊噢几号几零几 我知道您没装过您是几号楼 
您好很高兴为您服务喂你好您说 不想用那个现在有活动的发票你帮我一百兆多少八百四换一百兆立刻生效的呀 啊月底就清零了 能换一百一百的那个对是一百兆八百四十分换一百兆呀 
您好很高兴您服务 噢好的首先您要办的话要看地址有没有资源地址报 张文龙几号楼几零几室 去哪个区呢 
您好很高兴为您服务 就是我在app上看到有一个六十元半年的是 这种套餐您只能办理六个g的六十块钱六个g的 嗯对您也可以选择我们现在还有个任我翻的一个活动就再您这个基础套餐上面可以叠加十块钱给您有一点三g您也可以办这个呀 
您好很高兴为您服务喂你好这样我想 国内漫游包是吧这个套餐已经没有了 现在没有国内漫游包 嗯对的 
您好很高兴为您服务再见 呃看因为我看流量包要开的话费里面看视频可以抵扣那个直播都不能看的还有一些不能开的东西 不是微信视频呀订的是ip的就在爱奇艺里面看视频包括电视剧电影都可以的但是里面的广告还有别人的大木评论的先生不抵扣的啊 唉对的开安心里面视频在线 
您好请讲 光猫嘛 都你看那个泡灯有没有在两电源灯 对谢谢 
