诶你好 呃请说 哎你好诶我像我这个手机如果是在跨地区一分钟是多少钱呐打 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
您好高兴为您服务 呃喂你好我想问一下那个短信二十四块每个月就是那个什么视频的三十个g这个要钱吗 二十元的话它目前是没有收钱的就半年底优惠到年底从明天开始收费如果您明天不用的话今年十二月份来电取消就行了 呃十二月底取消就可以了是吧 
您好很高兴您服务啊 喂兆 您好请讲 就是我昨天办了一个业务就是最低消费每月一百五十八关了呃办那个宽带我想问一下就是我每月只要满一百五十八那个宽带就不用另交钱了嘛每月 
您好很高兴为您服务 哎你好我想问一下哈就是我现在我这个号码是上海的然后我现在山东然后我想这个月就流量不够了我想买一点就是怎么合适呀 那您到月底大概还需要多少 噢就是不看视频只是发一些资料什么的就是你们有多少钱呢 
您好请说喂你好 那个我想问一下呃那个九月一号不是说那个打长途是按照市话收费我想问一下市话现在是多少钱一分钟啊 您这个是亲情套餐一毛钱一分钟 那就是打外地的话也是一毛九一分钟 
您好很高兴为您服务 唉你好我这个号就是十八元套餐那个在外地打电话现在多少钱一分钟啊 一毛九一分钟 现在没有长途三毛五一分钟 
您好很高兴为您服务 喂你好嗯嗯我想问一下我如果是换成三十八块钱的套餐是这样子的 三十八套餐是什么样子吗 噢 
为您服务 唉小姐我问一下我早上的办了这个三十八块下个月套餐我想问这个你给我看看我老年人不懂啊就是打电话还还能打吧免费的好吧 电话通话时间没有的打打一分钟是一毛九的没有送的 噢电话不送啊 
您好很高兴为您服务喂你好我想请问一下我看你们那个有自选套餐嘛你们现在里面有一个是三十元一g的是多久 那他就是内容就是一点怎么加拨九十 就是说它这个我看他是优惠活动吗它会持续多久还是会在确认他只是变成五百兆了 没有没有我知道它本身的卡档次套餐内容就到一个g的不会再以后要改内容以后再说它本身就一个g并且您还有现在还有活动您目前状态改到一个g还能再送一个g本地流量加三个g本地咪咕视频流量送到一八年六月份 
您好高兴为您服务您好 唉你好是这样子的我的手机号码幺三五零幺八幺三五七六是这样我爸爸是每个月八十八块钱的套餐我想问一声这八十八块钱的套餐里面包含了些什么东西 家庭成员互打免费然后有两百分钟的通话时间然后这边的话是共享或者图像那可能您在设置的时候的话这个您要我帮您看过了您这边是独享的也就是说是您前面那个号码是自己一个人用两百分钟然后另外的话是包含有线电视费 包含有线电视费那我想问一下那那个宽带的话钱的取消了是吗 
您好很高兴为您服务 你好我问一下我的那个月租多少钱的套餐 您月租费的话是一百零八块钱一个月三百分钟通话时间两个g的流量 两两个g那个本地的还是国内的 
您好很高兴服务 帮我查一下我上个月的那个升级的套餐下个月就转回要多少钱啊 好身份是两百六十八一个月通话时间一千分钟流量是给您五个g然后在活动送您五百是一个十个 刚才怎么信息刚增加一百块钱费用 
您好很高兴为您服务我想问一下现在那个九月份开始那个手机打电话都是一毛钱是吧 那套餐算的套餐是多少兆多少您现在套餐是一毛九的 我说我几分钟我家里我另外还有一个电话是一 其他号码的套餐 
很高兴为您服务 喂你好我想查一下我的那个流量套餐现在是什么情况每个月交多少钱或者多少数据流量多少语音话费流量 现在换了一个套餐啊是呃一百分钟通话时间五个g的全国流量再送五个g的全国流量一共有十个g啊下个月 噢每个月话费是多少 
您好很高兴为您服务 我想查询两张四g上网卡里面的套餐内容 手机号码您先报一下 我不是手机号码我是上网卡 
您好很高兴为您服务您好唉请讲 我想我这个套餐的流量是多少 呃您套餐订的流量是五十八元飞享嘛里面是包含五百兆的流量无法长 噢但是国通用流量 
好好 您好很高兴为您服务 唉你好 您好 
您好很高兴为您服务 喂你好就是我现在那个月租是多少钱一个月 所以您您来电这个号码是联通的您打幺零零幺零四 幺幺零幺零二 
您好很高兴为您服务 但我前面不想去弄了一个东西就是什么留言的是不是要收钱 那您是是用的什么苹果手机吗 对的 
为您服务 啊我你好你好问一下那个长长途是怎么算的 您打长途话一毛九一分钟 一毛九月份那我现在我这张卡它是上海卡我现在在广州恩对然后就是算打电话的话算长途还是算什么 
对您好很高兴为您服务 哎你好我想咨询一下那个老人卡它那个不是接听免费吗那么如果在外地的话那个接电话是不是也是免费的也是免费的噢那就在外地的话就是我我打给他他接电话不要钱的是吧对的好的那谢谢啊 感谢还有什么帮您吗 那其他没有了谢谢我就问了 
您好很高兴服务 喂你好我想麻烦你帮我查一下我月租是多少钱呢 月租费八十八元还有个ip还是腾讯视频流量二十四块那个是一号是帮您减免 同样这个流量不是不要钱的吗 
您好很高兴服务唉你好呃行那那我这边的一个流量和套餐的费用是一个什么样的情况 您下个月改的是一百五十八套餐呀下个月还是这个价格就是免费申请了一下有五百分钟通话三个g的流量再送三个g 送三个 对跟以前加一样就流量多了 
嗯嗯您好兴为您服务 唉你好稍等我在你们这个营业厅上面看到一个什么二百三十八那个全国免流量的那个套餐吗然后 呃我想问一下就是 它上面有一个五百分钟的通话时间如果超过五百分钟通话时间就是按零点一毛九分钱一分钟吗 
高兴您服务 哎呃不好意思您这个宽带是吧 唉是的 唉我先帮我加了你要问一下询问一下因为宽带的那个业务是这样他原来用的是那个就是你们是呃六百不到一点就是六百块钱一年的那个五十兆的那个呃宽带的业务然后呢他好像证它因为上个月还是这个月大概这个时间啊正好是一年的年期到了那么联系到他那个副副完了宽带费的话那现在他好像他宽带还能用那么他想问问他现在的资费是怎样付的是按照月结呢还是自动又是一年了然后这个钱是怎么扣的我要问清楚一下 
好很高兴为您服务 你好我想咨询一下我这个唉嗯这个卡的那个流量是吧我想在上海他一块钱五佰兆我想这几天我想有一点事回老家我想想它那个流量是怎么算的呢 噢您这个号码去外地用流量的话是按照两毛九一兆六十块一个g来收费您如果去外地要用的话您可以另外买点流量用这样比较便宜 噢是这样的是吧 
您好很高兴为您服务哎你好我想问一下就是呃家庭就是我现在有个套餐嘛家庭成员之间互打电话是不收费的吗那如果有成员是在外地的话我们之前互相打电话是也是免费的吗 在上海号码打它是免费的就是他在外地还是要收费 就是说他如果在外地我打他的电话他收费吗 他接听免费您这边拨打也 
您好很高兴为您服务 喂你好请说哎请问下现在打长途呃这个打那个长途电话现在全部是免费的吗呃全部是呃取消的话那也得长途电话费 等打一分钟一毛九接听免费国内都一样 噢 
您好很高兴为您服务 喂你好我想请咨询一下就是说我这个号如果是用打那个中国电信的话收费吗 把中国电信你说打中国电信客服吗还是一般电话 嗯中国电信一万号 
您好很高兴为您服务 喂你好 你好 我想问一下我这个套餐外的话费是多少一分钟 
喂先生您好喂你好就是我想问一下 是从九月份开始不是已经没有那个长途那个漫游了吗 恩对喂请说 就是那个为什么我这个里面有个那个那么长漫定向优惠包充充给个时间就开始就是一直都取消不了呀 
您好很高兴为您服务 唉你好就是我想请问一下现在就说没有那个漫游费了是吧 对是的取消漫游长途 不不需要申请了是吧 
您好很高兴为您服务 哎你好我想在家里那个网站多少钱移动的那个杜专线 噢你是想办理一个家庭宽带吗 啊对 
您好很高兴为您服务 解决流量喂您好我想问一下我是日本想办理漫游的话不收费的 好的它国际漫游是没有功能费的看到您已经开通过了呃然后那个在日本打回中国大陆是两块九毛九一分钟接听是一块九毛九一分钟然后短信发回中国大陆是六毛九一条呃接收免费上网是每天三元包三兆每天最多扣三十块 噢 
为您服务您好 喂你好呃我看到那个我小区里面有有有人你们呃那个移动安装那个网络广州的那个你们那个员工后来我问了想咨询一下就是说现在小区里面 点移动 家庭的宽带是免费的吗 
高兴为您服务 唉喂你好呃我想麻烦你帮我查一下就是我这个号码现在呃每个月的那个就是套餐是是多少钱的套餐我这个应该是一百一百零八的好像 八十八的 八十八的是吗 
您好兴您服务 哎你好我想问一下那个嗯十六元的那个神州行啊叠加呃一个订购过全国漫游包那现在你们不是取消长途漫游费了吗那我现在就是如果说是这个这个漫游资费是怎么收取的呢 请问一下是哪个号码 嗯幺幺三五零幺七五三三六三 
宽带 您好很高兴为您服务 唉你好 嗯您好请说 
高兴为您服务 唉你好我我昨天是这个十八元的那个套餐啊 嗯 七十八元套餐它是免费接听的一毛八一毛八一呃一毛九一分钟对吧 
很高兴为您服务 哎你好就是说我想咨询一下就是说我想我想办理一下那个一g的物联网卡就是移动的这个需要多少钱 物联卡我联卡是那个另外一个专席我帮您转到我们专席您问一下 噢好的对的然后您转接一下我再我再咨询下因为我我这个手机那个好像有一个什么开通什么什么一区有一题什么那么电话功能啥东西 
您好很高兴您服务 唉你好唉谢谢啊你我这个现在套餐是呃我想问一下套餐这个流量费应该是多少谢谢 你现在一个一百三十八的套餐包含一个g的国内流量另外每个月赠送您一个g的上海本地流量一个g的国内夜间流量 呃国内那现在是我用了多少这个剩余还有多少流量 
您好很高兴为您服务 我想问一下就是说如果那个流量就是不受限制的流量一个月要交多少钱的无限量的 不限量的是吧不现在是本地的 噢要到外地去还是要见谅 
为您服务电话 喂你好我想问一下刚才那邮箱这个手机号码一共多少钱呢工号 套餐的话目前六十八块钱每个月 六十八呀 
您好高兴为您服务 对呀下个月我的套餐换那个接听是免费的对吧 恩是的 这个是免费的对吧对那我还有一个号码就是现在我打就是美国我前面我要就想取消掉了我幺七九五幺也可以的对吧 
您好很高兴为您服务喂你好 你好您说 啊好麻烦你我的这个也就我自己一百二十八是吧 嗯对的 
您好很高兴为您服务对 你好我想咨询一下我这个手机号码就是所有的集团的这个用户啊 恩 在上海打外地的手机号呃费用怎么算的 
您好很高兴为您服务 呃喂你好我我想问一下你们这边的话宽带范围服务办理的话是怎么样的一个收费的 宽带的话是有承诺每个月最低消费免费送宽带就承诺个人消费达到八十八块钱免费送 免费送她她她她这个送的话是多少弄呢 
您好很高兴为您服务 喂你好呀唉我想问一下我现在这个手机啊这个手机的那个那个漫游有没有就是外地的长途电话不想换 呃您这号码已经是十八块的四g套餐了没有漫游费的就是全国免接听啊这些都是一毛九一分钟 就是全国免免接听的对吧 
哎您好很高兴为您服务 呃您好我这边是属于企业的然后呃是需要安装那个移动的宽带然后五十兆的这个费用的话是三九八零这个套餐对吗 呃呃你说是企业的商务宽带的商务楼的 对对对是的商务楼的 
您好很高兴为您服务 唉你好小姐哎我想问一下就是就是手机上面来批以后它上面不是有那个热线一条是吧就是说二十块钱是千五百兆流量谢谢 恩对的任我翻但是您要改成飞享套餐才会才可以办您现在是四g上网把这个版本是不可以办的 噢是这样 
您好很高兴为您服务唉你好我咨询一下就是如果是呃出国然后半个国际漫游的话这个费用大概是多少钱 他没有功能费的您是需要哪个国家呢去瑞典然后先开通国际漫游国际漫游没有功能费不使用是不收的 然后是 再订那他不会产生任何资费然后您是瑞典对吗然后人到了一点那边呢上网的话是三块钱三兆这样子不使用使用最多是三十块钱一天无限流量的然后那边打电话资费还有必要提醒我会发到您手机的稍后您可以看一下三十块钱一天的那个流量是无限的对不用不收用的话就三块钱三兆这样子如果没有用到三十按用多少算多少收如果当天费用累计到三十费用就帮您封顶了不会再多当天流量是无限用是这样最多三十块钱多少钱 
您好很高兴为您服务 喂你好我问一下我那个设置那个套餐是多少每个月八块钱的 八块钱的 唉那个打打打电话是怎么打 
您好很高兴为您服务 呃你好我问一下那个就是手机在日本漫游多少钱 呃那个漫游就是打打接电话的资费是吧 二幺打电话资费还有 
很高兴为您服务啊没哎 感谢充值的现在因为每个费用通话喂你好啊您好请说我想问一下你们那个安宽带是多少钱一 移动宽带是吧对对好的之后我要帮您转接到宽带专席您详细咨询一下好吧好您稍等不要挂机将近大概喂小姐稍等一下帮您转接到专席 
您好很高兴为您服务 哎你好我想问一下就是说公司想要装一个移动的宽带加电话的费用是多少 公司呃那首先您把这边的地址报一下查一下有没有线路啊我这边是 国权路三十一号 
好吧好的 您好很高兴为您 我想你我也不知道什么时候呢 那种流量套餐十八块钱一百兆流量国内流量九月份开始再见账户 
您好很高兴服务 哎你好我想问一下你这里有一个什么九十八就是办两g送两g那个套餐还有没有 有的有一百分钟通话两个g的流量打国内电话一毛九一分钟流量超出两毛九一兆在数据两个g的本地流量一个g的夜间流量 九十八 
很高兴服务 喂你好我想问一下我这个听得到吗 听得到 唉我现在手机套餐是多少钱一个月的 
好很高兴为您服务 等一下嗯我想我想问一下那个套餐什么套餐呢都是啥 就是问我您现在什么套餐是吧 话费 
银行卡绑定我 唉你好那个我想问一下就是我现在这个手机里面的流量到底有多少 流量您目前是五个g啊每 每个月五个g对吧五个g是怎么构成的 
您好很高兴为您服务 唉小姐你好刚才你们那个移动公司里面发了一个系统里面发了一个短信八块八块钱来用八千一百八十兆对吧 对有的有这样一个活动但是的话就是要在京东或者是说您的那个上面进行订购的它只能用七天七天里面如果你用不完的话它就自动取消可以可以那也可以你帮我订个八十八八十八块钱的不好意思先生不是我帮您定是您要根据它的那个订购方式来进行订一个是登录京东app一个是那个在说您的pp上面订这个它不是我们人工定的先生我们人工定不了你们系统里面能不能帮我订一下我我做不了先生我系统里面也不行吧公司我们个么对我们根本做不了先生 好好好谢谢没事 
您好很高兴为您服务 喂你好我想了解一下咱们现在这一个啊移动宽带一年大概是多少钱呀 移动宽带一年最低二十兆七百六十块钱现在办一年送两百元的话费 现在多多少钱没听清楚 
兴服务 唉你好唉我就想问一下我这个手机的那个号码那个主叫有那个显示是收费的吗 直接显示是免费送的他会帮您等了费用减掉的不收钱 噢呃好像我这个有那个来电等待是吧 
您好兴为您服务 唉我问一下我这个手机是多少钱一个哎一一个月的 套餐八十八块八十八 二十八块的 
您好很高兴为您服务 唉你好小姐我这个电话啊三十来电上机费用 呃您这号码要改成那种全国免接听的套餐是吧 对对对就是我就来电放心吧还有一个好像我这个月消费什么一个二十元的包月的那个对吧是吧 
您好很高兴为您服务 噢我想问一下中国移动的宽带大概是一年的话大概是多少钱 呃一年的话我们有二十兆和五十兆的嘛但是具体的资费小姐你可以把地址报一下我查一下对应的价格 嗯噢噢嗯就是按地址来来算的是吧 
您好很高兴为您服务唉你好那个我想咨询一下那个现在那个互转的话是多少钱费用怎么出来 互转 就就是是我手机马上就转到另外一个手机上 嗯呼叫转移对吧 
您好很高兴为您服务 唉喂你好我想问一下你 那你帮我 那个宽带是有一个消费月租的呀 
您好很高兴为您服务 喂你好 唉你好 我我问一下这个上海这边移动宽带的话就是资费是什么样的 
您好兴为您服务 唉小姐日本的漫游嗯就是网上这样子是怎么样收费的 嗯恩漫游的话已经开通好了在当地如果打电话的话回大陆两块九毛九一分钟接听还有拨当地一块九毛九一分钟上网的话流量按照三块钱三兆计费的一天用到三十块流量是不封顶的因为有些套餐 更高按港澳电地区一样的老师哦 
您好很高兴为您服务 你好我想问一下我这个就是一个月八十八块钱就是多少钱的那个通话的通话呀是吧嗯 八十八是两百二十分钟通话七百兆流量 七百兆流量是吧 
您好请讲 喂你好我想咨询一下就是的多终端流量共享功能包的 恩 十元每月的四元这边每一个号码比如说我开通一个号码共享的十块钱两个号码是二十块钱一个月嘛 
它是有人他那边您好很高兴为您服务 哎我想问一下刚刚我就是是移动公司新办理了一个号码就是然后我收到短信就是是注意的就是呃说我这个这个新的这个号码的话这个流量分享的话他们要要十块钱的月租的我的主号码分享给副号码流量的它要月租费的 这是一个功能呀功能的话是十块钱一个月您这边是有个宽带的我看一下宽带有没有赠送稍等 宽带是赠送的就是消费一百二十八呀是吧 
噢 您好很高兴为您服务 喂你好 喂你好 
很高兴为您服务 哎你好我想请问一下我一个月扣多少钱一张 这个消费一百零八块 噢我现在扣掉了嘛就 
很高兴为您服务 你好我刚才幺八二二幺八的这个手机上的业务你帮我看一下喂 手机号码 幺八二 
很高兴为您服务 喂你好 有什么可以帮您先生 哎我想问一下就是哎呀我我这手机号查一下是幺三六幺 
您好很高兴为您服务 唉你好我那个每个月流量都超出很多上个月用的六千多兆 我现在改套餐行吗嗯可以的您要改什么套餐呢 您帮我推荐一下 
您好很高兴为您服务 我想问一下我这个套餐现在打打一分钟的市内电话资费是多少 呃都是一毛九一分钟 一毛九一分钟那我现在我这个套餐是不没有那个语音恩包的对吧二百分钟十分钟的对吧 
您好很高兴为您服务唉你好呃我想问一下就是我刚刚就是办理了一个什么那个呃新版流量至尊包的一个他说功能费一百元月什么意思啊 就这个业务的话原价是一百元一个月的每月给您十g的本地流量活动今天还每个月送啦呃三十g的本地流量就是一个我想那个业务 就另外加了一个一百元的一个业务对吧 对是的 
您好很高兴为您服务 是这样的我十一号左右再那个台湾是转机带一天有没有短期的那个服务呃优惠服务啊 短期的优惠服务 对对就待一天对 
您好很高兴为您服务喂您好 那我咨询一下我办理了那个什么家庭网如果是一个人到外地去了我打过去不要收费呢 呃您是说您在上海打到外地吗 嗯嗯 
您好很高兴为您服务 呃您好 我想咨询一下就是 我如果 
效 您好很高兴为您服务 喂你好我想问一下那个新装宽带一年要多少钱啊 是上海移动的吗先生 
嗯 您好很高兴服务 喂你好是上海移动是吗 对上海移动 
您好请讲 呃我想问一下我想申请流量的话下个月生效现在流量的话怎么怎么核算 那您要申请多少兆流量请问 哎我想申请流量呀十块钱的话多少流量 
很高兴为您服务 你好我问一下我现在月租是多少钱呢 月租八十八流量七十一共一百五十八 呃现在可以帮我改一下吗 
您好兴为您服务 现在这钱我这个我这种卡最便宜的套餐是多少钱 月租啊月租的话最少最少最少十八的也是四g套餐全球通的十八 嗯嗯没有分钟数没有人 
很高兴为您服务 唉你好我现在问一下我这个套餐除了我这个套餐之后再升级还有其他什么套餐 嗯就是流量不够是吧 本不是流量电话费就通话不够 
您好请请讲 请问一下我这个套餐是多少的 套餐您目前使用的是十八块一个月一百兆流量别的没有 时间没有是吧网那个乱七八糟的没有啊 
您好很高兴为您服务 唉你好我要把我想开通一个那个啥流量流量包 只开这个月还是以后每个月都要 噢就先开通就这个月吧 
嗯您好很高兴为您服务 唉你好我我今天准备到那个和那个这个国外打电话有什么优惠吗 您是去哪个国家 七百五 
诶应该呃 您好很高兴服务 哎哎你好我想问一下就是我刚才就是开通了一个新的号码就是我刚买了一个卡是那个什么呃看视频任我看视频流量九元档的那个卡呃我现在开通了以后呃他那个应该是说是用一天的话是会产生呃就就一块钱五百兆的流量对吧 您是哪个号码呀我帮您看一下您先帮我查一下 
您好很高兴为您服务 你好帮我看一下帮我看一下这个手机的流量套餐是多少钱的 您现在这个号码目前是一百分钟通话和五百兆流量的 就是月租是多少 
您好很高兴为您服务 你好我这个号码是到月底的时候会扣一个那个宽带就是我这个号码是绑在那个家庭套餐里面的 谢谢你 呃平常的话不是那个消费了等我想就刚刚我咨询过他们是说在我的这个手机号码自己把那个宽带费用充进去就可以扣的您这边能帮我看一下是扣多少钱呢 
喂您好上海移动客服代表工号幺零六五九您现在接电话是免费的啊您好女士不好意思打扰一下这边的话是给您来电反映下您之前所投诉的一个问题噢那这边的话我也是帮您有查询过那个之前我们员工是必须大于您说要帮您办理这个十八块钱套餐然后这个月先帮您生效的那么是只要我们查证下来的话的确没有帮您更改的嘛导致您这个月还是现在这个五十八块钱的一个费用那么女士您看这样好吧就是我这边的话帮您呃下个月的话改成十八块钱的一个套餐然后之后的话这个月的一个费用我这边帮您调整四十块钱的一个费用然后在这个月月底之前到账您看可以吗 嗯可以的 诶好的好的好的那这边帮您要更改套餐的话需要审核一下资料呢您这边的话手机密码知道吗 呃我知道的 
您好很高兴服务 哎你好我想知道那个流量 涛到月底的话您大概需要加多少流量 你这边有一个是加 
为您服务 喂你好 唉您说 帮我我想问一下我这个上海的号码在外地的话是所有电话 
您好很高兴为您服务 噢你好我就我想咨询一下如果就是前面给我是漫游包是有什么推荐的国际漫游是吧 段 啊 
您好很高兴为您服务 喂我问一下我这个 我大概不客气不客气哦哦 啊麻烦 
您好很高兴为您服务 喂你好唉我我我麻烦你帮我查一下就是我这个手机啊办过一次宽带这个宽带呢有没有产生其它的什么费用你帮我查一下 他的费用 对因为我我我我前面嗯是五月份还是六月份就突然间费用超出了就是我平常所用的这个费用 
您好很高兴服务 想问一下就我这个打电话超出多少钱一分钟 一毛九一分钟同一下 一毛九一分钟上海打外地都是什么一个加好的谢谢啊 
您好很高兴为您服务 喂你好我想问一下就是说那个套餐现在最低月费是多少呀 全球通最低是十八块钱的一百兆流量国内主叫一毛九一分钟全国接听免费 噢还有别的吗 
您好很高兴为您服务 所以我想问一下现在就是到境外去那个总共用用流量的话是一天最高封顶三十五啊 是每个国家了每个国家不一样的 捷克 
您好很高兴为您服务 拜拜喂你好我麻烦问一下嗯这个现在最最便宜的手机卡是什么样的 最便宜的最低的月租是十八块钱一个月的里面是包含了一百兆流量国内主叫一毛九一分钟全国接听免费的 呃流量不要呢就就就给小孩用的 
您好很高兴为您服务 唉小姐我想问一下我这个手机不是那个套餐里面的流量用完了嘛如果不够的话现在有什么划算的就是当月可以加流量的那种的 嗯您要流量多一点还是少一点的 无所谓吧小孩子用吧那那就是比比较他就出去两天用的帐单你有什么比较划算了转出去 
您好很高兴为您服务 唉你好我问一下我因为我想我就是今天去澳门嘛然后我想开通一下澳门的那个漫游包就是怎么计费的 漫游包国际漫游开通然后开通国际漫游它是没有功能费的只有使用费不使用它不收的然后到澳门那边呢上网是三块钱三兆这样子不使用不收费使用最高是三十块钱一天无限流量然后打电话资费就是还有必要提醒我发到您手机的稍后您可以看一下好吗 噢也就需要开通吗嗯我那个呃你现在能帮我开通吧直接帮我开通好吧 
您好很高兴为您服务喂你好问一下我那个手机啊那个我想请你帮我查一下套餐是多少 这个套餐本地是一百五十八的每月五百分钟通话然后两g流量还有一个三块钱来电提醒业务 三块钱的什么 来电提醒就是关机专线不在服务区对收到那个短消息提醒 
您好很高兴为您服务 我想问一下我这个套餐好像一个月是多少钱呢一定要查一下 九十八的呀 就说我现在改掉申请改小一点加一百三十八五十八都可以 
服务 喂你好 请说 我想问一下现在这个套餐的话最少的套餐是多少钱一分钟多少钱的套餐 
您好很高兴服务 唉你好就是我那个十九号加了一个就是流量包现在已经用完用完之后的话太清楚我是这样的 用完之后的话您这边可以额外加再加流量包流量包当月的话都是按天折算的就算下来有两百多兆五百多兆八百多兆的都有 按天结算怎么算 
您好很高兴为您服务你好我想问一下我现在手机套餐是多少钱一个月的 套餐套餐的话您是四十八的五十分钟五百兆流量的超出打电话一毛九一分钟全国接听免费的就这一个 噢那你可以帮我看看我现在话费消费是五十九是吧多出来的钱是消费在哪一块啊 稍等一下主要是打电话上面的 
您好很高兴为您服务喂你好我想问一下就是那个移动的网络二十兆的一年是多少钱 二十兆的一年是七百六十块送两百的话费 呃七百六十后它是分那个电视什么的连在一块的是吧 嗯对是的 
您好很高兴为您服务 所以我想问一下现在就是到境外去那个总共用用流量的话是一天最高封顶三十五啊 是每个国家了每个国家不一样的 捷克 
您好很高兴为您服务嗯你你能帮我查查我现在那个套餐他们电话的话接听是免费的打的话是多少钱一分钟啊 打的话您有三百分钟免费的超出之后就一毛九一分钟 一毛九一分钟对吧那那个我接是免费的咯 对全国接听都是免费的 
您好很高兴为您服务 喂你好我想问一下就是我这个月流量用完了我想买流量但是那个从那个微信营业厅上说 只能下月开通稍等一下我现在二十块钱一点五g的您要吗啊那个二十块钱一点五g的是全国通用的吗 呃 
您好很高兴为您服务 唉你好 啊您说 唉我我想刚才不是你们发了一下这个老年卡不是我觉得这个套餐吗它就是刚刚下个月就上可以升级 
您好很高兴服务 你好我想申请一下流流量包怎么算 现在怎么申请的怎么算啊流量包的话有一个加二十块钱加两个g的流量月底清零呢就可以吗 二十元享一个g啊 
您好很高兴服务 唉你好那个芽庄的话我去越南的话开通国际漫游是一天三十块流量畅用的对吧 对是的 行那你帮我开一下吧就是我 
您好很高兴为您服务 唉小姐你好呀是这样的我一个手机手机号码是幺三五零幺八幺五四幺七吗他上个月我播放他用这个手机号码申请了你们移动的一个宽带因为现在呢好像发生一个有点费用的一个问题你帮我看看这个宽带是每年支付两百块是怎么样的 宽带费用问题是吧 唉你帮我看下费用就幺三五零幺八幺五四幺七 
您好很高兴为您服务 我这个套餐是五十八块钱包月的对吧 对啊五十八块钱一百分钟通话五百兆流量的 你能不能给它改为那个不是你们那个有个流量卡五十块钱有 
您好很高兴为您服务 哎你好我想问一下就是我要到东欧去的话就是德国这些地方去的话那个移动话费是多少钱 哪些国家 嗯德国奥地利匈牙利捷克 
为您服务 唉我问一下那个泰国的那个网费你们有吗 嗯您说泰国的一个流量套餐是吗 对 
您好很高兴为您服务 唉我麻烦问你问你现在就是这个办这个全球通包月的因为最低的是多少钱 十八块钱一个月一百兆流量国内主叫一毛九一分钟全国接听免费的 那那再多都是一毛九是吧 
很高兴为您服务 那你帮我看一下你们客服到底帮我七月一号改成一个是什么套餐我要我要知道一下你们帮我改错了但是这个错错的我也知道一下 嗯报一下手机号码 幺三七 
您好很高兴为您服务 你好小姐我问一下我这个套餐里面的语音通话流量用完之后然后话费是怎么来转 呃超出之后的流量是两毛九一兆的超出之后打电话是一毛九一分钟 一毛九一分钟 
您好很高兴为您服务 哎你好我想问一下就是呃到外地去我现在在上海嘛如果到外地到外地去有能不能呃有接听或者拨打的优惠 到外地去那您这手机的话因为现在是十六块钱神州行套餐吗在外地那就接听四毛钱一分钟拨打六毛钱每分钟是的而且现在这个全国漫游包这种服务的话已经下线了已经没有了 噢那那么有什么别的办法吗 
您好很高兴服务喂 你好 请讲 哎你你现我现在如果说幺二包包那个一个g的流量是大概要多少钱啊 
您好很高兴为您服务 唉你好 呃您好请讲 我就是那个就是宽带那个但是月底的话那个帮我看一下停的是装在哪个地方 
很高兴为您服务 呃我就是你们那个比方说我们先我不是上次有个投诉建议你要处理吗 嗯嗯是本机号码反馈的还是其他号码反馈的 呃不是不是不是啊我是上海号码 
吗 你好 谢谢啊 我想咨询一下我如果是到日本到时候短信那个丽姐我这个流量还有那个话费开一个那个费用怎么算你们告诉我一下 
您好请讲 哎你好唉我因为刚刚收到一个就是你们的一个短信说我那个套餐是不是我原来的那个套餐已经结束了嗯根据我的用量哎提议我就建议往就是升级四g套餐对吧嗯嗯那个叫四g套餐他现在给了我两个选择这个就是一百一十八的一个是说就一百二十八的嗯嗯嗯嗯那个两个嗯什么叫额外加送什么三g可以地址在转的什么 就是流量呀他的单词改 嗯嗯 
您好很高兴为您服务 唉喂你好是这样的我现在套餐是八十八的是吧然后八十八那个是就两g的流量然后五十分钟的国内通话 对是的 然后其他什么都没有了一个就是赠送的赠送的其他wifi对吧 
您好很高兴为您服务 啊喂你好啊 您好请说 他现在因为他交的话费 
您好很高兴为您服务 喂你好我想问一下我这个g的那个套餐是多少能查到吗八块钱吗 这个套餐本机的这个套餐八块钱一个月发过来是的 噢那我问一下我打长途多少钱一分钟啊 
您好很高兴为您服务 喂你好 你好唉 我想问一下就是说呃呃现在我办这个流量的话是不是有什么呃优惠啊 
很高兴为您服务您好很高兴为您服务 你好问一下我们这个彩铃是没有多少钱 呃彩铃的话是五块钱一个月的五块 好我现在去掉可以去掉吗 
您好很高兴为您服务请 喂你好 请说 你给我查一下刚才用的十六个十十六的流量是吧可以可以 
您好很高兴为您服务 唉你好是这样的就是我这个套餐那个要公司公司我们公司要办那个集团号业务吗那我这个套餐只有十块钱的他可以加那个套餐参加其它号的话要不要加额外的费用啊 机之后的话他月租费是十块钱但是是你员工自己付费还是公司付要问你公司 噢就是他员工付费的话一个月是多少钱啊 
高兴为您服务 因为我要装安装一个宽带的话你们那边以及核实可以安装的就是那种最低消费多少流量送到宽带那个 嗯那你要办吗打电话把地址报给我一下 呃上海市浦东新区把这个六幺二零一弄三十号对呀我之前弄过帮我取消掉 
您好请讲 你好是这样的我申请了一个移动宽带现在已经弄好了然后那个呃我忘了我申请的是两年的你能帮我查一下我的呃资费是多少吗因为马上一号要扣费了办的是两年一千四百八的唉一千四百八我就是在我的那个幺三九的那个移动手机号里面充进去一千四百八就可以了是吧 对的 噢然后还有一个它发了一个短信给我说是我装这个宽带它有每个月十五块钱的一个一个什么优惠是它是话费优惠还是 
我不会确认的您好很高兴为您 唉我问一下现在移动的的钱一个月租月租是多少 就是您现在这个号码要办理是这个套餐 是的 
