请您好请说 本机要申请宽带呃先新装的吗是吗 您不用挂电话我帮您转到宽带专家这边给您做申请一下我们专家为您服务 
好很高兴为您五啊 电子发票是吧发给您邮箱对吧对好的我看一下啊帮您那个sos用那个那个里面是把那个邮箱里面好这边请报一下您的姓名好的帮您发过去您注意查收还有什么可以帮您不客气请稍后请报一下 
您好请讲 上海德他们对对对好这边帮您您是集团用户对吗对对对对对我这边帮您转到集团专席为了更好的问题问题请稍等一下 
高考您好很高兴为您服务 啊对现在都是电子发票直接推送到您的幺三九邮箱的您现在是要开发票吗 又发我一个流量几月份的呃今年呢噢啊好吗 
您好很高兴为您服务 充值发票的话是有我们人工下发到您幺三九邮箱然后您自己直接登录幺三九邮箱在电脑上面打开打印下来就可以了 嗯可以的那这边的话您需要我可以下发到您幺三九邮箱幺三九邮箱就是您的手机号码加艾特幺三九点com您登录就可以了那这边需要几月份的发票呢 
您好很高兴服务您好很高兴服务 我想把这个积分换话费里面好一个月可以换一次月底最后一天不能换我把兑换方式发给您通过这个短信方式您来电换一下 
您好很高兴为您服务 取消公司短号对吧 对某些号码的短号业务取消掉对吧 
您好很高兴为您服务 您说的是之前都是六个g的这种已经没有了他六月呃七月底就结束了啊现在没有了 你现在的话您将本月的话您如果不够用的话可以只能加那种按天折算的流量可选包每个月可以加一次的那种 
很高兴为您服务 是移动宽带是吗 我帮您接到宽带部门问一下请不要挂机 
您这边是发到幺三九邮箱还是发到哪里去 一般不查那个也不行手机卡的密码知道吗帮您办一下 我看到您之前都是发到幺三九邮箱的您这边幺三九邮箱可以登录的账期吗 
您好很高兴为您服务 呃您是要这个官网添加网线集团短号 噢这个你要联系我们客户经理进行下发的因为我们这边短信平台没有这个网址 
很高兴为您服务 因为您现在宽带到期了你们续约也没有取消所以是按天收费的也不能使用吗 嗯您要去什么套餐呢还是原来一样了吗 
您好很高兴为您服务 自选套餐没有找到是吧 飞享呃飞享套餐倒是有的自选套餐也有的 
您好很高兴为您服务 再加一个套餐流量是吗 再加一个套餐流量的话您现在要再叠加就只有流量安心包流量加油包了流量安心的我的 
您好很高兴为您服务 您好请讲 噢可以你把办理宽带的手机号码报一下是多少 
您好很高兴服务 功能嗯对现在什么问题呢信用卡扣款 好密码知道吗 
您好高兴为您服务 呃但是卡去营业厅帮您办理自己注销 是的对 
您好很高兴为您服务 流量我看一下嗯像您这个月的话呃这个是一个五十块一g的 您这边多加二十块钱多两个g的流量 
您好很高兴为您服务 是换卡是请问是公司名登记的还是个人户名 公司登记的是公司名称不是个人的对吧请问 
您好请讲 啊您是要办什么请问 短号 
您好很高兴为您服务 这个没有办法一定要她她本人的身份证原件和您身份证带好两个人去营业厅过户才可以的 也不行了没办法 
您好很高兴为您服务 是这个手机号码的电子发票登记一下纳税人识别号 噢好那我这边帮您登记一下呃手机密码知道吗七毛钱 
您好很高兴为您服务 呃发票的话是我们这边发给您的比如说您今天充了五十块钱您要这个发票的话你就默认是发跟他讲一下吗或者您自己提供邮箱帮您发过去也可以 对是电子版的是吧应该都是电脑 
高兴为您服务 噢这个您要跟单位办的或者负责人重新申请一下到时候您手机会收到一条短信在回复确认一下就可以幺零九的 嗯是的对 
您好很高兴为您服务 嗯您要是只是改套餐的话可以在网上自己改的不用去营业厅也可以 没有五百分钟的五百分钟一个g是一百三十八的 
您好请讲您好很高兴为您服务 公司的集团短号对吗那不是有没有办过这个短号服务小姐 如果要办理的话它首先公司在上海的话 
给你的您好很高兴为您服务 呃您好 您好请问一下听得到吗 
原先的话通过手机设置来关您是爱疯的手机还是 发送帮您这个iphone客服我们专席人员教您一下请不要挂机wifi解决问题我将您电话转专席处理取消呢 
您好很高兴为您服务 国际漫游的话会帮您开通一下您在哪个国家 国际漫游的话有长期的一百八十天呢还有三十天的都是没有功能费的 
您好很高兴为您服务 嗯您要是只是改套餐的话可以在网上自己改的不用去营业厅也可以 没有五百分钟的五百分钟一个g是一百三十八的 
您好很高兴为您服务 您这个手机充值然后的话然后再下个月一号 就是有没有其他途径除了手机充值比如说可以去 
您好很高兴为您服务 噢就帮您转到宽带部门给您问一下好吧 
您好很高兴为您服务 呃我这边可以设置掌厅也可以设置的我帮您设置吗您密码知道吗 随机密码没用的那您要报出你们公司那个营业执照的证件还有那个公司名称能报吗 
您好很高兴为您服务 嗯我们这边一般都可以办的您是要办哪个套餐呢 对的到营业厅要本人身份证的 
然后我还会这样子您好很高兴为您服务 呼叫等待 我帮您办理一下我看一下您没有开通 
您好很高兴为您服务 嗯我们这边一般都可以办的您是要办哪个套餐呢 对的到营业厅要本人身份证的 
您好兴为您服务 嗯就把您的话费按月账单给主号码对吧 密码知道吗密码 
先生 他没有身份证是吧 那您要办您自己的身份证给他用就行了 
您好很高兴为您服务 您大概需要加多少呢 没有wifi您请稍等呃我看到您是五十八套餐您可以办理一个二十块一点五个g的流量二十元一点五个g 
您好很高兴为您服务 统一给员工配手机号现在没有集团套餐套餐都是属于个人套餐的支付宝 您是以公司名义办手机号是吗 
您好很高兴为您服务 是办固定电话吗 就申请新的上海移动号码以公司名义登记 
服务 宽带是吧 宽带的话我们这边是 
很高兴服务 您好请讲 就是iphone手机对吧 
您好很高兴为您服务 嗯我们这边一般都可以办的您是要办哪个套餐呢 对的到营业厅要本人身份证的 
然后我还会这样子您好很高兴为您服务 呼叫等待 我帮您办理一下我看一下您没有开通 
您好很高兴为您服务 呃办宽带是吧移动的上海移动的家庭宽带吗 嗯要么我帮您转宽带专席您问一下 
一定是五十块一个g的套餐五十块一g 对是的偶十块一个g 当月充的但是充的话您充的那个五百兆的套餐 
带好机主身份证原件到上海移动电话 两三要到营业厅换呢 营业厅任何一家都有营业的 
您好很高兴为您服务 恩像您本机号码可以加个二十块钱可以多两个g的流量二十元两个g 都可以啊您可以继续保留也可以只开这个月都可以的 
您好很高兴为您服务 呃积分换话费对吧呃您知道之前有多少积分吗 嗯那噢对您可以用两千五百分换三十元那我把兑换方法发给您啊还是要您自己发短信发送hf五零hf三零到幺零六五一个八三个九呃具体内容我都发给您了啊 
服务 恩您说 公司的话要买电话卡是吗首先的话你们的话需要那个公司的话营业执照副本原件 
今 短信 这边的话您发送您现在兑换多少钱话费的呀 
您好很高兴为您服务 是办固定电话吗 就申请新的上海移动号码以公司名义登记 
服务 恩您说 公司的话要买电话卡是吗首先的话你们的话需要那个公司的话营业执照副本原件 
您好请讲 证件号码呃适合上海本地之间吗 噢有一个和家庭业务的功能不收费但是要互打免费的话是要收八块钱 
您好很高兴服务 你好 嗯 
您好很高兴为您服务哎我想问一下这个 是移动的宽带对吧那你把地址报一下我查一下有没有线路有没有东西 上海什么区请问一下 
您好很高兴为您服务 是家庭绑定打电话过来也能加包的您方便的话但是您到营业厅都加都可以 就是那个家庭绑定可以电话 
您好很高兴为您服务 您要开通国际漫游关闭上网功能是吧 好的手机服务密码知道吗 
兴为您服务 嗯 充值卡你说的是上海移动的充值卡吗 
一月份的账单就是打印 现在已经超过六个月了打不出来的 而且更改套餐二月份才有的今天 
您好很高兴服务 对是的 就电子发票吗幺三九消费发给您 
您好很高兴服务 嗯好的稍后我给您转接 可以帮您呢 
您好很高兴为您服务 这个抱歉这个手机 一下子也能接打电话来反正是指话费推出来还是指什么 
为您服务 公司要支付集团账号的账单对吗 目前它是只能通过银行转账另外一个是您可以收到的对账单去上海营业厅自助终端缴费付款 
那反应 不客气感谢你啊 好那这样我发给您一下因为五月份的账单还没有结五月份的没有发票的报销账单还没接那个四月份的话我发给您 
高兴为您服务 我帮您转到宽带部门问一下请不要挂我帮您转过去为了更好解决问题我将电话转专席处理最高的 
噢那这边的话就是您能把那个手机号码报一下我帮您看一下啊幺三六幺三六四幺六七幺六二二四九三三二二四九三好手机密码知道吗知道好麻烦您根据语音提示输一下密码噢好好的密码验证成功 噢我看您这个手机号码的话是一个那个就全球通五零套餐 噢然后还有还有就是那个十元的来电显示嗯嗯然后还有六块钱的畅听优惠包 
您好很高兴为您服务 畅玩没有插嗯然后呢 办理的话您直接在网上去问一下就是 
您好很高兴服务 你好请讲 好为了更好为您解决问题我将您的电话转专席处理请稍等啊 
您好很高兴为您服务喂您好有什么可以帮您 我帮您接到我们宽带服务热线问一下好吗 请不要挂机办法解决问题我将电话转接专席处理请稍等 
您好请讲 使用过因为我这边需要您必须要机卡匹配产生四g网络流量他才会返还话费就您这个号码跟您您这个号码跟您参加活动的时候这个手机要放在一些就iphone七要放在一起产生四g网络流量 嗯嗯 
您好很高兴为您服务 短期的国际漫游有效期是三十天的 我是说短期的国际漫游有效期是三十天的 
您好请讲 你好 停机对吧 
喂您好很高兴为您服务 单位的名称办理移动手机号码对对那公司这边需要提供营业执照副本原件单位授权加盖公章 营业执照的副本原件公章还有单位对授权书然后的话 
您好很高兴为您服务 查什么险 改宽带密码对吧那你是哪个手机号码办理的宽带 
您好兴为您服务 宽带的话可以发您邮箱里面的 那是对幺三九邮箱您需要麻烦就是说 
您就去穿上营业厅吧我把地址发给您嘛您带好身份证过去看一下 对那当然有一个川沙有一个长阳路华夏东路哪个键啊 华夏东路城阳路哪个近 
您好很高兴为您服务 就是您之前流量比方说是两个g吗呃五十元一个g的对吧现在改到新的业务五十元就是两个g了还是五十块钱的费用不增加七点 其他的话五十元的七十元七十元现在是三个g再送您三个g的国内流量送到明年六月 
您好很高兴为您服务 你要流量升级修 对先生这个的话就是说如果他升级的话是这个样子就是说它送的流量的话是全国通用流量五个g五个g全球通用的但是的话如果就是说呃他这个的话套餐是这个样子的如果你一旦升级完成以后那么就是说他这个的话只送到一八年的六月份就结束了不是每个月都正常赠送的呃就是不是一直赠送的如果到一八年六月份以后那么它就不再赠送了就 
您好兴为您服务唉你好就是 短信我看一下您之前今天加过一次一百兆进来了已经 加进来了可以用了对的噢好吧那我知道还有什么可以帮您的吗嗯没有了谢谢啊那不客气祝您生活愉快再见 
您好很高兴为您服务 呃它是电子发票现在对方面的话每月发到邮箱幺三九邮箱这个要开通一下的我帮您开通是吧 ok了手机卡的服务密码知道吗 
您好很高兴为您服务 情况您呃是取消哪个集团服务给的是手机号码套餐还是集团产品服务 集团产品要取消的话你要联系我们当时办的移动客户 
您好很高兴为您服务 嗯您好请说 关彩铃是吧电话您是拨打幺二五三零或者直接登陆幺二五三零官网进行设置语音 
您好高兴服务 正在通话记录的话呢需要登录上海移动网上营业厅在网上营业厅里面查 登陆网上营业厅在我的移动详单查询里面有一个通话详单 
您好预处理专席代表很高兴为您服务 改帮您转到后台有在排队那现在已经转通了有什么可以帮您的吗 零 
您好很高兴为您服务 a区ap功能要我们这边帮您打开打开之后您才能使用手机上的高清语音通话您那个是您是要打开高清视频通话这个功能吗 嗯嗯那您这边手机密码知道吗嗯对机主名字报一下就可以了 
高兴为您服务 您好请讲 停机保号对吧你包含了立刻就停掉了您上月停的话就当月来电办理就可以了 
您好很高兴服务 原来是我外婆的然后后来外婆去世了然后后后来我妈在用然后现在就是说呃被停掉了吗那么有没有什么方法可以把他这个号码转到我妈妈的那个实名制验证呢因为应该走的应该是一个过户过户的话必须要带好上加的死亡证明下家要带好机主身份证原件到上海移动营业厅过户嗯上加的是吧证明然后那如果如果觉得这个麻烦哎麻烦的话 呃就是说 
您服务喂你好先生 嗯这边有一个活动流量的二十元两个g可以吧 两个g 
请说 呃就是那个不帮他们付钱了是吧 好的我可以帮您解绑掉的解绑的话下个月开始生效要帮您解决掉是吧 
您好很高兴为您服务 到哪个地方 我帮您开通一下密码知道吗 
您好很高兴为您服务 您说一百二十八改成多少的最低的最低的您现在改不了现在有活动呀活动还没有结束这个您要等活动结束之后才能改的活动到一八年的一月一号结束 啊对 
您好很高兴为您服务 这个号码这个号码可以改您可以自己网上改也可以发短信的 呃在群组业务里面群组业务你能办的零 
您好高兴为您服务 兑换它有的就是送到一八年六月份 套餐对现在套餐已经申请好了就是每个月套餐保持两个g或以上的就送这个的一个g或以上的重新两个 
您好很高兴为您服务唉你好 我帮您打吧您需要几月份的啊你帮我打怎么打不是我把网上打不需要验证码的吗我把验证码发到您手机上你凭验证码才能打的或者我直接发给您幺三九邮箱里面您登陆邮箱也可以打了我我 就是四月份的对不对 
呃停机保号我们可以的就是如果说您要销户的话只能去营业厅销户 就是停机号码还是保留着每月从下个月开始停满一整个自然月会扣除五块钱的停机保号费 嗯 
为您服务 嗯它是没有身份证的是吧 那这边的话只能要大人去办了但是办个号码给他用就可以了 
吧您好很高兴为您服务 地址什么宽带吗 宽带我帮您转到宽带部门问一下 
您好很高兴为您服务 嗯您要打那个通话详单是吧呃通话详单的话他是在网上营业厅我的移动然后详单查询里面有个通话详单 现在上面没有这个选项了吗 
对您好很高兴为您服务零六这个手机抱清楚在线记录地址是哪里呢没有四春节经理加六百二十四套餐哎去好的目前显示不在线状态这边现在清楚了好的好的 
您好兴为您服务 呃通过手机上设置您手机是什么牌子 我这边帮您转到iphone客服我们专席人员会将您的我先帮您转接好吗 
您好很高兴为您服务 嗯别的话流量可以的有那个八百四十分换一百兆的当月使用 我帮您查询一下请问密码知道吗 
您好请讲你好 今天就 家里装宽带是吗您的什么地址帮您看一下资源情况 
您好很高兴为您服务 他要验证码对吧 对我把随机码发到您手机上您自己看就能打印了您要几月份的 
您好很高兴为您服务 那您直接带好身份证设备去虹口区这边的移动营业厅办理注销就好了 的虹口区的都可以办的 
您好请讲 我们这里直接帮您操作取消就可以了您要现在不要了是吧 噢好行那机主姓名您报给我一下 
您好很高兴为您服务 是家里用的宽带移机吗小姐 是哪个手机号码办的移动宽带 
哦您好很高兴为您服务 这个号码的话先挂失了手机号多少 对 
您好很高兴为您服务 嗯 好的您要改什么套餐呢 
您好很高兴为您服务你小姐你好 对带好身份证原件到移动营业厅办 那要把您的身份证原件给到就机主的身份证原件给到经办人委托书然后经办人身份证原件都要带好到移动厅办理 
您好很高兴服务 你好 公司要办一个号码是吗要新办号码的话带好营业执照副本原件公司开机的军 
您好很高兴为您服务 关基础套餐 对现在八十八的 
您好很高兴服务 服务密码知道吗帮您办 好麻烦根据语音提示输入请稍等 
可以吗好的嗯好请您稍等不要挂机为了更好的为您解决问题我将您电话转至专席处理由专人为您解答请您稍等好的 
本机号码吗 好密码知道吗先生 根据语音提示输入请稍等 
好服务密码知道吗女士 不知道身份证号码姓名报一下 好国际漫游即刻生效不收功能费去的是哪个国家呢您这边 
您好很高兴为您服务 魔百盒需要装五十兆或者以上的宽带才能装的 说装宽带才能装的呀您宽带装了吗 
您好很高兴为您服务 嗯对的呃您这个号码哎积分换流量您知道自己有多少积分吗 噢那最少要八百四十分才能换一百兆啊您这边六百多分换不了的 
恩 呃是说宽带吗 宽带到期时间是吗 
您好很高兴为您服务 噢是一个承诺消费一百零八送宽带话 查一下协议是到十一月一号到期吗如果你不想用了就是十月底你机主本人就十月份七月一号到十月三十号这段时间机主本人带好身份证原件和宽带设备去浦东新区任何家营业厅办注销手续就可以 
高兴为您服务 宽带是这个手机号码的宽带毛钱 我看一下噢因为您这个宽带是到这个月月底到期了就是 
您好很高兴为您服务好的 一百二十的是吗 啊那你指令详细的才能办的您哪个小区 
您好很高兴为您服务什么 宁波那您要打当地电话我这边上海查询不了五 呃这个我这边转不了您这号码就上的您要么先重新幺零零八六前面加当地的区号您再重新拨打一下 
六您好很高兴为您服务 再见嗯办宽带的话我们现在最低二十兆然后一年的话呢是七百六然后一次性送两百的话费或者两年八百八 一年的话七百六一次性送两百的话费或者直接两年八百八 
您好很高兴为您服务 我帮您看一下因为我看一下您这个号码是那个个人名称登记的我们一般纳税人识别号都是由公司名称才会有哎它会有那个税纳税人识别号 但是到时候会不会就是说显示出来这个是需要您自己就是说呃就是到时候看一下发票上有没有 
您好很高兴为您服务喂你好您好 不想用了您要销户吗 那像我只能到上海移动营业厅上 
您好很高兴为您服务 是呃是办公司的短号服务员工之间打电话有优惠吗 如果您要把一些短号的话你把公司名称办公地址再留个联系电话给我稍后我们会派专员的他们会联系您跟你说一下价格和办理流程 
您好很高兴为您服务 哎对了要挂失吗是是上海移动号码吗对啊上海的不要挂要需要挂失吗要挂失号码请报一下 挂失或者不挂失都可以带身份证到营业厅补卡挂失没关系 
您好很高兴服务 发票的话这边帮您进行一个呃呃就是发送发送到您幺三九邮箱里面您现在打印出来是报销用的需要帮您发送一下吗 用户密码知道吗先生 
您好很高兴为您服务 请问卡的话您按照你现在本机都要去办的话目前是五十八块钱它里面的话是有带一百兆的流量然后如果打电话呢正常是按照一毛九一分钟来计算的 流量他每个月有一百兆国内通用的然后如果您用完之后如果您在上海本地继续上网咱们当天会收您一块钱然后再给您一天用的五百兆然后超出之后当天可以无限次叠加如果在外地上网就是按照两毛九一兆计算的然后每次扣到十块给您一百兆是这样子来算 
您好很高兴为您服务 您好 问您号码多少 
您好很高兴为您服务 您是要办过什么其他的sim卡吗 就是您要办理一张新的普通的sim卡然后您要去买了没有电视激活了一个小模卡的一个新两张卡是吗 
您好很高兴为您服务 什么狗买了一个什么 就是那个什么 
您好很高兴为您服务 通话那就带好二代有效身份证本人去上海移动厅办理是那个号码的话有没有参加过什么活动啊 承诺消费活动啊有最低消费有协议期啊或者是有办理过家庭去了有吗有的话呢取消不了的我看一下吧您把号码报一下 
很高兴为您服务 请说 喂充流量您是什么卡你刚刚说客户联系一下啊不是飞里面对吧这个机里面的话我帮您转到我们的专席问一下有个专线的我帮您转接过去问一下好的帮他解决问题我将电话转接专席处理请稍等 
使用情况对吧发幺零九幺到幺零零八六进行查证 发给幺零零八六查现在人工查不了吗刚刚看到 
您好唉 就是这个号码发过来的那个短信 我帮我帮您看了一下点被别人短信功能你有的这个短信功能这边没有问题您这边手也没有通过我们这边屏蔽过这种类似的信息但手机上面屏蔽我看不到您可以那个先发送五个要到那个就是那个银行卡端口进行恢复看一下让他们重新再下发一下看一下能否收到 
很高兴为您服务 您是要哪个营业厅的地址 对一个是长寿路一个是十弄那个 
不要挂机您拨打 您好刚才没声音了我再打过来 什么什么套餐 
您好很高兴为您服务您好 但是我们移动和东方有线合作的还是说单独的东方有线的宽带的 跟就是办他们自己的那个宽带是吗 
您好很高兴为您服务 呃就是流量升一下是吧剩下那您要看一下现在是六十八的呃现在是五十八的套餐加五块钱彩铃那么五十八改改的内容多一档那么您现在是五十分钟通话加两个g流量的话六十八块 对通话不变五十分钟那六位数的 
什么三四很高兴为您服务 是来电的手机号码吗知道 因为这个号码不是我们上海的我帮您转到你归属地移动可以可以查一下请稍等 
您好高兴您服务 积分兑换流量是吧 可以那我把积分兑换流量的一个方式下发给您请您稍后根据短信内容操作一下好吧但是我提示您一下积分兑换流量当月流量要用完的不累积的嗯知道了请问还有什么可以帮您的如果您对服务满意请给予十分评价 
公司宽带要注销吗这个您联系客户经理那边办的 嗯对的我们这里不能取消业务的 嗯因为公司业务他都是通过客户经理去办的所以您最好直接先联系一下客户经理 
很高兴为您服务 嗯嗯 可以啊国际漫游的话有长期的一百八十天呢还有三十天的都是没有功能费的 
您好兴为您服务 流量的话就是您是哪一种是另外叠加那个还是是还有套餐里面每个月的那种的流量套餐呀 叠加对吧叠加的话是这个月用的每个月用的 
恩您好很高兴为您服务 浦江镇哪个区的 啊什么路具体地址您给我一下现在 
您好很高兴为您服务 嗯对我们这边给到您然后这边提醒到了这个充值发票嗯以后如果再要开账单发票的话未将这部分金额要扣除掉的噢 知道了好的请问您本机密码知道吗六位数的 
幺五八零零 九零七八零八 噢密码知道吗 
您好高兴服务 呃那些什么问题哪个号码 密码知道吗 
您好兴您服务您好 可以通过什么 去几天它 
您好很高兴为您服务 噢好的那宽带移机的问题我帮您转接专席处理请您稍等不要挂啊 噢我看一下现在还有一个人排队要不您再耐心等待一下 
为您服务 嗯嗯好 发短信我帮您更换代码发给您一下把我最后一天不能换 
您好很高兴为您服务 嗯哦您的 我们可以帮您约然后师傅上门安装一个什么地方装呢 
您好高兴为您服务 有什么问题 嗯嗯 
为您服务您好 如果您要这个号码办宽办那个家庭承诺消费的业务还是说个人承诺消费 叠加就行了 
您好很高兴为您服务 您号码是 我已经号先给我幺三五零 
您好很高兴为您服务 您现在这个号码对吧 那请问一下之前有开通过电子发票对吗 
这样子的您好兴您服务您好 十七楼您好能听到吗 你好 
您好很高兴为您服务 什么业务 身份证号码报吗 
很高兴为您服务 嗯魔百盒您现在什么问题呢 魔百盒您不用是吧 
您好很高兴为您服务 但是今天区别是一样的哪个先到期那个先抵扣的 到期 
您好很高兴为您服务 就您带好您机主带好身份证原件快点去营业厅注销您今天就去因为明天注销的话要收月租了 在就不能用了对 
很高兴为您服务 领取 但是就是本地流量只能在上海本地使用的 
您好很高兴为您服务 我这边可以帮您取消要取消吗 好密码知道吗 
您好很高兴为您服务 请说 对话费通过短信来换就行了四千一百七十分换五十块帮您兑换代码发给您一下四千一百七十分可以换五十元发一个短消息 
您好很高兴为您服务 是您宽带要换地址是吧 呃换地址的话那您这个要去移动营业厅办理移机的您是要移到哪里我先帮您看一下咨询情况 
您好请讲 是登记是单位户名嘛呃那要带好营业执照对营业执照还要带好介绍信和他进行再自己作为他去办吗对带好经办人的身份证这样东西 不要但是你介绍信上盖章的啊 
呃积分换话费是吧 噢积分换流量八百四十积分可以兑一百兆的流量我可以把那个兑换方式发给您对一下备成功回确认短信给到您的 我把兑换方式发给您吧可以对州市的您可以对两百兆什么的可以对的 
您好很高兴为您服务 我这边听不清楚我这现在有问题三个字什么有问题 信号不太好呀走动一下好吗听不清唉 
您好兴为您服务 您好有什么可以帮您 家庭畅想吗它现在您说的是办理宽带它切换到它切换到另外一个业务了 
您好很高兴为您服务 噢您是代办对吧 呃它也是上海号码吗在上海号码吗那如果是谁登记的是她自己登记的对他自己登记的那就带好她的身份证原件或者您自己的身份证原件然后需要他这边写一份那个委托书给您就可以 
您好很高兴为您服务 哎对了要挂失吗是是上海移动号码吗对啊上海的不要挂要需要挂失吗要挂失号码请报一下 挂失或者不挂失都可以带身份证到营业厅补卡挂失没关系 
您好很高兴为您服务 呃宽带到期了不想续费了是吧这是校园宽带您到时候带好身份证原件去营业厅办理注销 身份证的手机跟身份证号身份证原件 
您好高兴为您服务 嗯 那个流量是吧 
您好很高兴为您服务 但是手机上错了几位数字是全球通 你确定号码被销户了吗 
您好很高兴为您服务 比如说是流量是吧稍等所以这个月不够临时加一个流量吗 啊对它是一个流量包狂活动就是根据您的套餐您费用可以不变还是一百五十八然后套餐五百分钟通话流量的是套餐里面给您是三个g活动再送三个g总共六个g都是国内流量需要办理吗办理事项我影响 
您好很高兴为您服务 呃呃不是您这边是要开通什么功能 电费是要收费的一毛钱一兆 
您好很高兴为您服务 您可以帮您下安装宽带地址报一下我给您查一下您这边能不能装 就是上面去 
为您服 恩你好 是办我们移动宽带嘛 
服务 积分是吧可以发送短信f两个字母发到幺零零八六进行查询 对就是 
您好很高兴为您服务 查一下啊十一月份的那现在可以发给您了您的服务密码知道吗我帮您开通 请根据语音提示输下密码好的密码验证成功那我这边默认是发送到您手机号码艾特幺三九点com这个邮箱可以吗 
您好很高兴为您服务 宽带到期了停掉是吗那您直接带好身份证原件七今天今天最后一天了今天就要去办理了是奉贤区的是在哪家移动营业厅都可以办的 还是有设备您这个不用带的设备不用担带身份证去办理对退订就好了 
您好很高兴为您服务 您什么地方要办呢 大北街大小的大版呢 
您好很高兴为您服务 欧洲的话帮您开国际漫游就行了国际漫游的话开通是没有功能费的有效期有最短的三十天然后还有一百八十天没有长期的 就是即时生效的他生效的所以我们发给您了 
你好请问 噢那这手机的服务密码有吗 就办一张卡应该给过一张密码卡六位数的一个密码的 
您好兴为您服务您好 你好唉 恩 
您好很高兴为您服务 四短信现在我们前台不能恢复了它是要您登录上海移动网上营业厅要签订一下客户承诺书才能恢复 现在是要登录上海移动网上营业厅签订客户承诺书呃我把王志路径发给您请您用电脑登录签订一下 
您好很高兴为您服务 国际漫游我们开通一个三十天有效期三十天以后自动关闭的 网 
您好很高兴为您 呃手机号报那个小模卡号码报 幺 
您好很高兴 嗯嗯 带本人身份证去上海移动营业厅才能销户 
您好我是预处理专席代表很高兴为您服务您好联系要求办理国际漫游 那这样的小姐有什么给您带来不便非常抱歉我看您这个号码密码验证过登记的名字您报一下好嘛 登记的姓名请报一下 
您好高兴您服务 加流量 您要加多少流量呢 
您好很高兴为您服务 请说听得到的 噢对的因为您套餐嗯您是五十八的飞享套餐里面就是包含一百分钟通话和五百兆流量没有另外送的 
您好很高兴为您服务 固定电话号码能不能报一下 嗯嗯 
